run;final_energy;time;best_position
1;-1.8182065803686422;5.445041600003606;[0.17571839374425524, -0.08319011027718215, -1.27163827038929, 1.5714861528785367, 1.2179241424565852, 0.801877623974939, 2.8550017838930515, 0.27791191271431837, 0.46292325912352306, 0.13571427055724117, 3.062704724446566, -3.114142869629664, -1.5626268308744893, -2.2820183323293373, 1.520970010061709, -1.399433592750134]
2;-1.8101100499955491;5.767356199998176;[-1.5229079173406457, 3.120227634981182, 1.5714147830380298, -1.5663919475100019, -0.06661981173948739, 2.568558166158315, -0.07871149753436635, 0.32926541459750736, 2.1164076520188964, 2.26462746635875, 3.0151529340334617, -3.0804527152763517, 2.4427479108738055, -2.4642810185129593, -1.522561373477009, 1.8253448934151386]
3;-1.8239682041293013;5.472038399981102;[-2.342882594273337, 2.2693904216854026, 1.5769582191634424, 1.5706709645678707, -0.4037093733792747, -0.9114662782668028, -0.21415437942009152, -0.23552012963411473, -1.8921859199426854, 1.6553839172189324, -0.22069449186239654, -0.058052518702580436, 1.7353514672511245, -1.7630210109730269, 1.6305322336412251, 1.635432217270341]
4;-1.8017373259134637;5.912702400004491;[2.559253787968508, 1.4948110979825149, 1.9857237551366005, -0.8397617369220365, -2.5562574542689838, -1.631082979495513, -1.8532924572464795, -2.251220588164428, -0.01991049496114705, -0.2602985574493242, -0.822400108082217, -2.059384558149145, 0.01663597747064749, -2.4986278980333143, -1.5837895966596656, -1.4564501871476623]
5;-1.8105816350022228;5.718910299998242;[1.1389358076644482, -1.9071149870748507, 1.1697997293486164, -1.2975713660071257, 1.1408123769892526, 1.659389796107174, -1.6394756667984527, 1.9667162759028916, -2.6745764610243827, -1.2243958500397762, -1.7621616589074502, 1.938057803876358, -2.9753912751635743, -1.628748617178085, -1.5823458742911363, -1.538021023462891]
6;-1.8013114734088458;5.722642900014762;[-1.976092595456988, -1.078822439117543, 1.167637072327997, 2.09516349305896, 1.1677203824297369, -1.4153013909542995, -2.279792846238741, 0.44070885738905385, 2.681307843833477, -3.0480221506669327, -1.8132759738419428, -0.5614257859622209, -0.02667835350473835, 0.4203966650898474, -2.162098637933816, 2.3196552270076918]
7;-1.793246254765668;6.230483799998183;[1.2697093485422144, -1.2359424117205493, -2.431605033075172, -1.4983844751769366, -1.8254802638490712, 1.3796362899921952, 2.3974845423995106, -2.4243070425373974, 2.8169615199650657, -2.3456428136396195, 2.211157204164702, 1.2754909282372076, 0.01379098489756636, -0.340593580816849, -0.5146191952090287, 2.3291773549507537]
8;-1.8164640246807986;6.040848500007996;[-0.12841603421300096, 1.506526812942628, -1.528498697961805, 1.4571308185561627, 0.15152014012675386, 1.4747985817497753, -0.05746079771525325, -0.21452239982398913, 0.24371323381939813, 1.6178950038452466, 0.06090296113741411, 0.10345226947887509, -0.24843552831343274, -1.48728059189886, -1.5298838840782272, 1.5544841424920737]
9;-1.8110968840539416;6.005138300010003;[3.0792931192855253, -3.0871252204674176, 2.3974666490481553, -1.3944393189886972, -0.7328593763124385, 0.06342463707789348, -2.3761520802694496, 0.4670780961716665, -2.2341948580789435, 1.0479123783006665, -3.1083699645414065, 3.0477246183503777, 1.0990832438270868, -0.6979071257144405, 1.5941590355545587, 1.3534930192248957]
10;-1.810121237481145;5.204665199998999;[-1.9225539466905182, -1.2361521558231376, -1.3737785221015963, -1.8710623505277528, 1.1969072546375408, 1.4476891473842137, 1.6254668299557826, 0.06143115778831554, -2.826396366566487, 0.5581796660028613, -1.52576879041893, -3.088983533386903, -0.006806925590591373, 2.415964260090039, 1.5885466509906703, 1.3521951022316063]
11;-1.8050947094253957;6.907527300005313;[-0.5592722076712215, 1.1628531294922553, 2.1600439270114418, 1.6875182908282627, -2.5100694163410937, -1.4612867754383487, 0.2362491456652318, -2.9262361565944284, 0.24512005713970186, 1.6039527214117362, -0.4761870216360693, 0.03987472648893631, -3.13027180015901, 1.5958714329780355, 2.1871905739988122, -1.6126279072992606]
12;-1.7935899255815158;6.61681919998955;[-0.07553045971995287, -0.02836705839770115, -0.35296906477355217, -1.485749812352794, 1.8824864464212308, -1.2254989267430698, 1.6470105726628583, 1.7467661217367452, -1.3307044817640252, 1.4268857739135576, -1.715514268364042, -1.723592761583907, 2.784952258055262, 0.46223286137359354, 1.333305514461613, -0.15644914324475456]
13;-1.800513223491317;6.67137600001297;[1.5300192720063919, 3.0236105239283546, -1.7307826565075415, 1.8731365372824067, -2.1074563463403204, -2.1350038183098023, -2.7508590928169436, -2.737818464286294, -1.595891409184585, 2.6561582658598937, 0.032548399069551426, -0.3324976986549162, -3.0900591173111227, 0.5224645143396867, 1.1296000633805185, -1.373217873872336]
14;-1.7940579909622294;5.242477799998596;[3.0014142638520944, -0.04908788564873223, -1.3923145230815368, 1.623381752893807, -1.5518464559988436, -1.028002102869726, 1.8538190961103593, -2.819157023562021, 1.45620845083989, 1.6823190395094327, -1.7001719007147893, -1.8442153641317895, 2.625931750779504, -1.6753653088759035, 0.33282015553868183, 2.855241573572602]
15;-1.7969155267353478;6.442029099998763;[1.3772400362301642, 1.442774788204602, -0.2805846342324023, -1.5685428353650623, -1.3603373180450766, -2.1703892559148588, -0.4660168772836588, -2.64041531625898, 3.044295290153597, -1.8869935998371785, 0.38242970602444304, 1.1459207522163073, 3.1207326744848842, 0.430727345803783, -2.958261897500047, 0.839648949834507]
16;-1.808867951982444;5.7728385999798775;[-2.6016683397425924, -1.038086277630987, -1.295421141251192, -1.863175391538581, -2.576345553951334, 1.1227635970392846, -0.6569642101747291, 0.05622360690103534, -3.0055517778836283, 0.7911428997618928, -2.4808056033390318, -0.17929322396856184, 2.9879903089519617, -2.1939304552248227, -1.3426896768119734, -1.4723621352590892]
17;-1.807927270690446;5.482710099982796;[2.952757178404675, -1.5622496649008275, 1.5832849481660123, 1.5479626037652494, 0.36098804533768813, 1.3638587404943658, -1.9478624072248911, 0.8870662360761816, -1.893622706254664, 1.5641040200359573, 1.364115096335202, -2.1714248918492385, 1.1942093805047538, 1.3573915018956253, 1.2176383608156218, -1.0826489361410978]
18;-1.7958443359468164;6.405261599982623;[-1.20437867188617, 1.5669871347418534, -2.946169433527399, 1.5634744248114059, -1.9344182412969588, 0.34965727635283184, 2.5903241511021378, -1.5786699258263637, -3.139556736700934, -1.4175561942773398, 0.9410657784486025, -1.6910935760959203, -0.0022890372223307587, 0.038657307101487515, -2.188241848526536, 1.7625480603080996]
19;-1.8147879624454788;5.998993299988797;[2.1733606388313493, 0.527745579362803, -1.5749753755122844, 1.5912988756825035, 0.6539341242083827, 2.3167515370805667, -0.17031805267653333, -2.8918602811600005, -2.3497581686230977, -2.063471594667016, 0.17456884820599772, 3.1288020162064365, -0.008275169434520446, 2.0885604892622993, 1.5687098883779944, 1.4501353991326225]
20;-1.8171738480439033;5.8646545999799855;[0.12954037553962872, -0.7427050526152077, 2.9421806311875027, -1.3716523336068562, -2.9469642533768545, -1.6196679401170995, 1.4493161956689136, 3.118736752066784, -1.4078802443071674, 0.16346688270023613, -0.7510034453381222, 0.010644572801858487, -1.5857828204293805, -1.5721806980236765, -1.574435139826351, 1.5652572670533207]
21;-1.807777525306248;5.635310600016965;[2.3524200394953994, -2.172615804944023, 1.9375302157013365, -1.5604904154757604, 2.270356359348378, -1.5563279316995595, -2.559530825066495, 2.841203968221633, -0.48792630320019903, 0.4058456089824838, 0.6238624911583539, -2.9667923515317285, -0.057766799505607036, -0.9387310263019737, -1.6817748438704079, -1.7298643635620643]
22;-1.8101374547984814;7.005396500026109;[-0.10764272032737932, -0.07688858366111262, -0.0014695869438550169, -1.5803919001846083, 2.156578814412587, -2.930012641667096, -1.674120309470147, -2.7554908210992624, -2.4955189276805587, -2.4779850743649257, 0.39149506284478885, -3.00070581704721, 1.2188291217946903, 0.5250774944862795, 1.2543176540005154, -1.2489200274533387]
23;-1.8237247496686333;6.704621200013207;[3.0991443816584336, -2.322340959581155, -1.3612783882100061, -1.521743266261012, -0.0506883834652232, -0.5785406922460341, -0.3747547702669105, 0.25860668634285267, -1.550376670709821, 1.8302525892888708, 0.5539590572932722, 0.18266198872573902, 1.6116685457953084, 1.5529865654558161, 1.5403923502769645, -1.559084146229888]
24;-1.805953803541944;6.528632100002142;[1.9998118512789214, 0.2624878876246406, 1.5771493757554218, -1.2407026826431882, -2.661116395869654, 0.5356042651897392, -1.4016257176144777, 0.19059004810556646, -2.0742426229623026, -0.618051731131438, 1.4935062672411341, -0.15241140810868714, 3.13891314224119, 2.5628194194295304, -1.527708489253328, -1.8667671004275261]
25;-1.8143289994423344;6.032416500005638;[-3.0877236338901994, 1.636614529126308, 1.4544748739658075, -1.4392216476072865, 3.0639338417471667, 1.7319171455983708, -0.18212145891751996, 2.8590823867072555, -0.012855853520910898, -1.8015434639422776, -0.20792717766183255, 0.1937074025674379, 0.01422058931943937, -1.8829050138766563, -1.4392579392104257, 1.6621674634388288]
26;-1.8015451663845474;6.036716999980854;[-3.103072405475673, 0.04421232950159393, -3.120802119506799, -2.8389749931062975, -0.605801570911618, 1.6896083543432896, 1.3620328139465663, -2.3665837526099955, 2.571787959843336, -1.079777848471041, 0.6258090668808665, -2.857598246800109, 0.08376963005008209, -0.38227707553561174, -2.1508546451583803, -2.1444894797150247]
