run;final_energy;time;best_position
1;-1.8288212878959291;2.680968999979086;[1.7673741934503688, 1.8421517582694324, -1.5587809073249146, 1.3799212116354944, 0.06382705566471447, -2.78642162038327, 2.8098099538126533, -0.5953642246212905, -1.8013226942874516, -1.3244338317557238, 2.4114854928165927, 2.5232896096403197, 0.33059910052977415, -3.0044000366740846, 0.9205745841515327, -2.3976382593910013]
2;-1.856881999107019;2.56671769998502;[-1.8927944738688833, 2.5390373042463104, -0.15607325525398386, -1.5521557506146872, -1.3881757606118272, 2.2219029930138454, -2.3569877514448, -2.110740515572449, 1.7511770601503995, -0.07550410528667006, 1.463428121035406, -2.0325106622584643, -2.1300346627270796, 1.7451464362282696, 1.868050938106176, -2.1321570538731005]
3;-1.8334953585237597;2.5603540999582037;[2.431260318466693, 1.2209995136316634, -1.6280909947596833, -1.678383262113105, -0.2655325064098206, 2.566457859458156, 2.620675233349801, -0.5228871724325943, -2.5036254148699464, -0.49263122505890466, -0.22199036527877736, 3.131375959689077, -0.5276815389761724, -0.3571773636893756, 0.9221612998505968, 1.0930941211797833]
4;-1.8360864714765002;2.5666265999898314;[-2.1493871109960874, -2.306760301995062, -1.696848122735185, -1.7593136890334096, 0.5629261921867608, 0.002492202266882071, 2.573513669746048, -3.037006553480172, -2.5757145128857086, 2.2798547987486835, 1.2463952647118273, -1.809414442041833, -0.3884653390763271, -2.670563534059727, 2.9798391385586713, -2.8644430485839685]
5;-1.856618744176759;2.561357000027783;[2.4544344884239884, 2.3890883372608958, 1.0758404829428612, 1.4065383468479693, -2.323149881364066, 1.7878184668215606, 0.5816968029357605, -2.6944996479397547, 2.527607458366715, 1.1432843020348615, -0.1947881656774788, -0.24794254623935208, 3.057344980572985, 2.5978990613761956, 1.8880202021235437, -1.797437700389395]
6;-1.836765172112957;2.553074099996593;[2.3323532054105094, -1.989048681687386, 2.3892571436560424, -1.402870308241443, -0.642264225441207, -2.455453079163884, -1.3520316275684665, -2.6642199440922365, -0.4499026988514476, 0.6843832721378384, 0.1628525890876964, 0.8412503367352464, 3.1374767345240464, 0.4749199478269124, -3.109276947428303, 1.1268066386353661]
7;-1.8051378243422407;2.5592341999872588;[-0.7211037575576364, 2.666817271461092, 2.9563541969153624, -1.2567262456620265, -1.9997703066375192, 1.4121138377002191, 0.5916127465323422, -0.5253723278534252, -2.107152261013515, -0.26304670462940827, 2.3699767341310025, 1.1524271258185976, 0.3001039548856861, -1.5570510987793866, -0.6933482010616818, -0.7074315229100367]
8;-1.8222989860024066;2.5577843000064604;[2.9034196218389035, 3.006350626541143, 2.9089876926583464, -2.1571247388884562, 1.55965303413549, 0.03537726135505981, 0.6132527293731158, -1.5642248118081497, 1.282334952900957, 1.1230896539963506, -1.545455612277732, -1.4435879030571628, -1.3560315016940923, 2.4109200558236044, -2.1235140184314494, -0.12688864266142375]
9;-1.837622431203248;2.5636108000180684;[2.3289013225920616, 2.069889000986846, 2.1375077090131374, -1.6681833377893203, 0.858413143187752, 0.7084233020861195, -0.14005536383419281, -3.091537814724706, -0.2945078747255807, 0.7807789020250522, 1.9271297237150815, -3.0944816121713865, 2.8559314993640363, -0.704836106915399, -0.6237124297141516, -1.5047945900433592]
10;-1.856253176214224;2.5693415999994613;[2.159651481571945, 0.4115434980711101, 1.4983133905048867, 1.4777741314264485, 1.3257570861170738, -0.8751310711801019, -0.3172536848027985, -2.8320911069888073, 2.7870337410091954, 1.81908550681377, 0.398666658968176, 0.0720681562840042, 0.8388011988334529, 0.7273361031906034, 1.2809837381220346, -1.3284507685919786]
11;-1.7896452244366383;2.5635998000507243;[-2.9133896732546605, 2.6902328978239094, 0.11266432792691194, -2.908225692266622, 2.4790997027825616, 2.2745689695524973, -0.6727674382028042, 1.1246351160961998, 0.11968407558505989, -0.09552336696065078, 0.5134512103027911, -1.5367099750510231, -0.3007846887472736, -0.9704623295511334, -2.7963836876433628, -0.23013814195938664]
12;-1.8497828669391452;2.588636700005736;[-0.748116373736758, 2.9282447604089414, -1.647343658723203, 2.3612959083362925, -2.8717090411540864, 2.738549072594032, -1.903883301067305, 0.574348550972148, -2.4065853483179174, 2.9194398719873345, 1.4625929575024887, -0.6519861432630565, -0.013141279987198828, -2.9624220186124, 1.0116152398962628, 2.0290363704332037]
13;-1.8544283234058239;2.5614561999682337;[1.6790458399422423, 2.0227237284566613, 1.0773842828179898, 1.9050227584519988, -1.6446988308324941, -1.557880807416508, -1.1771879218533143, -2.90220024600182, -2.624568247442515, 0.10046055584735658, -1.4439647478771134, 2.8510221390250106, 2.9937629743733147, -0.5359712191560204, -1.909945915606396, 1.4458182476736159]
14;-1.8390402847071332;2.632316400005948;[2.8035557979563244, 2.6654846020211806, 1.6623323687671556, -1.5136540935658918, 0.9108370839926376, 1.186286903575219, 1.7378406902933659, 2.8728339826751466, -0.7499049588966233, 1.669154724114792, 1.5405994169894548, 0.8039947606726852, 2.9993932832793533, 1.6717826528598163, 0.3841846846848269, 2.33136857918349]
15;-1.7418539956989676;2.5667093999800272;[2.713937513344276, -2.4532681797910194, 0.41979875200878647, -1.4027919656678185, 1.8795027261271597, -1.9819081918416905, -0.3088378963388063, -2.6643292486632113, -1.0594648987358868, -2.4735945509263977, -1.5141635775425903, -0.5384581205041972, 0.3209538424330014, 1.8576892584289917, -0.5770991330756674, 0.8215233744816208]
