run;final_energy;time;best_position
1;-1.8386006928489051;2.6759150000289083;[1.6883445387036042, 2.030797497565347, -1.5602799334416586, 1.3720050027827062, 0.08270082251604327, -2.688781705877139, 2.798589192024772, -0.5080403077484119, -1.7128753054581372, -1.171953753263599, 2.6126027822371194, 2.678411129286408, 0.41779757018735086, -3.083014028634761, 0.9878788880050742, -2.2489854849940163]
2;-1.8502334477123834;2.627040199993644;[-1.754724372642333, 2.233725148293723, -0.44686754231966486, -1.4618717952496108, -1.4840241695379892, 1.7995688024613052, -1.9234198093016763, -2.3912801157590526, 1.2713327576931661, 0.11589580837500124, 1.3837203070449116, -2.5218516683567542, -2.5529024141195844, 1.9092248374913963, 1.5641204025670081, -1.8947137798685374]
3;-1.856864230164913;2.5915529999765567;[2.3372935132853847, 1.4139191880992845, -1.5618105132729925, -1.5999122652524556, -0.20644457519925252, 2.725529557081156, 2.7342394389732743, -0.3480546197699992, -2.4235476349501743, -0.5557921492811566, -0.37065601284070837, -3.056952871572016, -0.4661370861144549, -0.6110572300765749, 0.9492184577894189, 1.3492877266548033]
4;-1.8399171439898194;2.566036000032909;[-2.3638315891968307, -2.289007180420855, -1.6642663759660947, -1.6497986196805579, 0.5516973088622703, 0.10399437945698686, 2.707172878849846, -3.009158902386649, -2.8327516943582918, 2.1200372675315657, 1.373918521211154, -1.9875583423567813, -0.38340841693810024, -2.6801075613562038, 2.9867911320347478, -2.9268131922888996]
5;-1.865491013954905;2.587762599985581;[2.42756203291688, 2.3289892686652696, 1.0294140744298588, 1.4073597423482074, -2.31056523843732, 1.7672800961092507, 0.5908838868494319, -2.7022352264245635, 2.556808672832597, 1.160721792039002, -0.15672287084581926, -0.2234038627621513, 3.066409104638449, 2.545264213386714, 1.9671525959117835, -1.787126338073023]
6;-1.750165140236582;2.577388499979861;[2.364406310823341, -2.045700720772643, 2.570832462808319, -1.4609954125058566, -0.6552349083300824, 3.134415787322694, -0.40514112684131964, -2.6754575697197773, -0.45366144950173215, 0.707709025899014, 0.08667611668342623, 0.8042510564873431, 2.454230434671822, 0.418749099150415, -2.669819525781894, 1.1380219939652463]
7;-1.8071804158118308;2.587349399982486;[-0.7116423322076137, 2.6785606493194773, 3.008064011209659, -1.2756925844964184, -2.004828304140861, 1.4040199834835168, 0.5515724693641912, -0.5421478810080678, -2.1016010951177746, -0.2699596951075369, 2.36991610912495, 1.227089777869475, 0.2983730895025083, -1.5146570271474311, -0.6919601990277728, -0.6978559471792112]
8;-1.7401399977734011;2.5680350000038743;[2.9808746349578605, 2.9382303703386903, 2.9864762726689538, -1.9770018398155682, 0.8256379841332149, 0.2301262691568038, 0.3101582999357815, -1.5592782098148181, 1.647331076673936, 1.3229023165093583, -1.657666420373504, -1.2250005042043355, -1.3503637417909125, 2.370256516137548, -2.18991208664719, 0.17504946443968894]
9;-1.8566486341576869;2.5741717000491917;[2.3640281170345396, 2.1444586422722036, 2.1357482125741196, -1.6043378368121586, 0.8087152559600823, 0.5456741575595099, -0.2239113679941962, -2.867844658688908, -0.3185150979196698, 0.9187183545663551, 1.8784307493312422, 2.7104162963109095, 2.7514323890933348, -0.7005656392045649, -0.6791938567041651, -1.9830865697780935]
10;-1.863455335479041;2.585963300021831;[2.1862505698903014, 0.41101923993611855, 1.495279996437473, 1.4792288303763783, 1.2831171208103314, -0.8429734938896996, -0.3011115054045401, -2.8535696216019026, 2.792858809839979, 1.8161934769671992, 0.398871268975022, 0.07096295224844118, 0.8370886250431098, 0.6417775237293277, 1.269811155314473, -1.3129700654104863]
11;-1.7653764733739465;2.582262300013099;[-2.904642602272467, 2.6016408929502086, 0.11436684460785873, -2.8972222460198775, 2.4669491853924352, 2.531209506951024, -0.7473631145295427, 1.0307664128192204, 0.005673723157964439, -0.004835068529716935, 0.46097771180955904, -1.656643578469463, -0.3108711144891223, -0.9101190449792913, -2.8407897388551984, -0.2126206193744773]
12;-1.8543668094177626;2.5938140000216663;[-0.7768365575063925, 2.9609075874486708, -1.5945987635129355, 2.6069048410603415, -2.8985956683616436, 2.7913607794376105, -2.01950203949661, 0.6153792779356504, -2.3782745696725516, 3.004878798703168, 1.4783474062699957, -0.6398037766453095, -0.005656995361966732, -3.0561858531601347, 0.7154864515489097, 2.1577661427823065]
13;-1.848301541152849;2.572475699998904;[1.7904956052043053, 2.150638951559497, 2.3711828771665378, 1.1832303478118398, -1.6994965673912001, -1.5621629827985397, -1.7031029733967815, -2.7302889121797076, -2.539360804779968, 0.7333445116271937, -1.763375713371969, 2.6243022098046476, -3.135384099377448, -0.06115779181386927, -1.567419125175129, 2.120842540155719]
14;-1.845751722132857;2.5916480000014417;[2.925139570203399, 2.664747272727224, 1.6979874127462136, -1.537874137799497, 1.1201437622659132, 1.2098025591582307, 1.773303006552176, 2.9731700462364943, -1.0351656522911288, 1.6257135132056746, 1.4931889204157667, 0.6361570063627204, -3.123669763792936, 1.6697247757189544, 0.2826274981938841, 2.1847636106212747]
15;-1.7874494561143137;2.583992100029718;[2.1009097000459747, -2.394001088381537, 0.05393276863388419, -1.3422647685726208, 1.886633636272455, -1.9855883048985647, -1.2007401428174427, -2.7083320940929965, -0.9046002720852542, -2.1545719133971404, -2.2652080619484907, -1.3421297668780494, 0.2737947767082032, 2.2673977189185335, -0.5160133099030628, 0.8187378920837642]
16;-1.8489277726318192;2.6457647999632172;[-0.3674822522874459, 1.7255726509273135, 1.4446704843808806, 1.4285307504070923, 0.7782190816795382, -0.47019748523642013, 0.9700657361971379, 0.13074447811479795, 2.747073887075704, -0.5961585458902143, 0.6150226660099518, 0.5783912470190842, 3.0691514914430016, 0.9920177655067572, 2.85352348956887, 1.0691753684717469]
17;-1.8567495089380543;2.580295499996282;[2.300381459981441, 3.055176375588612, 1.5545497233544747, 2.3155000510434887, -2.8508395064875383, 2.7766569891518564, 2.050798560884198, -1.86473424964017, -0.9522959852276038, -1.3191257567953136, -2.2814335008475353, 1.7359926810337267, 0.08802311473719326, -1.2137976115852636, -1.482379735324371, 1.2272287147313046]
18;-1.8315266743057894;2.594320499978494;[0.10108233080282814, -0.8007547111936719, 1.3363378577058214, -1.8226469800331675, -1.346440323314247, 0.9688343815240179, 2.9339825014456142, 0.768339744776243, -1.6433842962217378, -1.6224089986587367, 1.2778957853980257, -1.912082496590947, -1.7119836135290356, -0.03999005876025086, -0.7140725750072581, 2.953668513713925]
19;-1.8569542042387994;2.5860959999845363;[-0.004928265802704335, -2.055002666726187, -0.052826499789772274, -0.37616152815439996, 0.023251906415591606, 1.5049996309972258, -2.1654559005465615, -2.0754860071165315, -0.15365364392729397, 2.1159354891256594, 0.12869182376458088, 1.191339007668545, 0.20496225777604327, 2.4330353220121275, 1.0485670429335672, 2.1823417774155622]
20;-1.8658401074842874;2.593357100035064;[0.3118581451057181, 1.6663021703213134, -2.01854618911627, -1.3651063618439303, 2.7594817775155125, 1.8039452235372337, -1.2886960809794077, -1.549195549239565, -1.8886530915508597, -1.1179618358100574, -1.3877099710109637, 1.5924932035524746, -1.276807214227122, 1.6310142791490367, 1.5634109405372278, 1.4724608452141803]
21;-1.8633016845179933;2.573848599975463;[2.9021683683163975, 2.4124353907877154, 1.5956023626562583, -1.6265888689087287, 2.3392086999486645, 1.9249988741183923, -1.2038265338645129, 2.26949384832921, 1.1359069812970946, -1.619354432458092, -1.461334207958459, 1.2047513310892661, -1.0587725050859973, -1.3091103103347723, -2.1843147512272787, 0.5419065757772978]
