run;final_energy;time;best_position
1;-1.6231719120000003;125.93818120000651;[1.5690072771059027, 1.6628573920451615, -1.4027843709597867, 1.4111773409750459, 0.3269283343549545, 2.9693689004014923, 2.836153968998394, -0.20929712519521804, -1.819569616795341, -0.9870728911201394, 3.128674269139891, 2.990617048433803, -0.2609437279915321, -2.3780254682705406, 1.3848806931604827, -1.6891707270265803]
2;-1.5213388893333342;128.86503159999847;[-0.3198992927080737, -3.038752844188126, -2.5695422153799017, 0.06562842532896651, -0.7436449164620793, 0.5869502701888867, -1.2159292306284764, -1.6990550729835114, -1.9227371822926762, 2.279108879282578, -2.494892102073959, 2.854724219080005, -1.1583096894222327, 1.5922610241814183, -1.8581211360685268, 1.139744160042083]
3;-1.6341123546666674;129.98260999997729;[-3.033782714341061, 2.51140572841609, 0.7371932484435719, -0.7172121054856979, -0.27653009153666774, 2.244874485872571, 2.398990826037788, -0.5188780114796212, -0.30566432538004484, 1.0480258251194847, 3.0293543963494702, -2.1738612683448286, -2.4520305083802985, 1.530812912128833, 1.247318146481554, 1.7346715547037297]
4;-1.5385486320000006;131.58556549999048;[-2.1220266739109754, -2.5574506163291146, -0.5135011392127198, -2.38353318964725, 0.6529355266885597, 3.0962627671043155, 2.7634185664547886, 3.1229688714541908, 3.0371856906854937, -1.0786794478562216, -2.8502106878942546, -1.3117676234252407, 0.1532350354099301, -2.9134579194167185, 2.5246847761508064, 2.4341116605874955]
5;-1.6284733786666667;129.3048390999902;[2.288258237020557, 1.8715092399129487, 2.0115414991106793, 1.2394281816766153, -2.385294465107532, 1.3033668888343959, 1.2893047571385061, -2.816957809425495, -3.006055734592591, 1.431943935569019, -0.9403630008571557, -0.3434251423805299, -2.8040910409467426, 1.4043972940711766, 0.9838826537979735, -1.7548505266158523]
6;-1.6523186786666666;131.0902991000039;[2.414813537913182, -2.245025813935228, 2.1852165753613075, -1.6868664922047294, -0.5261107016443938, -2.777878736585144, -1.0207164575492875, -2.551744862496695, -0.4445662200555702, 0.37926943956497183, 0.3124711095994597, 0.7495823445391023, 2.939472114886902, 0.5833483739709102, -2.5008390373771863, 1.4453002140803113]
7;-1.633573902666667;131.02913149999222;[-0.5068530485368257, 2.851576118565662, -2.9210865336882934, -1.0886432394664176, -1.9185179057646453, 0.501421681202423, 0.1262540919238635, -0.3281758234942034, -1.5774040417427204, -0.8953317012536623, 2.0256551523393487, 0.36500624678091986, 0.9363878436171884, -1.2827756434784778, -0.5712440040733799, -1.117587691517794]
8;-1.6230747533333338;128.99440910000703;[2.969698475979931, -0.7725326918111914, 2.5415572400943987, -0.7850482348546688, -0.146158906486495, -0.8192089940652227, -0.16665882567882173, -1.5309894403657307, 0.20416415520592857, -2.8809938680522893, -0.6286152426463296, -1.4071846084876916, -2.9711735182870624, 2.56730115804252, -2.2190488183723796, -0.0826415282691162]
9;-1.6449206960000002;133.18074630000046;[2.176769633602646, 1.9178873161834087, 1.944012571754297, -1.7144464134649084, 0.8361555514303758, 0.46170656969765833, -0.3558513791321616, -2.9860256754276056, -0.2674677744943321, 0.9410723133728398, 2.059797280603412, -3.118319411688662, 2.806867016223607, -0.7148317961354729, -0.7222686186234313, -1.5538525136631944]
10;-1.6010348866666675;129.40192580001894;[-0.7897699570108525, 0.6854951235210578, 2.7852032546992334, 1.4575718958836967, 0.8247190902557473, -0.4398603279440385, 0.2593442439288567, -3.1142659799077395, -0.6623892600879802, 1.1197971895669525, 0.9712461528384368, 0.11657447090762707, 0.8886831161985924, -1.4038385996796177, 1.4473469979668243, -1.2360297975326981]
