run;final_energy;time;best_position
1;-1.6732916719999988;131.56471579999197;[2.808790031295593, -1.8938535836677615, 2.1599307354454815, -1.589194168440943, 0.3271296409550728, 0.14359204809037251, 0.8026764432727047, 0.6534426894256864, 0.3084691221299196, 0.47400420870207505, -1.813537617886187, 1.1559580016495588, -2.860598520550166, -1.983791320388768, -2.581009542147268, -2.9648758309254153]
2;-1.575624203999998;133.35466640000232;[1.4098783529969676, -2.629597733266446, 0.5764824353872653, -1.2655033164011935, -1.211772674858717, -3.0370446129121906, -2.5307126879507402, -2.0272592714351623, 2.1620180335883585, -1.0353553091643297, 2.876856279191376, -2.758953514223097, 1.0625173538287882, -2.7508434069399086, 1.8991112368200014, -1.1294857890294479]
3;-1.534524448;133.74707290000515;[2.4540635647068196, 1.3038925432656354, 2.4374934547731746, -1.4429318733718135, -0.570817072713143, 2.799878241174355, 2.298714678046225, -0.3092841627966738, 1.2281588655776412, -1.8162600329209464, 2.3219106151415616, -2.604950942664987, 0.804143786003662, 0.5832566613312009, 1.0021290697285075, 2.0674069344119577]
4;-1.663177143999997;135.85564979998162;[0.4196273436247906, 1.7819019574053971, 0.38620171887236543, 1.9646714516019523, 2.694981935178957, -0.6969245356052691, -0.44331085682485805, 0.8452678085856404, -0.2806968609248077, -1.0619101302379677, 1.6385249076866364, -2.491820710273533, -3.1095113014951927, -0.34296970996276066, 2.0672852379223983, -1.5084196424806326]
5;-1.6496833319999966;135.6086578000104;[2.391871392886718, 2.468257843241359, 0.8283196173501319, 1.3662316744819725, -1.8186404909309652, 1.3422218997266988, 1.5191354935921488, -2.7781267230289557, 2.7298451726968436, 2.0221632599469643, -1.1565642030248786, -0.03013462263351485, -2.4042164695289676, 1.9996663458560224, 0.9740360402993478, -1.7485375244856898]
6;-1.602282991999999;134.67178930004593;[2.508197534428783, -2.272523142544758, 2.1569089759848854, -1.0167585961155252, -0.5945187333969439, -2.425146686788168, -1.718892068341877, -2.0998636800960293, -0.534947265212911, 0.27491209054189136, 0.9856088516461705, 0.8016406236385718, 2.3571406696911685, 0.5728605915563549, -2.871508670657222, 1.370679049656614]
7;-1.69639888;136.75822770001832;[-0.9082438177855083, 0.7029924628188975, -2.178337486129868, 1.3086254826545414, 0.3758228233853833, 1.7509008707918587, 1.7091527888582245, 0.16860792011352776, 0.6437651338685773, -0.8834758804034197, 1.96637203616719, 2.4147282561332375, 1.0704889314314343, -1.5548863144161627, -0.6788219506234205, -2.146778178945478]
8;-1.6484189399999998;135.610964099993;[1.3359154087880345, -1.7762724776178413, -2.281416884975616, 1.1814384547834038, -1.2199847618113508, -1.3641874670436915, -2.9156163498234378, -3.012236345325855, 2.2528726056972097, 1.3675355775109432, -0.6587943446644653, -2.446504882364211, -0.7097551915388438, 0.425607563775273, -2.4291535942123055, 1.632614138714569]
9;-1.6615766439999988;139.3809897999745;[-0.05671402283206728, 2.9502017783727537, 0.3012381905436605, -0.0525325813784181, -1.1319474303937689, 0.28050092346326494, -1.3914021123194749, 2.17514378911995, 1.4202116456963987, 1.475481635988225, -0.4216930376966097, -0.9582517265226613, 1.9345076896063986, 0.2768256095730006, 2.083340155418659, -0.5110289111649293]
10;-1.6099871279999984;146.61033550003776;[1.8540208210582323, -0.9212440475735724, -1.7325742037740217, 1.5119488287237486, -1.0645237252826854, -0.6592315153989006, -0.7162654896616756, -0.21791226172618128, 0.17451966942750374, 2.47712397439341, -2.4003904997472367, 1.7583888022508205, 2.6170144891321296, 1.4160806173533524, -2.791389267311509, -0.3178071081089464]
11;-1.6933355799999985;145.20639030000893;[-2.3616819273358938, 1.4907351387616519, 0.3905646178850013, 1.4142040639753386, 2.5499018222876337, 2.178905226351552, -0.8880474376577854, -0.3951050118285959, 0.5067896874871667, 0.04840225706221357, -1.2747747589546596, -0.14384253788456736, 0.3728923287975823, -1.0122503636373028, 1.6116978336770948, 1.2938332840126838]
