run;final_energy;time;best_position
1;-1.6469340970772695;60.94094790000236;[1.6514772526264165, 2.1027904282315717, -1.5736993496168836, 1.4668933396883599, -0.08723444058161434, -2.960679132216827, 3.0571403478883488, -0.494324417163055, -1.5454354832331045, -1.1900820768619618, 2.3561670508134167, 2.6015118343459314, 0.23675292425494332, 3.1079290696278257, 0.8544109821502146, -2.2425711284184597]
2;-1.645563690899517;67.18140609998954;[-2.0851225327922545, 2.632739770732174, 0.16555639509792996, -1.4692771039705643, -1.3346099148246773, 2.272341567138054, -2.1822372364561424, -1.9609311088876422, 1.913230767085241, -0.4316610006057515, 1.5570808738751172, -1.88760810754991, -2.0173552863397353, 1.7297281522792538, 1.7581667599565813, -2.145812930242282]
3;-1.6716905690552664;57.35883099999046;[-2.7351690501430204, 0.6228205606285888, -2.2291071696640654, -1.5209433165174708, -0.641437122740792, 2.2588094816306388, 1.5400855347308724, -0.5903983928283627, 1.4490819346580874, -2.0567195229839634, 1.9954910097186476, -2.569356496112285, 1.3046062619158496, 1.417487066080648, 1.3221043871472, 1.7664335801577256]
4;-1.6472748528175916;57.55662540002959;[-2.611451393820684, -1.6685113870540271, -1.6519872686865305, -1.6047241283579659, 1.3265404433202672, -0.7630061128192382, 2.9641570158372286, -3.0208457153671446, 2.635202028111883, 2.3848535050022583, 0.8444711378196041, -2.889688715050459, -0.6136051101622901, -2.9773795536922005, 2.493633288257193, -1.8406077291593823]
5;-1.6601033938890062;61.8584572999971;[2.3976687001246733, 3.1224868664793544, 1.1045878904550417, 1.571056296320445, -1.5955157272780889, 1.0204781931877758, 1.0608693258165358, -2.778278764964207, 2.3536784924323477, 2.0521887498704245, -0.9651343022528822, -0.36002832665984563, -2.2465493128805987, 2.073647990096717, 0.9848189884173655, -1.8500111072279852]
6;-1.6112503807211724;64.06629360001534;[2.608944795782925, -2.248566145391412, 2.626522318843217, -1.4767149716585992, -0.23614779839373812, 3.0464886765212924, -0.35004592213752694, -2.576276389709745, -0.33739581684887776, 0.526257527366262, 0.43595670755432403, 0.8274078981448478, 3.0491162633830715, 0.40681794407832994, -2.5587530753359435, 1.147115962852439]
7;-1.6294463943803525;67.61272490001284;[-0.38774546348568695, 3.0804853546904427, 2.635933940621924, -1.4409522616866146, -1.7549241058573068, 1.5578011297963483, 1.316154082903373, 0.08241506741304061, -1.769255882711844, 0.012140964709304924, 2.8240197046499773, 0.27710040653233525, 0.0025478061663761764, -1.6466699147254273, -0.7935025202467085, -1.3179759876170787]
8;-1.623964455640056;67.14013590000104;[2.29836601305718, -0.2687766959507307, 2.5884028560765895, -1.5164558865400262, -1.4403283282530175, -0.08491245736152164, -1.6842813849359826, -0.2637099436927799, -0.4625118798892558, 2.436198511049728, -1.4763757391832664, -1.2634201142226587, -1.8101451019026908, 2.2142056145961515, -2.839729731508134, -0.5225422256791097]
9;-1.6177597937367214;68.51901780004846;[-0.14255320655739867, -3.1193190814218577, 2.6409444850370924, -1.3338304174762894, -1.5906385202826316, -2.981950520194349, -1.2226537102388166, -2.44928863026263, 1.5689134087682115, -1.502256524592974, -0.9967848238265073, -1.050791146359379, 1.3526602115322062, -0.2079995996340811, -2.0977890917368605, 2.819322719186335]
10;-1.6726817666148575;69.97782020003069;[3.137055681255159, 0.18549420958049678, 0.5046899758701477, 1.9530795750403396, -2.5712565317638534, -1.372526706263808, -1.0088476135630078, -2.999113051614359, -1.9796036877018752, -0.1489329497374512, -0.025623154661590153, 0.02309291535643654, 1.3967617578847271, -1.4751675958523869, 1.547210811047088, -1.607534557281068]
11;-1.5941123146730416;73.24880679999478;[3.0225520007357494, -2.9534032864465534, 0.774310294488211, -1.9297092075229323, -3.079088377766534, 2.4555878051525024, -0.06120950486674692, -0.553660013206247, -0.15367713835265295, -0.39753140896467976, 0.8106702851833067, -2.2307153532204107, -0.12162964768366802, -0.8308230801909944, 2.5007940016047705, 0.25241569997177216]
12;-1.6617086428732781;72.24727650004206;[-0.8290293112974672, -2.5533961883421536, -1.5431750501605894, 1.8776125866363378, 2.705925648399857, -2.5186788046351136, -1.6760693244255696, 0.39412853809025794, -2.471915035271581, 2.529563370417108, 1.444306506304316, -0.42485158445606075, 0.00527107791323278, -2.53985633764404, 1.4236375671710704, 1.7126839153396558]
13;-1.5832288346903296;68.13573949999409;[1.5330203823951578, 2.305380757162812, 0.6693024054803991, 1.5745672217715665, -1.6262983464704939, -1.5603962686185802, -2.8404039651227206, -2.8785833173839226, -2.393334324245961, -0.37939023426946283, -1.0095849738710734, -1.718293556080283, 2.6744890089944793, -0.9911408481021104, 0.15371086271415146, 3.1326362028192403]
14;-1.6745439492771392;74.78911599999992;[2.023720813983706, 1.9264088439272102, 1.6170139192664887, -1.8472061884564654, 1.1126233497704021, 1.6562568118403078, 0.7632332576636132, 2.5833600711134945, 0.2560225710214916, 1.6706360366848623, 2.3882618234341493, 0.5956445110160313, 2.5765708286703983, 1.5822198947182144, 1.5553366351871336, 1.5829560625641763]
15;-1.645247249085456;70.87439479999011;[2.0540874918172314, -2.7014141684129087, 0.5412701064021013, 1.487271605507094, 1.8101316862555805, -1.635013023205544, 2.348740123962484, 2.820858110750555, -1.0615633325930247, 1.9578958650057237, -2.691716283008491, -2.5864801331267175, -0.029020228763849687, 2.2670369531939016, -0.4424544441678937, 1.9108349829383098]
16;-1.6276850685481374;74.50936319999164;[0.16705806824857206, 2.176714487200482, 1.491325530068277, 1.442781266572542, 0.18025355384432018, -0.1710162804243427, 0.9309777722617056, 0.18409335250026926, 2.8494965493147717, -0.5050317155665174, 0.38753316230500934, 0.36230357504895094, 3.1351743770918654, 1.7654072185575735, 2.5138229458709933, 1.0211794391070566]
17;-1.5980490597721715;72.54282080003759;[0.07990302492328727, 1.3187614124719085, 2.4686730573667894, -1.5017888787790965, 0.12468004482036532, -3.0464003948592446, -1.0585046876924507, -3.1026286009231345, 0.05657067748943412, -0.6387695289918129, -1.2531256583879993, -0.2575541705379716, 0.0012959121040654331, -1.4488723170805264, -0.4862606655544912, 0.8455399110075037]
18;-1.6629429443806423;71.0522476999904;[0.32893640448257333, -2.3829054020910387, 1.1267657653247625, -1.6698577961267835, 0.20670119868932257, 2.0608246189846273, 2.225776342645993, 0.8494003681078679, 3.121777256506893, -1.6570013413826512, 1.8541726011326816, 2.2351793838204905, 2.889194044751852, -1.4730333203501667, 1.8490616284954795, 1.8691046884036542]
19;-1.652865810581829;69.61795029998757;[-0.11918023327545813, -2.4150824678289364, 0.7195722148360382, 1.521686422201185e-06, -0.12259392530682378, 2.1843488315993964, -1.9964830099120177, -1.7423534070186977, -0.5647551587003106, 1.8022061144752701, 0.23970399834189404, 0.9434263259842499, 0.4587339894470368, 1.9143752397657838, 1.43550279687725, 1.6929335726485704]
20;-1.6748582281951532;67.55897289997665;[0.9348503630116651, 1.9012264929887666, -2.424483140234683, 1.6992818729555053, 2.1952861413212297, -1.856542192601908, -1.03692175623571, 0.17092679080073792, 1.5341639127866298, -0.5535678313735328, -2.0422514855292717, 0.11627219371572739, -1.8594693653457246, -1.4815814307429107, 1.644365904717504, 1.4815544469386293]
21;-1.6596100182736926;72.1395623999997;[-2.4709846673690796, 2.3379536226166646, 1.7420662907921116, -1.3936887756408807, 2.2198532529977193, 2.068537447988925, -1.540619270123932, -0.8049255535784812, 1.6638836937641859, -1.34790106556031, -1.6144274359076094, 0.8850838003626631, -1.1905662696223982, -1.400606971774437, 1.3322942554338386, -1.3095113090032358]
