run;final_energy;time;best_position
1;-1.8818862359999997;32.203492599976016;[1.6327879214337653, 1.747175174626559, -1.7231678733623041, 1.1194498692325112, 0.6855348589447403, -1.9350470701780997, 2.6506369247346306, -0.7072410043722757, -2.3137767646703242, -1.0180281192025609, -2.9683448743665477, 2.6605117119927453, 0.517399753116007, 2.8702447515592713, 1.5234283465006966, -2.2510154716750104]
2;-1.8354909319999992;31.950653699983377;[1.7375515519482665, 1.3063347357646258, -1.9141900025080096, -1.1269694108187736, -1.0097131483059023, 2.3614052368489187, -2.3776829527314876, -2.506309728755855, -0.06706265608452444, 0.7028001021350749, -1.7909148362161313, 1.3159239231583255, 0.9651177583559987, -2.945583895916264, 0.9857480614175058, -2.9884534570641064]
3;-1.919018732;32.199580600019544;[-2.818132026103774, 1.3114181022637554, 2.839620328216542, -1.4632292106156959, -0.38277828384589174, 2.6825571264300656, 2.474512886590018, -0.551244822611098, 1.1404599215060722, -3.10478755874632, 1.933927376967734, -2.403961289617036, 1.5905412345782768, 1.5244835743788903, 1.411902126407254, 1.5179763112455262]
4;-1.739892336000001;32.17928120002034;[-0.7619338797534843, 2.6618345061799467, 0.6697473288913423, 0.11035009746602853, 0.5871713906354787, 1.1034516198422901, 2.0001474008197366, 0.16331649929507197, 0.7894666250777091, -2.3424582726893353, 3.109819439097291, 0.9912344594432811, 0.039274561118252116, -2.4470496250322005, 1.6984913878889945, 2.3810513339977915]
5;-1.874740204;32.06622820001212;[2.86760175176045, 2.73093946843667, 0.8558584356788757, 1.308660377068195, -2.3055134469890906, 1.3081148840058772, 1.5340001421975513, -2.5817686422451676, 2.200288929077635, 2.1091215122630658, -0.6507824210484081, 0.060585660979831424, -3.0406973630167853, 2.0488950554669803, 1.044011998851743, -1.7563459637443553]
6;-1.8982868439999998;31.965194899996277;[2.1744840148009352, -2.6942510017392043, 1.7847273901123142, -1.3094187699513367, -0.3453498899814327, 3.084548272720342, -0.41720593129744676, -1.7850032166551175, -0.7350610166645035, 0.4172574711599468, 0.7604476480440461, 0.6894125650699494, 3.058922445609638, 0.27615336966816884, -1.7222604093746234, 2.4186332508012747]
7;-1.7361768800000001;32.13790020000306;[-0.29423843490711654, 2.263551025183075, -2.9550532411330503, -0.8075708673792308, -1.8809197777039404, 0.6679198704961875, -0.8012521032981863, -0.37254387084470064, -2.0598140617852083, -0.14010499508807328, 2.777514743955095, 0.7158731101423053, -0.2727476804755975, -1.3349593132831667, 0.04694927385189063, -0.7337623337043317]
8;-1.677732968;32.163890900003025;[0.5135252422080772, 0.8955679034558646, 1.0612767023987537, -1.183073575082717, 2.6725709753890268, 2.6205950310896045, 0.2606278909851132, -0.2124435085976888, -2.643380521612399, -1.1880524762431475, 0.20031498637740075, -2.3022401431589774, 0.45888888332996114, -2.2807093175249187, 3.0219573659388717, 0.08707513619792495]
9;-1.806868308000001;32.44170349999331;[1.7446520218148613, 2.04701868701234, 1.9174750395875462, -1.810087378259511, 0.9599027220323881, 0.27231851608103863, -0.23998260408042071, 3.032966928367933, -0.3524390416564289, 0.9708516219077685, 2.023950884512981, -2.9053816700053674, 1.8655470523197595, -0.6412171984409247, -0.8118670209934908, -1.3349503936341434]
10;-1.7007600079999998;32.55018709998694;[2.4092230933170917, -0.31814285033982603, 2.2835007544605315, 2.002594815390122, -2.259070080213663, 1.46583240068568, 0.9737339649284351, -3.018734911773083, 2.582106405460662, 0.20973542333722994, -0.4965969666717993, -0.264495306215474, 1.7187964250158947, 0.857723172399794, 1.7348032633614245, -0.550373244126491]
11;-1.7674556360000004;32.37472779999371;[2.7937572608983885, -2.160114786838609, -1.1808352270685858, -2.62531934999453, 2.364653094571013, 2.141216820909152, -2.3017132138991263, -0.1222583671631261, 0.24165708001010788, 0.02602618462407058, -2.3254183263374673, 1.5521571662068938, -0.9048128868234997, 0.5836045015448281, 0.9358348252454025, -0.5478683451241726]
12;-1.8763889079999994;32.46344009999302;[-1.8091819215262, -0.32086424203576414, 2.614058437604932, -1.7183952163756582, 1.2568523182754996, -1.7038013197566775, 1.8442459337469668, 0.07421668593921948, 1.6350711425626816, -0.2598749376065945, 1.5088190079608816, 0.29458992651775695, 0.32583100870240767, 2.6944770484419047, -2.0477729113501972, -1.8429748209351002]
13;-1.778768036;32.466815099993255;[-1.9779828150858623, 0.7347666876985919, -1.2511966225649802, 1.6133159951166087, -0.6252032264706395, 1.3512117367377625, 2.486348592033515, 0.3621361177460769, 0.49633793213610344, 1.3724358750456123, -0.8979112978431765, -0.22777613564301236, -2.12602119543526, -0.767370664783221, 0.5445363782344708, 1.2953123804767275]
14;-1.84866804;32.142804600007366;[2.052332795429832, 2.2802143231236283, 2.1272386840514015, -1.719161089855699, 1.0946151957436685, 1.262926636506867, 1.7253304636269542, 2.324557229592921, -0.027633582826926517, 2.1847031088104423, 2.08093394847958, 1.2703632702089749, 2.5240485911497794, 1.720301244810706, 0.8247507425500236, 2.2637536784689445]
15;-1.6984652680000005;32.35300990001997;[-1.6064898157786156, -2.494983627057867, 0.8868803488367814, -0.9801914742969826, 0.7907778533593017, 0.5843687364192314, 1.5498866867220276, 2.054353768101592, 2.6387466962576758, 0.8762008647878039, 2.669987525967626, -0.3663161806029729, -0.3068965182551686, 0.3225657504488968, -0.7886893007256219, 1.7016626569599076]
