run;final_energy;time;best_position
1;-1.8298869400000004;81.00735349999741;[0.629748907581491, 2.1100066871052903, 0.7163725064844453, 1.965089045615855, -0.6247313352117234, 1.3088741431057915, 2.4408119709748455, 0.6846691620740613, 3.081882426545361, 0.9162000183577899, 0.9591647798789236, -3.0124456710982512, -2.4850504913387503, 2.5307406976882003, 2.930960546923716, -2.4260873369176177]
2;-1.8926925280000002;75.38172110001324;[-2.5213724969466846, 2.0421410487385643, 1.2128055165897074, 1.664587143943269, -1.4626627686373532, -1.3056193902456315, -0.5049364803560126, 2.132253831190992, 2.1470824114440603, -1.0565055420003384, -1.6817986395845623, -1.1332944391259794, 1.061373831833862, 1.134740919738304, -1.9781879669973375, -0.6757262995687432]
3;-1.9276105959999998;70.98182929999894;[2.997591660217747, 2.8887628505781047, 2.150415969967943, 1.5832018172976658, 2.183964498153953, -0.6672315365064243, -0.24637881524784033, -0.9159486904586176, 2.2544322342479184, -1.8515250535563512, -0.3079105030385496, -0.2602259356231049, 2.3682483614932224, -2.523732945744258, 1.7406363771575464, 2.336792187326819]
4;-1.9184274600000002;70.4126069000049;[-1.254771462038777, 0.6321660277397849, -1.7510864211126382, 1.120928175981784, 1.0986093554861958, -2.6760515480846054, 0.6773301552998978, -0.9325060795410245, -2.5632225658438594, 2.5222509544074745, 1.5571234756070274, -1.3407819372242593, 2.705448490194237, 0.5807662272071283, -0.8354569129458937, 0.6514343192367162]
5;-1.9255382039999993;70.82505939999828;[1.026145403243878, -2.3439294014126197, 0.763377142163626, -1.1668505191055751, 1.3895642377026842, 1.7936651406976454, -1.372831378030923, 2.2810967197099163, -1.5482847857380426, -1.1890439886075659, -1.6045190481770168, 2.223136812434035, -2.181246501491894, -1.8443325753342477, -1.7762945691709202, -0.9552178124968655]
6;-1.9173814239999998;72.09826430000248;[1.2737087521764323, -1.6169372359048921, -1.9438060461157214, -0.19879907619339, 1.194001571803982, -1.5524545263247962, -1.7282993898405383, -1.0653385963837971, 0.030350958100914482, 0.5005304858214417, 1.376821280563914, 0.34475705340916507, -0.04195101909515486, 3.0105660128610614, -0.641412774299916, -2.4237907315481753]
7;-1.9228618199999998;71.72815010001068;[0.9262957421127833, -0.5701897366594006, -2.188821411175133, -1.650114373789019, -1.5988280706616973, 0.8525023676012369, 2.518480984756425, -2.4379436655687114, 2.2252749796262785, -1.9995253424783164, 2.342016658804913, 2.39012700897883, 0.5287286719300033, 0.008051349326629875, -0.636515867023796, -2.735358285503757]
8;-1.936648692000001;71.79724150002585;[0.18005826532407676, -2.5298804611991534, -1.1186057397603397, -1.355642294969642, -2.2945381575408077, -1.756209804324808, 0.40879107408416004, -2.4770516713130646, 2.2278654812925653, -1.5650774507816567, 1.0472183206217398, 2.217234817938638, 0.3160516198175469, 2.184564766648002, -0.6338982054998299, -2.710037911636788]
9;-1.901256176;73.77796560002025;[1.2668954633086713, -2.020603230714593, 2.220039961471435, 0.8776570283476399, -2.332081878800785, -1.3898667625426593, -0.9284990329948908, 2.238080063999612, -2.778015371926576, 2.10274265752233, -0.5412599072188558, -2.1055300075404495, -0.859363324620674, -1.4683967250092465, -1.6338954846430525, 1.3741136423438443]
10;-1.945060328;75.90825710000354;[2.4842163526783585, -0.5379649354072402, 1.8442494568923626, -1.8618430882867956, 2.7332091322671728, 0.9932076565334125, -0.602629142072638, -2.0240782205011634, -0.003254170621878494, 1.7665960107765457, -1.6569380946551064, -1.673503941729148, -0.4466106520168043, 0.39955735938209, -2.051314470674316, -3.1170262625712906]
