run;final_energy;time;best_position
1;-1.8265778680000004;33.52985770005034;[1.9205743722694155, 1.9761950621635798, -2.073738356165916, 0.9986873419604345, 0.39224176453309223, -2.838236423357527, 2.594309095310214, -0.6944278449967038, -2.2634804334420573, -1.576266229426173, -2.5192538499368315, -2.775677401954183, 0.261195387380067, 2.7505028870241155, 1.4679068316547799, -2.3008148243450557]
2;-1.9036127120000004;33.23138820001623;[-1.43018630956647, 1.6295273567014243, -2.576269674296076, 0.9848594086531035, -1.6537083243069515, -1.9705628694155322, -0.9493710138598432, -1.739301668865771, -1.9964567221356773, 2.5215803512541495, 2.469295511697987, -1.8053989781812025, -1.1149508040351375, -1.698578361683809, -1.6388968222938818, 1.5491483878550856]
3;-1.816708464000001;33.406732200004626;[2.7153287509962603, 0.1887063867723997, 2.6396786531437915, 1.109611024330869, -2.8215326918718326, 0.2603381323855811, -0.5763975162787043, 1.6418868417099377, -2.7981170327499507, -2.367393515100552, -2.578983107080261, -1.567293796422562, -2.8880391318680023, 0.22576569478073827, -0.8891413552968377, -0.9063590986396766]
4;-1.8646291399999992;32.992264800006524;[-1.233279841469467, 1.3845093825505703, -2.0116323973368786, -2.0355963093862717, -1.5667242708231603, 1.8273154415895263, 2.1504110513056727, 3.0075848310749853, 2.763150672361907, 2.057393383726918, 0.24879189730074502, -2.4464912428263124, -0.45798387281007624, 2.921693735306299, 2.573626276549202, -1.8763969490557593]
5;-1.8468315360000003;33.50018030003412;[2.5119358578633175, 2.917109341660268, 0.8506280253539424, 1.274746190653464, -2.319280643461022, 1.8575735457845468, 1.4472921454325558, -2.7156552007864154, 2.477846423250444, 1.236065783583335, -0.8988937987101617, 0.0973240987788393, 2.9305864724943955, 2.5885814952926935, 1.3052560492918488, -1.415646117967506]
6;-1.796646479999999;33.23795609996887;[2.5272067774990647, -1.6008519236501555, -3.102718417372289, -0.9453393666890753, -0.2702137497307091, -3.014461351637939, -0.32444258555809036, -2.1929935729030303, -0.17914339414761526, 1.1421396356148028, 0.034059080212502035, 1.6056365439965727, 2.8037196238825794, 0.2490237003915019, 3.043892407458456, 0.7410527648479301]
7;-1.8432045639999994;33.03423659998225;[-0.6344581610531197, 2.055364359624132, -1.250348612750706, -1.0922000820724946, -1.4413627801749713, 0.43079723939062964, -1.3081462589489394, -0.4577798574998253, -2.1710906105187875, -1.7172263558335177, 1.9440922082475245, 0.9431326810383291, 0.03892388529930324, -1.0715284210578169, -0.44126571131601855, -0.34846627829276366]
8;-1.7338036399999996;33.29063319996931;[3.0371120819359856, -1.2973111859536224, 2.9868427896954026, 2.1077190763832796, -0.034888486951398345, 1.9759866959487349, -1.0607280963428032, -1.645323568584526, 2.7311275022166654, -2.206430508129195, -2.594517102356474, 1.4784595016784552, -0.5037390375197153, 2.835836031133921, -2.1348229153742637, -1.052312856889945]
9;-1.843800128;32.7630724000046;[0.14564863679382523, -1.9377245841069224, -1.7071674566322663, 1.16393224004484, 0.6188228161495495, -1.6719394769499842, -2.843874176728506, 2.9329442078300323, 2.295701201438761, -0.9531878696037932, 0.3130744617966199, -0.8771773139012762, 2.4821214615618965, 0.45767257638669134, 1.6965862140506456, -1.4524413650731103]
10;-1.8171701599999988;34.10432009998476;[2.185625171013239, 0.3379106328146553, 0.767980899900603, 1.8667507924184097, -2.288242095625413, -0.9978052828082409, -0.4270270176193387, -2.7861314057211928, -1.6489739608105216, -0.050327723376257794, -0.017886955165834717, -0.41617894754723617, 1.250274118536832, -2.2509827677620122, 1.7038491310748203, -1.8631748034501125]
11;-1.8662527439999996;33.95883749995846;[-0.4452259663034006, -2.060079333847747, -1.3812020108885972, 3.0551583961606674, -0.5267548742449373, 1.3397493178643334, -2.2992712247558225, -0.1143345656209438, -0.15731534737299002, 0.5679541617303148, -2.1551076307088857, 2.1440232553800627, -0.0028794078136584744, 0.060655758366134016, 1.0785703198653618, -0.6437292812114097]
12;-1.8143142479999999;33.76097970001865;[-0.9365426902711196, -1.6757514527557236, 2.3703418703152455, 1.5801196304083973, 2.040557910588225, -2.5051173310895876, -2.3469235092178002, 0.7452063813319709, -2.4194827852988188, 0.1826682143371796, 1.631240472650373, -0.7878548570513488, 0.7265649177820355, -2.696347698656614, 1.67446378789257, 2.2146274552484337]
