run;final_energy;time;best_position
1;-1.8003514960000007;33.59412419999717;[0.790483426153699, -2.2705410856533472, -1.0877492788595697, 1.8414967611723148, -0.6446873929059018, 0.3771831406330781, 1.3837194919137978, -3.0210866407846577, -1.0271168188550512, 0.8708799260852533, 2.199221329532004, -2.7082030256413496, -1.8587662486928402, 1.1499907147399409, -2.394875106283815, 1.4416598663133051]
2;-1.8502431600000004;33.56318729999475;[-2.047480713809602, -3.0309544813570044, 0.15386512456084178, -0.8915210635010347, -1.4545341249322035, 1.938446362531745, -3.0876071799935625, -1.9952213771150742, 1.851526458102045, -0.4662736600157942, 2.1469603725240667, -1.7690041062997288, -2.6711395057833642, 1.9130503102724337, 1.5845281060368785, 2.9685838203714816]
3;-1.7348356840000003;33.1895433999598;[1.109849335619824, -0.8663913207992309, 1.9051149828572012, -1.7630516279062407, -2.752531244181731, 0.45416393590148907, -0.7087218772318691, -3.0367641545485125, 1.7884316591633365, -1.1155923692753786, -0.8861055401557665, 2.2045450376513607, -0.05309033180744205, -1.4446703193699386, 1.1855385010657429, -2.2216174129717934]
4;-1.8377911239999998;32.985731500026304;[-1.9871785123072232, 0.31320002196555174, -1.3487034181264506, -1.1705481223641898, -2.0089018674398997, 0.6295860965847102, -0.8795894411591707, -2.799882748941391, 1.9916307788317704, 2.5732908880216847, -3.060041404507419, -2.002310228836995, 0.060167744905152976, -2.9401311171641376, 2.500169567493309, -2.1565285660386384]
5;-1.8027122400000006;35.29590849997476;[2.4645033340372713, 2.0340375880055497, 1.907132628093728, 1.3086555294128095, -2.3601972464177257, 1.2760256689463034, 1.5007213435471112, -3.039888489873009, 2.2778817959926982, 1.353313658915953, -1.3039152524639455, 0.003225655342808942, 2.731471181742404, 1.6652475114587846, 0.8941443220339673, -1.6173318856179242]
6;-1.7829420519999997;32.66143700003158;[2.8768342888642096, -2.6081632199586786, 2.449635367289554, -1.3034685693217596, -0.277493763866417, -2.784878077753934, -0.20107233874549957, 1.5815480805281021, -0.5022274101584836, 0.46937978087163135, -0.6375893360549982, 0.8097684099207769, 2.465639637376454, 0.21756950331374725, -2.454530977848883, -0.6771264918445095]
7;-1.8812214199999995;33.057708799955435;[-0.46475413934341026, 2.5363014133484603, 2.822014752219074, -1.1948599899257877, -2.3640860527387164, 1.336597023397351, -0.26900411227033283, 0.02038179717622013, 0.6797288668664345, -0.008987324601141378, 2.148708272458059, 0.020961378199839675, -2.9061664003139582, -1.0097340960451011, 2.7535605890870825, -1.9849142237461341]
8;-1.8437656000000007;33.00420219998341;[-0.9693676411089367, 0.06629086123798356, -2.8632454596891943, 1.9696257960870662, -1.8543987932165082, -0.18673045608460948, 0.23415422443584788, -0.9634088782460508, -1.6084944328771347, 2.498923028943966, 1.6377653965101615, -1.655816499460977, 1.312021828015836, -0.9960712049420115, -1.232923624400222, -0.3276881769671305]
9;-1.8683181560000006;33.041369800048415;[-0.016346374282183884, -3.1347248958193177, 0.4429779906582678, -0.5436946482299656, -0.8707959247033479, 0.4346291133228215, -2.027107638190525, 1.7821300986873885, 2.2295481725947557, 2.2301246059150177, -0.3412940189191196, -1.0434230812349434, 2.208579434343255, 0.0006018190570165061, 1.9341721162477237, -0.5227294294220637]
10;-1.811163596;34.24395580001874;[3.02599329180849, 1.6246417618717235, 0.6958447239368271, -2.3087342961947463, 0.5590960131666516, -1.5319866010757552, -0.41373064653395897, 2.8736486406779864, -3.0410110781095745, -2.23565769046676, 0.7055028526201594, -1.6569411776013232, -0.403210631362513, -2.317188394656971, -2.434742328077006, 2.517394274784696]
