run;final_energy;time;best_position
1;-1.8304836971570888;2.779755199997453;[1.7973710897454565, 1.8655491797375863, -1.5520152665604747, 1.3844950186719895, 0.04576945094150098, -2.7803521913390328, 2.8117962623928587, -0.5953564822641657, -1.8181527186677777, -1.275741808630132, 2.359138156344091, 2.4840381393361373, 0.3349077781646912, -2.9865728712305115, 0.8733860348982958, -2.4215329142639757]
2;-1.8469243909201651;2.755349400016712;[-1.6367465785387343, 2.943128840861638, -0.0242467645673603, -0.9919223978227043, -1.5766266490428444, 1.6321931487145145, -2.211989590785159, -2.2340703930915984, 1.501996248222894, -0.2803452517854885, 2.0995713005450876, -2.225221547906303, -2.976301918806661, 1.8342452393932724, 1.8329154222204629, -2.2235054270366867]
3;-1.840913240867369;2.6098197999817785;[2.431536344205215, 1.239113852047045, -1.6314130954809836, -1.6014994218597278, -0.15324803426274247, 2.5632092869840957, 2.615143594992645, -0.5294560672204565, -2.5582733774617155, -0.4799622828621102, -0.22195326840002627, 3.0804153075307905, -0.4384208878719482, -0.35047701850035873, 0.9277406302528863, 1.133779883304122]
4;-1.8357607128534743;2.5126843999896664;[-2.205267426151112, -2.311958413890298, -1.606842363118396, -1.8044148478716566, 0.437140289901246, -0.06109944220705188, 2.3614557319819536, 3.1329696929223623, -2.484156065468943, 2.4639032893464776, 0.9446455364881894, -1.8270262662387797, -0.30677465644063595, -2.559047203673819, 3.0123998862624273, -2.884954690294295]
5;-1.8555994805352878;2.4804958000022452;[2.4630717788320826, 2.5461026324959617, 0.9979869693444536, 1.412808141181916, -2.300768495975341, 1.8482429580848319, 0.6121713302362726, -2.7000426332977656, 2.4058089723381455, 1.2199779566856588, -0.13237928516283226, -0.29847333197812276, 3.0438070307509033, 2.592944107412074, 1.932691687549088, -1.7767053632858423]
6;-1.8333048506239835;2.644536900013918;[2.232001314486306, -2.0930700630924584, 2.1661195696423867, -1.745979286746898, -0.6613022457263793, -2.6686873989221875, -1.10388632787543, -2.7870475694753045, -0.5276269647011511, 0.6875281725420388, 0.07304503476727309, 0.7738837803187919, 3.112937567332292, 0.4206293044814702, -2.784993486272408, 1.1518935611878387]
7;-1.823605491939896;2.667151900008321;[-0.7324005832590288, 2.6684080490508766, 2.9861814830046445, -1.2452040142313365, -2.0803039245776276, 1.3563519259639785, 0.5502453922738262, -0.5311642537889805, -2.110122235599641, -0.21246171326561925, 2.322052430613925, 1.021709715938254, 0.3009859149387579, -1.6304825958380513, -0.657106671079009, -0.751505721948523]
8;-1.8546718523484118;2.5564586999826133;[2.7440682052972463, -0.6546719592245722, 2.811148277252685, -1.37322820955805, -0.5840301155227858, -0.7098970710527084, -0.3195103223207503, -1.3348782801831727, 0.4910792084655835, -2.506347562385122, -1.5075883876553016, -1.7623929154207763, -2.7651086671100127, 2.0983086258808026, -1.9116324095577542, 0.46139090111344405]
9;-1.8375264540428824;2.6074641999730375;[2.248588510098867, 2.0273467441666977, 2.3125041902793377, -1.6668150830018762, 0.9534291651855966, 0.7288599838204672, -0.09462118202524294, 3.067203399876764, -0.37864966814072787, 0.6830748957138275, 1.9174335731017447, -2.9564456169998348, 2.82125102996468, -0.7653875600733255, -0.702624535114523, -1.4264922250610037]
10;-1.8593753065236829;2.534331700007897;[2.197171484013187, 0.40844545975366486, 1.5004604515602296, 1.5557255041050837, 1.3082414487179195, -0.9034606348675767, -0.29266137235450174, -2.8536696661933543, 2.770810234339324, 1.8479991255197747, 0.3984550120752939, 0.07845726716583101, 0.8205026148443277, 0.7478127409189881, 1.2880166617958206, -1.3435207673471796]
11;-1.7882978598424353;2.5549771999940276;[-2.9362991858354657, 2.716890328909188, 0.11234989149914876, -2.807084818625796, 2.486680344026153, 2.478989479129819, -0.6194967690821458, 1.0952239638191719, 0.12179202392141386, -0.08285755353283886, 0.49031127624105864, -1.422284700535251, -0.27444850760702844, -0.949258805871521, -2.786695284711028, -0.23774943567673468]
12;-1.8521177761552505;2.5197045000095386;[-0.8284425762975083, 2.989399601383125, -1.5855249499488517, 2.3650280197423017, -2.9212004590612417, 2.846580821301541, -1.713105039057022, 0.6189368295638205, -2.334519505007093, 2.7760223358284346, 1.437684829047038, -0.6071522785353034, -0.008862353347178331, -2.8427754426840792, 1.1374206417432218, 2.108460910675025]
13;-1.8541333651242324;2.581392899999628;[1.660782154190927, 1.938182830314858, 1.2793582588943595, 1.8655275969926324, -1.645032575133192, -1.5622202583578706, -1.2118794916752018, -2.91553953871441, -2.810521350406816, 0.2615540115002859, -1.347521017926443, 2.845394091670453, 3.1404546473096246, -0.5211297211703938, -1.7766441603863612, 1.5312242294391556]
14;-1.8377450016293413;2.526672999985749;[2.8828943430763054, 2.790576601680253, 1.6242193554464368, -1.6257818206707755, 0.9491718851859776, 1.1985702553061994, 1.7178143883469659, 2.932971184947654, -0.8412295876338982, 1.6778171653455747, 1.5600702829484936, 0.7801789659519329, 2.9766542948810706, 1.6748977733647576, 0.26704594944259163, 2.3411200114249597]
15;-1.8343853557737684;2.5748337999975774;[2.288240606586646, -2.468701755816397, -0.07231820894938457, 1.6468884116721432, 1.93439454508676, -1.99492108054065, 2.6678506676523135, -2.732950344245127, -1.0818796306842526, 0.7654028203122323, -1.6048994875679565, 2.645741588958419, -0.4699034447012269, 1.954671296248005, -0.7258324685302755, 1.2327174521062636]
16;-1.8431866250788167;2.6419005999923684;[-0.44116224124798453, 1.7976641852780322, 1.4183277688941969, 1.447654553682482, 0.7598628514467114, -0.6684886801958503, 0.9351161528386678, 0.1607508820642911, 2.788244194859711, -0.47302213745848176, 0.5823392183458287, 0.5678225449436756, 3.088027893366843, 0.9318235741645742, 2.8893675760687074, 1.0699231242327425]
17;-1.8561167461017298;2.578029099997366;[2.9139343692686346, -3.1161019114649733, 1.1398263184334443, 1.595474926597757, -2.7517808948492863, 2.278590461840552, 2.6270650278795546, -1.8523147713723396, -0.5095636436761297, -1.3488940730348402, -1.6506216748095333, 1.7493289570376822, 0.11754806742746293, -0.9643017587849667, -1.358768961663213, 0.5783313850294651]
18;-1.8166149878691733;2.6625014999881387;[0.0895886349410473, -0.2491454619498068, 0.8597902259182355, -1.8557400593609426, -1.2958330867660917, 0.5241107412581685, 2.5590508679379615, 1.1784061499635365, -1.6850549574190186, -1.632855910243365, 1.4217066753903094, -1.7796251342973988, -1.7863500691402667, 0.14583865180957556, -0.8266426729027385, 3.039887875121239]
