run;final_energy;time;best_position
1;-1.8590581531333297;12.672308200009866;[-0.21666119234626002, 0.3443543613630977, -1.3228473289444094, 1.5785908022480992, 0.7112139078132107, 0.4428765087970401, 2.970708577445606, -0.5707458533069087, -0.5879209570780128, -0.6322313741922585, 2.813570757146632, 2.9677700742811233, -0.6791784730840287, 2.7698379453071773, 1.3178704893054043, -2.123686635103689]
2;-1.8606838555202827;10.728209900000365;[2.9620558073425265, -1.0301761612902158, 2.378189917359091, 1.5747606729330936, -0.20735722522527444, 2.633497524271603, 2.5198134388205293, -0.6597797577425961, -2.171278091618971, -2.298860285208533, 1.8490412852279041, -2.5119126048914175, -1.024364294586042, 1.5346419725766953, -1.4904959660559658, -1.5038459542746925]
3;-1.861583435695968;8.798354300000938;[-1.615933020049606, -0.09522986118506305, 1.5655382581139126, 1.5755077071452677, -1.8871941712861684, -0.8410263721785189, 0.028557260054361322, -0.2523299403953896, 0.7830365907480576, 1.2347594314618178, 0.03329922517156625, 0.013532378907300302, 2.175008012870382, -2.08208485182587, 1.5617021533098283, 1.6886660870808408]
4;-1.8533949525180815;8.614636000012979;[0.542413738432181, 1.9132168674902008, -1.0273353193280466, -1.5360877989164452, -0.5865204646423168, 1.5086447290099088, -2.2804382172790616, 0.28474128071935345, 2.971023611935003, 0.2644282633349757, 2.564406098491771, -1.4276795199983587, -3.1347999962915285, -0.5983465312123304, -2.9651359232784524, -0.3075874356418873]
5;-1.8602401966521234;8.682369899994228;[1.064887595418888, -1.90141884116916, 1.1489568119946885, -1.137969171032064, 1.0521982577312015, 1.7090080728734494, -1.4915885950759318, 2.209256216525544, -2.857611529840766, -1.4695763115126426, -1.9377901821726873, 2.128506675826266, 3.1382887106266937, -1.8934343526198267, -1.5953232416546896, -1.458724561011044]
6;-1.8547723173281543;8.567607200006023;[-2.615079137596696, 0.7825317085606502, 1.559795970215399, 1.571370197450059, -0.9172713963256358, 0.0962339501998506, -3.1204021427731177, 1.7086293864742155, -2.8265387881750565, -1.9609485420057555, 0.6077235928324227, -2.5409762147302386, 0.6339973777621228, -0.03859768997218049, 1.633470370141617, 0.13142346092325852]
7;-1.8564290246114097;8.626860899996245;[0.9564132892984603, -0.6577126638828248, -1.8623647494872373, -1.573586675717403, -1.9064161903242025, 1.2465388323632647, 3.087848949932445, -2.3826632988416683, 2.371821749037128, -2.1223304280888042, 2.4271082433862095, 2.5550366258309376, 0.18638604283525684, -0.32429553605217176, -0.9521280065748128, -2.5140968796426484]
8;-1.860330081419663;8.622148700000253;[-0.26502071053028553, 1.4843820649854642, 1.559686407317841, 1.7160236392312385, 0.2621593742058179, -1.4456617137678878, 1.366583682378323, 0.79903014857087, 0.016941782008232487, 1.9225326620571277, 1.6051069605416277, 0.7778290272743842, 0.009020924544967723, -1.2131311299760947, -1.6018022477362195, 1.455431701055546]
9;-1.8608044154067316;8.527635100006592;[-3.0637068630272, 3.0901339784600825, 2.842675850355892, -1.5960501487710548, -0.9719758395680995, -0.16153552307861085, -1.7252865771057986, 0.36530586560830436, -2.186960479845163, 0.9941931867785945, 2.815520336941857, 3.023148734704378, 1.356130759334298, -0.5713905673503374, 1.323155283155276, 1.2395124247467662]
10;-1.8597578819328302;9.0528151000035;[-2.470844525932821, -0.7326559320753216, -1.5513572518119207, -1.8362184434397046, 0.45644787284689325, 0.7852947122518108, 1.3315886321809787, -0.06838377138633378, -2.6780396639887414, 0.9036160345840649, -1.8414131861470484, -3.13301703517726, 0.01646920292490206, 2.2256993960161884, 1.6443789985267454, 1.4096823830746334]
11;-1.8492989277504663;8.78188220001175;[-1.2595528892017875, 1.5760218837809168, -2.343911919676811, 1.5830075406857365, -1.8700547634156583, 0.05322633598548032, 0.8623159499911894, 2.9265988414863404, 0.016450243155247346, 1.6662278240191197, -0.6944878299808415, -2.757944497974578, -3.1264908588382276, -2.240185749703683, 3.096496032885975, 1.2883889548500171]
