run;final_energy;time;best_position
1;-1.8382811277108755;2.636310699977912;[1.6970651007542488, 2.044053508434107, -1.5593088148223424, 1.3743055546098928, 0.02717685801923997, -2.706478724808097, 2.7988870326657427, -0.49921178234000685, -1.6698384843074794, -1.1830755828482131, 2.584706615399506, 2.668334031677385, 0.42582013880003267, -3.0719296660422155, 0.965616036271606, -2.2458916453042996]
2;-1.8499962267107097;2.559489900013432;[-1.754724372642333, 2.233725148293723, -0.44686754231966486, -1.4618717952496108, -1.4840241695379892, 1.7995688024613052, -1.9234198093016763, -2.3912801157590526, 1.2713327576931661, 0.11589580837500124, 1.3837203070449116, -2.5218516683567542, -2.5529024141195844, 1.9092248374913963, 1.5641204025670081, -1.8947137798685374]
3;-1.8538805534341307;2.5427105000126176;[2.308714407951806, 1.410932910374953, -1.5646831615812522, -1.605920701000329, -0.22248992387617772, 2.7220822067821526, 2.7332182546031873, -0.28585218071287644, -2.4337246488394433, -0.5195218365160299, -0.35290826459866986, -3.0332312566444815, -0.5437497189603113, -0.6550654091841297, 0.9485643728327249, 1.440422560613233]
4;-1.8395498895841094;2.547600199992303;[-2.366023962846717, -2.287454998642638, -1.6662516182536873, -1.648490087389946, 0.551469795161966, 0.10227743554127766, 2.712151000485349, -3.009863184308067, -2.8318099564567416, 2.119983136798928, 1.373663160013506, -1.9874964791849479, -0.3834409729742614, -2.679683177594377, 2.981323143809476, -2.926812529575869]
5;-1.8645452075903977;2.550734199990984;[2.4278493013064537, 2.426121525933959, 1.0293365847614844, 1.4025434846896498, -2.3057046147020177, 1.778219260345149, 0.5707989106678149, -2.692702312492986, 2.464313310471246, 1.192275731196757, -0.11715665037675782, -0.2091023445449638, 3.061238896229357, 2.559607349247628, 1.9625483348939223, -1.8070611776648182]
6;-1.7691429276710202;2.544292900012806;[2.3853092052651412, -2.0356826355282385, 2.289708860106784, -1.4531758387577256, -0.6605837111804505, -3.068043308316073, -0.5261917238558431, -2.613050559443551, -0.368189288885302, 0.7100924516706173, -0.015601827001166857, 0.8357452706135322, 2.489397279184425, 0.4112079429354867, -2.6443364002884637, 1.2976250616242213]
7;-1.8068696686818793;2.5467026000260375;[-0.7116423322076137, 2.6785606493194773, 3.008064011209659, -1.2756925844964184, -2.004828304140861, 1.4040199834835168, 0.5515724693641912, -0.5421478810080678, -2.1016010951177746, -0.2699596951075369, 2.36991610912495, 1.227089777869475, 0.2983730895025083, -1.5146570271474311, -0.6919601990277728, -0.6978559471792112]
8;-1.8165074389893263;2.54318710003281;[3.014189631181612, 3.0250373232401255, 2.909138010753175, -2.2674240704188744, 1.0483601577696486, 0.5919617462100515, 0.5598679682927776, -1.685308313783898, 1.775211228757879, 1.3829122093250916, -1.739942264047709, -1.5439757717358222, -0.9554057141832719, 2.392675654578003, -2.176767752499116, -0.06539064212701629]
9;-1.8508817722960482;2.5594643999938853;[2.36744352563211, 2.0902077089809854, 2.207184091899495, -1.664579261624975, 0.8749883306827293, 0.6884512337807434, -0.07887699598033526, -2.948818954351328, -0.3444203998273734, 0.8360652777583644, 1.840641079174814, 2.89892899396392, 2.866203372040477, -0.7149586553048612, -0.6382835900545114, -1.7860440406342453]
10;-1.8636460346439032;2.545697800000198;[2.2256038421140794, 0.40555738217906123, 1.482243650932876, 1.4896344167520033, 1.3064317874733344, -0.8023817256243184, -0.3219466402123925, -2.8498057711392155, 2.7707481556461575, 1.843412053694812, 0.4251883641272274, 0.0803627811766594, 0.8390298129947604, 0.6383469512073892, 1.239146498616548, -1.3098302811253075]
11;-1.7654674368833612;2.547840599960182;[-2.904786382768453, 2.6017626687086643, 0.11470292811232152, -2.925348075418425, 2.4674328466191966, 2.531209034402684, -0.7466916667367114, 1.030855090135014, 0.004286133071240705, -0.0023790307028273006, 0.4668229109630859, -1.6341771006888728, -0.30222487856368385, -0.9104401813407668, -2.841145447364786, -0.23842286308495675]
12;-1.8540432857845042;2.6422083000070415;[-0.783006474886073, 2.9509000608179914, -1.5825031206157059, 2.606553336318207, -2.8866946844325394, 2.7755819554192476, -2.007978467834393, 0.6119212510691678, -2.3729934310411025, 2.992143412042493, 1.479277419211721, -0.6353075435831594, 0.0026926994924751924, -3.0540113037363663, 0.7245691577730047, 2.154524239571738]
13;-1.8480261777173967;2.5531622000271454;[1.7904956052043053, 2.150638951559497, 2.3711828771665378, 1.1832303478118398, -1.6994965673912001, -1.5621629827985397, -1.7031029733967815, -2.7302889121797076, -2.539360804779968, 0.7333445116271937, -1.763375713371969, 2.6243022098046476, -3.135384099377448, -0.06115779181386927, -1.567419125175129, 2.120842540155719]
