run;final_energy;time;best_position
1;-1.839322096120347;2.8703079000115395;[1.7102494756487854, 2.0402059545963223, -1.5621662850912212, 1.386715772888607, 0.06970814969289174, -2.705938767306157, 2.7985626986748944, -0.47515110315843945, -1.7339195752816337, -1.119621956505017, 2.5976287271959357, 2.677753849017023, 0.39611522435696545, -3.0447290637768853, 0.9470663750233292, -2.2284248162489337]
2;-1.8503537603271456;2.7300119000137784;[-1.754724372642333, 2.233725148293723, -0.44686754231966486, -1.4618717952496108, -1.4840241695379892, 1.7995688024613052, -1.9234198093016763, -2.3912801157590526, 1.2713327576931661, 0.11589580837500124, 1.3837203070449116, -2.5218516683567542, -2.5529024141195844, 1.9092248374913963, 1.5641204025670081, -1.8947137798685374]
3;-1.8569902429430893;2.7512549000093713;[2.3372935132853847, 1.4139191880992845, -1.5618105132729925, -1.5999122652524556, -0.20644457519925252, 2.725529557081156, 2.7342394389732743, -0.3480546197699992, -2.4235476349501743, -0.5557921492811566, -0.37065601284070837, -3.056952871572016, -0.4661370861144549, -0.6110572300765749, 0.9492184577894189, 1.3492877266548033]
4;-1.8400642072643527;2.772432400030084;[-2.3638315891968307, -2.289007180420855, -1.6642663759660947, -1.6497986196805579, 0.5516973088622703, 0.10399437945698686, 2.707172878849846, -3.009158902386649, -2.8327516943582918, 2.1200372675315657, 1.373918521211154, -1.9875583423567813, -0.38340841693810024, -2.6801075613562038, 2.9867911320347478, -2.9268131922888996]
5;-1.8656075201657156;2.7304401000146754;[2.42756203291688, 2.3289892686652696, 1.0294140744298588, 1.4073597423482074, -2.31056523843732, 1.7672800961092507, 0.5908838868494319, -2.7022352264245635, 2.556808672832597, 1.160721792039002, -0.15672287084581926, -0.2234038627621513, 3.066409104638449, 2.545264213386714, 1.9671525959117835, -1.787126338073023]
6;-1.7502761816532082;2.736250000016298;[2.364406310823341, -2.045700720772643, 2.570832462808319, -1.4609954125058566, -0.6552349083300824, 3.134415787322694, -0.40514112684131964, -2.6754575697197773, -0.45366144950173215, 0.707709025899014, 0.08667611668342623, 0.8042510564873431, 2.454230434671822, 0.418749099150415, -2.669819525781894, 1.1380219939652463]
7;-1.8220968404651212;2.824583999987226;[-0.7040861994239456, 2.6618846242166825, 2.9613685921163606, -1.2050277322616907, -1.9294958748554816, 1.4094475476202195, 0.6010996407635543, -0.5271489620168754, -2.103442715115368, -0.22639545326466415, 2.36900959791551, 1.1450466557833687, 0.2943829326205236, -1.6015619153163705, -0.6874954001647997, -0.6977794864136317]
8;-1.8642927838099195;2.7397182999993674;[2.9604972302756885, 3.0861289861404853, 2.9785143597888837, -1.4285815689824344, 1.267209301463092, 0.33788932876901523, 0.3551553465523951, -1.55899589695081, 1.5875489537731138, 1.3201892267984938, -1.5218247340419044, -1.525249123010268, -1.256126658897735, 2.113829717661856, -1.453540012539082, 0.2379477383654378]
9;-1.8567836643293847;2.7699059000005946;[2.3640281170345396, 2.1444586422722036, 2.1357482125741196, -1.6043378368121586, 0.8087152559600823, 0.5456741575595099, -0.2239113679941962, -2.867844658688908, -0.3185150979196698, 0.9187183545663551, 1.8784307493312422, 2.7104162963109095, 2.7514323890933348, -0.7005656392045649, -0.6791938567041651, -1.9830865697780935]
10;-1.8637512580237146;2.5686105999629945;[2.183929210632284, 0.4242006008488617, 1.48714546174826, 1.479191357258709, 1.28472275084824, -0.8428783591364017, -0.3087399630966319, -2.853264322308938, 2.807475253867139, 1.8345088059087846, 0.39805367270111436, 0.07640325043522678, 0.8378783157389353, 0.6656006365918263, 1.2692858982600637, -1.3125090017308974]
11;-1.76682619936093;2.783427999995183;[-2.9113881947656166, 2.596586203446032, 0.11498056861536332, -2.8689903155823044, 2.478603078314115, 2.5312095766751312, -0.7473983291518942, 1.0308746456441193, 0.0076848689880599785, -0.005774894886300341, 0.4597609181902702, -1.656418029070476, -0.3047543884475088, -0.9105908254030073, -2.8410050461902094, -0.2154393576108582]
12;-1.8545978278970423;3.0056613000342622;[-0.7768543828665933, 2.9646812630148682, -1.598121748658957, 2.607179307979732, -2.898728388494364, 2.7886794607149, -2.012736053166824, 0.6152771773324863, -2.3782074779126328, 3.0052280063136063, 1.4896475229529038, -0.6454980252416318, -0.010977710799263463, -3.0501323975296195, 0.7213209699207335, 2.154674638881489]
13;-1.8484314904581793;2.8473156000254676;[1.7904956052043053, 2.150638951559497, 2.3711828771665378, 1.1832303478118398, -1.6994965673912001, -1.5621629827985397, -1.7031029733967815, -2.7302889121797076, -2.539360804779968, 0.7333445116271937, -1.763375713371969, 2.6243022098046476, -3.135384099377448, -0.06115779181386927, -1.567419125175129, 2.120842540155719]
14;-1.8458803288314578;2.8578424000297673;[2.925139570203399, 2.664747272727224, 1.6979874127462136, -1.537874137799497, 1.1201437622659132, 1.2098025591582307, 1.773303006552176, 2.9731700462364943, -1.0351656522911288, 1.6257135132056746, 1.4931889204157667, 0.6361570063627204, -3.123669763792936, 1.6697247757189544, 0.2826274981938841, 2.1847636106212747]
15;-1.7141066430475884;2.6383929000003263;[2.256477039154378, -2.455447787037094, 0.36998260277985473, 1.4835988135984817, 1.9277628637958353, -1.9449526820261367, -3.0953061403194773, -2.8222103444341125, -0.7971854650318351, 2.2114792568799384, -2.9767240520265714, -2.397792539471183, 0.22256819087633062, 2.042889914760087, -0.5759886561052667, 2.2020702573539284]
16;-1.8490691576651859;2.5250556000391953;[-0.3674822522874459, 1.7255726509273135, 1.4446704843808806, 1.4285307504070923, 0.7782190816795382, -0.47019748523642013, 0.9700657361971379, 0.13074447811479795, 2.747073887075704, -0.5961585458902143, 0.6150226660099518, 0.5783912470190842, 3.0691514914430016, 0.9920177655067572, 2.85352348956887, 1.0691753684717469]
17;-1.8612879964014595;2.524520000035409;[1.9999856247660448, -3.1073015167018485, 1.5729631441279848, 2.320078195439483, -2.9798481684006535, 2.9128339898847244, 2.000746600325371, -1.8561326894726573, -0.9302905712069678, -1.3812429941561428, -2.3038854799478163, 1.7414033230680905, -0.23661794221657928, -1.3060049616627976, -1.512882187300122, 1.3474602075507018]
18;-1.8316684951974795;2.52613349998137;[0.10108233080282814, -0.8007547111936719, 1.3363378577058214, -1.8226469800331675, -1.346440323314247, 0.9688343815240179, 2.9339825014456142, 0.768339744776243, -1.6433842962217378, -1.6224089986587367, 1.2778957853980257, -1.912082496590947, -1.7119836135290356, -0.03999005876025086, -0.7140725750072581, 2.953668513713925]
