run;final_energy;time;best_position
1;-1.8670311531999821;1.4104867999994894;[-0.5155246182795175, 0.6183004847555695, -1.3655449586305104, 1.5689025200873052, 0.879160466077245, 0.5468230134032361, 3.03785276052964, -0.6973978154314868, -0.5776721416706359, -0.28103438737682085, 2.6065071522295575, 2.7790615599428197, -0.6536795277493006, 2.8312394898592608, 1.1949874589499023, -2.2989211803944274]
2;-1.8670718226176612;1.3238760999956867;[1.9364704961116637, -1.4073610988674576, 0.6507729933946274, 1.772428079623075, -1.2102314464133248, 1.5651207832908938, 1.6425641777161468, -0.33798420485680847, -0.15609256637633084, -0.7609385228029995, 1.591613007787668, -2.80557680370973, -3.1383398080154263, 1.4554327478633473, -1.5855556184870818, -1.5502467446540542]
3;-1.8668867177376547;1.2927598999958718;[-1.3893976101034355, 0.27648366091193965, 1.610911794829641, 1.5730695687729916, -2.0802624692211213, -0.9024243836093824, -0.21901783118776397, -0.2648218380896763, 0.931928818030002, 1.0778980990696372, -0.24870443292788025, -0.058328461680199784, 2.7910351518019736, -2.131588484856153, 1.6301594728079438, 1.710510027494431]
4;-1.8546696859896972;2.041434600003413;[0.5241270245107059, 2.1637632573460372, -1.1280297499287406, -1.2709205712290068, -0.530028132702681, 1.8654476662554202, -1.5837194605099485, 0.45997630811448875, 2.807669507598278, 0.5021341250298463, 2.0277972564002242, -0.48466147033225804, -3.124803556959975, 0.02020861968303045, -1.712360075086733, -1.4012846369203382]
5;-1.866993918765327;2.0027055000100518;[1.4038730608501808, -2.3376136967738654, 1.4658470699393344, -1.0677249703040128, 1.3573863108423332, 1.7400246965184873, -1.2080272572308968, 2.6116592661178686, -1.6634080723284799, -1.4575655105388794, -2.135175016233824, 2.448566087867455, -2.4195611305251457, -1.5538954994368468, -1.6020256639042525, -1.5493069189013278]
6;-1.8660065463965072;1.6048163999948883;[-2.640250209278011, 0.9183814350444264, 1.5591807152112445, 1.6194660210184644, -0.8772978885022673, 0.2142650935058925, -3.1392955034078875, 1.9033657625472662, -2.8937269795672713, -2.0182641954819664, 0.2552833608295191, -2.8600734465643782, 0.48872148377589797, -0.06769098935083706, 1.6353939300758276, 0.31197490759083824]
7;-1.8666723733732045;1.5049337999953423;[1.0136243423443023, -0.6141216223669823, -1.7571823933276671, -1.5740719010538344, -1.6873898665211366, 1.1302738426035521, -3.1235931069889613, -2.284762566859697, 2.2131519216300974, -2.1467790041895283, 2.3858991837514836, 2.4984300972523013, 0.17530265224515684, -0.2582365639245623, -1.0573964923351644, -2.5948515097378433]
8;-1.8670043165892196;1.3894216000044253;[-0.42442502144929195, 1.6773260182533827, 1.9928642519131659, 1.7449061039977067, 0.4263053659035805, -1.57824514394092, 1.268555843378004, 0.4204322981323507, -0.046043837956945666, 1.8695894415006897, 1.8381212162176626, 0.35652168678722385, -0.00013544251686825604, -0.8189687524735629, -1.5132945281954426, 1.384359630179814]
9;-1.8671003839503493;1.5509011000103783;[-2.708879128029412, -0.14615701615586607, 1.6012405117981565, -1.5705879357027628, -2.149929650768143, -0.3251846841794155, 0.2538713924670093, 0.361732552896707, -1.8141372371089248, -1.519549897919536, 2.691066575300164, -2.9788898562750146, 1.3351803066559915, -0.7136950923257555, -1.8886980385647467, 1.2739165396064216]
10;-1.8670046711339625;1.728257399998256;[-2.1127906726140093, -1.1534586043301582, -1.7640085267054562, -1.9828008587670316, 0.9883616961133006, 1.3365304708560348, 1.3618221727394868, 0.3130950541280333, -2.7820311760103547, 1.0601675151804981, -1.9891597803524343, -2.7217958351942064, -0.005286943736864558, 2.283026611013927, 1.633417241094274, 1.356200465898759]
