run;final_energy;time;best_position
1;-1.8948636;13.620807200000854;[1.92073630040999, 0.6861203424767206, 1.8088385911734628, 1.4882385583711288, 3.0701567338379157, -0.9019161268383971, 3.1038878578214497, -0.6258095046729175, -2.31439608659233, -1.1633992248517495, 1.1883472649846434, 2.1330258057091713, -2.1563293960578385, -3.0583380878269444, 2.499034282653856, -0.5945600133786257]
2;-1.9092804;13.600852100003976;[0.4604099273851787, 0.10818478005997711, 2.283394713815783, -0.49652080042896074, -0.08825450153841397, 3.05658925780486, -2.5380081046072656, -2.239017794357716, -2.4442872526206236, -0.8731083954224381, -0.13672136983001426, -0.8467133633998962, 2.827153778423142, 2.2810520000200505, 1.3941482292066416, 1.2488767135043854]
3;-1.9126610000000002;13.41164199999912;[2.0011966590813035, 2.898455838540748, 1.4580447289925642, 1.4458216241345507, -0.08981818180933976, -3.1216718771102836, 0.4380988027531174, -2.6118581552972477, 1.90845849936378, -0.040262414040962646, 1.9996886528129574, -0.5619770029172471, 0.14792707038870034, -2.890270958308416, -2.6553912508777526, -0.7543532505674433]
4;-1.9007117999999998;13.514460899998085;[0.13791420541683452, 0.6791667023201433, 1.4518076094511034, -1.3132730746692804, 2.312356640741436, -2.2896124198089187, -0.5819354324068176, 0.12479853643197947, 2.0526175339426143, 0.11850397190221607, 0.030722475212006994, 3.1057502523389857, 0.2727655163499896, 1.6030708329396761, 1.0194124605017896, 1.4765517001856363]
5;-1.9200224000000001;13.800212800000736;[-0.19689041855193157, -2.390616650556166, 0.2896070586890076, 1.8573283974333705, -3.1090874069621277, -1.1815375164048594, -0.6427681497838194, -2.336544186586942, 0.12686390661856617, -0.7635555895775514, 1.6746780209009176, -1.4490867753827528, 3.0010619348662404, 0.6611268542378275, -0.7259000265060558, -2.6847843780932714]
6;-1.9235576;13.942800900003931;[2.875004584515617, -0.8880417849148583, -2.1722793667538025, 1.7694321222549068, 2.802963002939597, 1.1100551349496417, 1.548962835899303, -2.0427795060680447, -0.35147966328865454, 1.6251141017250417, -1.632141646918209, 0.7456374109232704, -0.21731706189630984, -2.225895424927781, -1.5873151840346993, -1.0550500258684408]
7;-1.917716;14.09966390000045;[1.4827617787658731, -0.9205173447880584, -2.283657180050575, -1.56230360850571, -1.5334388470759994, 1.0879151890840237, 2.4212854183483126, -2.247429371943012, 2.493250611963159, -1.935542790040723, 2.85407993444451, 2.7954448582933944, 0.1881901947832061, 0.13814086192857644, -0.6356781068398432, -2.916892746666979]
8;-1.8962729999999999;13.798915800005489;[-0.09282723465031939, -1.5792158470359705, -1.7454482971224647, -1.7330923390540796, -2.3535951814412677, 1.1458928878375456, 0.28594303337372473, -0.20416318427610936, -0.7540694254065814, 2.271267825951318, -1.9823660772507787, 2.853117424818879, -1.9791342285125038, 2.7575807334869094, 0.52660744454715, 1.534496346484243]
9;-1.8756004000000002;13.971291800000472;[0.9795105002276099, -0.6854339653313817, 1.7301879827421542, 1.8692274292511, -0.00595174054383385, 1.8444697814758078, -0.32673322075325917, 1.9811852354504786, -2.6409487821129103, 1.4506383514059307, -2.3250731720415496, -0.8921045603951367, 1.9285867111209427, -2.9476055067429434, -1.308433475147155, -2.870158349660683]
10;-1.876282;14.025716600001033;[-3.0075398044547894, 0.5431745354712305, -0.3552788458269762, -2.9248341919230145, 2.253875095552565, -0.34112732448466065, -1.2355957909718756, -0.07682358844786608, 2.5552184968913956, 2.665670902253802, -0.17124751590355203, -0.5026087939396429, 2.2138483354654435, 0.5830953006334423, 1.267685960777058, -0.5850094532900179]
11;-1.915631;13.562503900000593;[1.1750011949953327, 2.3236281865033197, 1.3513662193665077, -1.8000273258571318, 0.7800557042285683, -1.3267348398481522, -0.6031999842185702, -0.874883983463103, 2.3625367055015722, 1.368245089106491, -2.149322431925089, 0.8444922628925893, -1.706022135570849, 0.7223416786752241, 1.2994324550020844, -0.8210491890110387]
12;-1.9211444000000002;13.765327799999795;[1.9503944708893686, 2.1948261916498177, -2.408834868824372, -2.4231218086727973, 1.4109051576399452, 1.6884955308243699, -1.9490489112108798, -0.971804173178139, 2.5380290365435556, 0.8345823665989789, -2.2331275749742, -0.8358320507658319, 0.10644339637137357, -0.22061488829946496, -1.5971910860018113, -1.9664855341082037]
13;-1.9028658;13.665434800001094;[1.4590803020781822, 2.094471539005765, -2.207730218438974, -1.2917925972165436, 1.4327274143720938, 1.7772325519367715, -2.3916906276976113, 2.4649796149069596, -0.5552391617077905, 3.1091083350706086, -1.6232618235476046, 2.3188471629081153, -2.7256986440566973, -0.7879180639011629, -2.217413327961004, -1.0602952234418113]
14;-1.887098;13.891383099995437;[2.4416788535588445, 1.244135706020507, -0.008338263334933593, 1.787461459800257, -2.43365153375885, -1.74565893162545, 1.2199321807311865, 2.771997846674271, 2.998533961630663, 1.601036824190353, -2.860843541201492, -1.3652340851284326, 2.9794331518119694, 0.24338028300237902, -0.2753931047508251, -2.6969421613281166]
15;-1.8960254;13.655265599998529;[-1.4086597942888899, 0.4658035585420457, -0.5905346000250304, -0.780325625856102, 1.3162253472932708, 1.0669345060190967, 2.2579782041623044, 1.7409917660836358, 1.4094434185243792, 0.3187618039852853, 2.061391156063488, -1.2557663076725916, -2.466759975426295, -1.698626246869015, -1.237063852694128, 1.2505771721933936]
16;-1.9248478000000002;13.626659099994868;[-0.6313286525801933, 1.6422818115339508, -1.8715347305959176, 2.9419461525670876, 0.6117838948873748, 1.5681722548311638, 2.0190895665353006, -2.222725968829954, 2.8848156787797476, -2.375886454596058, 0.386631900893859, -1.7521011558995874, 2.652723951970069, -2.9683461704716327, -1.4911828414015427, -0.48853259079360667]
17;-1.936216;13.6314538000006;[-0.32646268372379783, 0.44026020659423803, -1.5931106470140248, 1.4522780804800242, -0.2519123294030936, 1.2769754320398192, -2.9877805649813407, -2.3462181656295242, -2.7161157437045387, -1.5089016791700989, -0.08236722022021148, 3.1019443409668757, -2.473782070280549, 0.4448763974529806, -1.5708198399074071, 2.4410483713925295]
18;-1.897088;13.869332700000086;[3.1413126430940777, 2.953658978493163, 0.008098521776027656, 0.3751590827991156, -2.732581562112135, 0.6449363966826933, 1.7485580581236082, 1.2775335474593374, -0.49921708236357976, 2.200268984795537, 1.7773280407031198, 0.46003420197546596, 0.39727436029397367, -0.25536372925144324, -2.771141152834914, 0.9260265793640698]
