run;final_energy;time;best_position
1;-1.88649916;14.682902100001229;[1.8657606227925498, 2.55643192636561, -1.630036046112895, 1.27858019967179, 0.1891663434595312, -2.433176925914275, -3.0316124212276847, -0.7459510048666784, -1.8702633896771774, -0.6684618661778194, 2.7905114241531983, 2.55906292681591, 0.4984828986282208, 3.0310541802812168, 1.3108850187317431, -2.303312527792503]
2;-1.88679984;14.850749899997027;[-2.2553654654321327, -1.4816604195650802, 2.3845436397810262, 1.7255074919421158, 1.0112060569816386, 1.6728363074411972, 2.1513048003899673, -0.3816888820451312, -2.830637593664293, -2.354137748541271, 1.9131181194988152, -2.6803973486832797, -0.38455305512839644, 1.6363501535076406, -1.9319674850066257, -1.690907940189636]
3;-1.87956202;14.75570009999501;[0.2691393724090827, -2.3769782705690417, 1.3075973974677764, 1.1562462096026653, 0.1888526444210421, -0.80764868363064, -0.9900361183654516, -0.733099060253513, 2.360708691819502, 1.41709945701197, -0.5315660519773937, -0.6477882563615873, 2.549419520565044, -1.898369014756953, 1.4140256861812421, 1.7178617029931242]
4;-1.8595624800000001;15.126516199990874;[-0.880605980435321, 0.8145719359220358, -0.9330244353678019, -1.829498525407984, 1.3565179488272072, -2.584078612802697, 0.7653110394360096, 0.09757997259626494, 0.23757957589938394, -2.8522564367534815, 1.3543280486408786, -0.2562156645239413, 0.7132970044142541, 2.3865185778882747, 3.11571277037333, -1.4085887500183918]
5;-1.87439858;14.571944800001802;[2.131464136427925, 0.5956564144504313, 0.38675371952319626, 1.7483478458333703, 1.273965406902068, -1.1713051447890295, -1.1700529907776267, 3.1365241663772627, -2.59554183376693, -0.32660396279413906, -2.1214109600411684, 3.03923446463941, -1.4233707843298384, 1.7030389637878773, 1.1719535522541378, 1.602162902037624]
6;-1.87387982;14.79166640000767;[0.7545302336895374, -0.496172333340009, -0.3549017226263036, 0.6535790231086, 1.0192329045067146, -1.1029979221544854, -1.5934659292917317, -1.6269673980242119, 1.025119251586382, 1.2306808221303207, -0.4008634495553598, 0.8826672882294488, -0.344047948360668, 0.7967559859036792, -1.6124686722758825, -1.2768167377234008]
7;-1.87743138;15.031520000004093;[0.47290995302316885, -1.1530290236022769, -2.1834321058480715, -2.007167215436821, -2.5802398787123337, 1.2502242512833286, 2.537793060916705, -2.604808958239436, 2.9545483251798697, -2.0022121295163653, 2.6421615227318327, 2.1745431922486347, -0.06453420285159206, -0.16898345946265536, -0.7154448431223597, -2.73739134982704]
8;-1.88291252;14.881985299987718;[-0.5412987612426194, 1.7466044378528514, -1.2553564039465688, 1.2098433737527667, 0.5095444076308171, 1.572285577892072, 0.15799048996008436, -0.3235740118392738, 0.07013639353083123, 2.544921607317802, 0.7898479564349534, 0.2682385557193583, 0.0003243220515414258, -0.4352317600129747, -0.6364693339171716, 1.3316883742433205]
9;-1.8650603000000001;14.713209299996379;[2.3250270291806014, -2.545134756380894, 1.7506316899894738, -1.5125850677953538, -1.0942428976166862, 0.9877881907131076, -2.293906607646547, 0.3330811990685447, -2.0487891280843207, 0.9395333211327648, 2.361797514729295, 2.9536713224964437, 0.5069983542797649, -0.8142785579505207, 1.4575437710935981, 1.5237714739284796]
10;-1.8832819;14.924050200002966;[-0.5811536190704478, 2.079801791881229, -1.715948383487825, -1.4404328337781198, -2.2231063091395056, 2.3841593174538405, -0.5934257611035472, 0.642225089242078, -0.30022033348738075, 1.226446215878159, -2.1352035419098, -2.603120580213445, 2.532140212112335, -2.366994088827629, 1.2340645304045088, 1.9535703454564137]
11;-1.86998554;14.966966899999534;[-2.7584531721323104, -0.6706822943037163, 2.035278427123786, -0.47366245363076764, -2.8999531537364183, 2.4920921990512204, -2.285031017753486, 0.07597801249452418, -2.793462199700839, -0.18445297982689945, 0.4091367173136735, -2.005814716492903, -3.0948754546675836, -0.050888097498817064, -1.9191270003839755, 0.9184105666874798]
12;-1.8820528200000002;14.729776000007405;[-2.9008311974621424, -0.353063823387993, -0.25703201218343397, 1.5186709278232629, 0.26516146927821227, 1.724376844742233, 1.7536633744780445, 0.3198454061718756, 0.03411671776937952, -2.463957608239836, 2.324684248439257, -0.4808200552749491, 2.8844389761910847, -0.9545463883109986, 0.9639575501507647, 1.2357140317046316]
13;-1.86508174;14.60617590000038;[1.7787016760752081, 2.981142606643404, -1.5350984072718856, 2.067637968312095, -2.0406474086765107, -2.449096951930898, 3.1345470581852846, -1.9639716783929975, -1.6224949666788437, 2.902867439510848, 0.20520512619712372, -0.4857436550166332, -2.6036406396654943, 0.10704586340759858, 1.5451635528982033, -0.436751937808995]
