run;final_energy;time;best_position
1;-1.1450867960000002;89.21711229998618;[1.4902689095864279, 0.6753229934356115, 1.9816049542259861, -2.7646803659769996, 1.6932810278592925, 1.5281868250430133, 1.9355488382203614, -1.595577679049675, 0.2521955242458578, -0.9248841712731872, -2.7800066889236703, 1.5154485485898395, -2.3252259996374764, 1.1844169889736396, 1.5394968173876293, 1.2501590395594135]
2;-1.159200016;89.6825101999857;[0.8333078189357086, 0.7516326979266785, 1.2383403280747398, -1.6480197508214567, -1.7912118495009461, 0.8684768733396222, -0.07885481414577944, -1.6327092058047392, -1.862816536412625, 2.2196556627761392, 1.925611305537708, -1.2925311316751493, -0.6096116355272994, 0.2944375799448764, 1.63126190565551, -2.9891908511462324]
3;-1.1426197519999999;89.42038450000109;[0.6321016244137745, 1.2145909537568977, 2.993953835343836, -1.899802014328949, -0.5833399740924623, -1.174143985958095, 1.9423419231872394, 2.1063898037882156, -0.5227430274979272, 1.7660602576436881, -0.7787487939712814, 0.8226097313039533, -1.4617573375125326, -0.5776418028252772, -1.2575522949775908, -1.5857709243109854]
4;-1.161118316;90.4143238000106;[-0.3622335491509041, 0.9149600935597695, 1.7125184178656365, -1.5246897478477401, 0.8728153489621713, -1.3311230675469468, -0.02642776128327151, -0.23722493648051524, 0.3812993724174514, 0.02981617065956943, 0.28827983975737226, 0.042610787191246224, 2.0886506662343027, 2.766243747589056, -1.3334725086443293, 1.8158181441501862]
5;-1.1119759919999999;88.44953849999001;[1.397985900597507, 0.7308283251894236, -0.815378212513735, 0.3403481846591072, -1.1719396830583024, -1.9035324445934407, -1.1184481449072763, -1.0638040168931457, -0.28331365263605957, -2.0952844322578024, -2.081634328430576, -2.150178147316255, -2.37420228778498, -1.4853224843843627, 1.9147297553697094, 2.071630104080614]
6;-1.1653036200000002;88.06919259999995;[-0.9581524949096756, 0.034715376902039186, -1.3660721127092945, 1.6636572087381634, -1.2277443088393296, -1.6108550016555647, 0.5404753270868947, -2.018970550664013, -1.1491873824217587, 2.2085235291515843, 1.28554699164936, 1.9578519096327192, -0.9944736564988963, 0.667626328772104, 1.8417884413226009, -0.6062977990011715]
7;-1.15073074;88.41096929999185;[2.548596242823809, 0.05116766034425568, -0.7726349339810792, -1.3553472721312076, -2.1767632400417676, -0.340051030597599, -0.5799555435553421, -1.1828682443800467, 2.2080910233978717, 0.44952424068387975, 1.44805867692852, 1.8361974182660559, -0.7942212997783287, -2.582496623446281, -1.7370641342801012, -0.05029588102948779]
8;-1.1430221520000001;88.12478889999329;[-2.6323543268031946, 1.72826910624459, 0.9612797707853611, -1.6523925057700832, 1.0840497795547304, 0.13307643187437623, -1.5631889093264106, 3.043989350127977, 1.563411538800664, 2.1834904597598452, 0.8872401567680939, 2.469595368429811, 0.39987252971503384, -1.5597922346190303, 3.0583858773968684, 2.2852134663341914]
9;-1.153671944;88.9918653999921;[-0.6991728275462079, -0.36147838016017664, -0.16260672653001018, -1.5417693478715708, -0.6223078541755114, 0.42073870725313167, 1.2140344517506874, -1.2630873785729584, -2.9929651712702863, -0.3200467680470327, 1.6948117560751754, -1.7763290665935574, 2.792826887502158, -0.28012601346797794, 1.3300356137573006, -0.4902513963328321]
10;-1.142362744;89.35337779999827;[1.8408700441174286, 0.8953009309372009, 0.28725054202724376, -1.5175890182423084, -0.6046379566677138, -1.5956998771144857, -1.92388448077226, 1.6313028186489822, 1.2865241923534594, -1.4268926554477865, -1.629778495130681, -1.6381581550956579, -0.2843632558628806, 0.5468220375978694, 1.4592307942615124, -2.6212552270316065]
