run;final_energy;time;best_position
1;-1.1103609706666675;206.4857294000103;[-0.11710133247862675, 0.34529298267863373, 1.9398829688684636, 0.9469151172618089, -0.14078639370729862, 2.6193217033367713, 2.5403432411523514, -0.36826024385660805, 0.3550187227734236, 0.7564356572876303, -0.3289539956703065, 0.9415308381544687, -0.5637637539465978, -1.3649202520189279, -1.587564470734983, -1.5149782299269512]
2;-1.1224570013333341;210.4567040000111;[0.8817591397485538, 1.5764278999175225, -2.4155814688134174, -1.5978786590538212, -1.3298042470678442, 0.5874564108883304, 0.3210465274859575, 1.1024755868156397, 2.909659730072155, -2.0498343810047173, -0.36841048463475623, -0.4180210572514049, -1.1201068788898563, 2.16804021145556, 0.521892767000923, 0.4298368256132141]
3;-1.1400307160000003;216.99282929999754;[-0.696132089851174, -1.6875211453604961, -1.3030555737111509, 1.110204802226849, -0.7845373796248305, -1.605318140575869, 0.31349661980897814, 0.8727410421626409, -2.9722087792375085, -0.3482041920454848, 1.9214463959823291, -0.6968598881049908, 2.8054864582930144, -1.1393627190693785, 1.2123782388802464, -2.622198855650692]
4;-1.1569313853333336;212.94644610001706;[-2.0614237637843225, 0.2331386064194616, 1.743593594976268, -1.4092822938727936, 2.962005360126974, -1.520021254207703, -0.021664642405774703, 0.15988309853330485, 0.33887820436610117, 2.0181838566567976, 0.19346964116182042, -0.15285791741239718, 1.250776734430513, 2.0145852578477363, -1.448249855331483, 1.2882222264744225]
5;-1.133252068;220.2520843000384;[2.0400980511160434, 1.8515586932080437, -0.7888838731452226, -1.5929905596453726, -0.4639541926738322, -1.624266357241029, 3.028966176475894, 0.9397734966453068, 0.8884574069290059, -1.6302753842684004, -2.427910479387215, 2.2348500915735023, 1.5542087213687115, 2.371368388241077, -2.229563688770288, -0.1078092158699695]
6;-1.1531136346666666;219.39452029997483;[-0.34743379391060714, 2.2475627849186086, -0.4965658877234045, -1.5975064982152167, 0.3559771826261682, -0.7535395761195525, 1.2401573881569181, 2.0099397550632823, 2.814176803711832, 2.799096138485801, -1.5369389757541323, 1.0115981558896685, 1.6532999631792222, -0.8784018903430058, -1.761603479659852, -1.7745855568887707]
7;-1.1131208813333335;219.84711660002358;[-3.105626460973718, -2.65964800389327, -1.0935068399888452, 1.2593432255363863, -3.0857791221756075, -2.6901775148579605, -0.020064445490340255, -2.8998020104198816, -0.08660091381688773, -1.4365178924106161, -0.4631121693609632, -0.3015339814545426, 0.9223300802428467, -1.7917615803026699, -1.5978240244054096, 1.5642228921350192]
8;-1.151893464;224.5568113999907;[-1.1933063892490765, 1.548726169197221, 1.7685718807639361, -1.5727037190546813, 1.7112985395496878, -2.8321511176444094, -0.34094740478626395, -2.275319088490538, -2.519089131268167, -1.4692950055670604, 1.4348508267497317, -1.6334078809932102, -1.7901785470691463, -1.3648196809197475, 0.8585371592235509, -3.0035051848722145]
9;-1.1067816800000003;221.19211430003634;[-0.3000608978603161, -2.6128606764315445, 0.4019674909049211, -1.8386088110271488, 1.9640717553429177, -2.70042858777179, -2.4999417862090407, -2.4464930784135146, -0.8477475043974678, -1.1215330510026007, -1.0415511287808181, 0.8285130352181715, -2.907806685875958, -0.24946182202243072, 2.0265555224621536, -1.1875007437312672]
10;-1.112710113333334;223.14274869998917;[0.2253231374060225, -0.08202710693459991, -1.2260179295925269, 1.5411587089134366, 2.790483466615914, -0.9677832122742851, -0.009059251741101892, -0.3606708043271283, -0.06339672372451366, 1.2009882776629004, -1.4674067449107784, 1.1329301432021897, -2.1194224390965832, -0.7430442097497307, -0.3297266445197482, -0.2937983953159762]
11;-1.1543680706666672;220.44403289997717;[-3.02271043796906, -1.6415139189394423, -1.831538578991753, -1.1168975310281262, -2.9710990522623777, -1.4832625945434137, -2.3438460091530904, -1.043711199088495, 0.20145883730762293, -2.1071456024110367, 0.5590567735348704, 0.9585722288296115, 1.3466563403241532, -1.3105501345381887, -1.4300359927808166, 1.4650671945737965]
12;-1.1224339586666672;222.0393864000216;[0.7125012616732089, -0.12472549529282073, -1.3494786583050746, -1.4976369725810454, -0.02531790217136587, -3.090687287079376, -1.7426555797576897, -2.4932829056666024, -1.243872364209438, 2.094033986917033, -2.1316849886717177, -2.6477826668513447, -1.0498909275739958, -0.7362063399226457, -2.0320759037581326, 1.679175927290613]
13;-1.1265396600000002;218.97377410001354;[-1.4501587115193302, -2.122206260549253, -2.9663541618672546, 1.2219456689182842, -0.8637408382805081, -2.102343880361688, -0.3809948407559385, 0.28562133707814086, 0.42907226012430355, 2.446885703281948, -2.3334014132288616, 2.069041003792357, -1.4806708695067912, -0.9033391098627721, 2.9433599523245997, 2.443322408290605]
14;-1.1587643493333335;219.03825049998704;[-1.2110054853421266, -2.779537352039363, -2.1517689997514355, 1.176766292356957, -0.5230046517322715, -2.506059937263008, -0.7171443314452781, 1.6251777596823977, 0.975749375664198, -2.8180435864682183, 1.5005249959759412, 1.7566161236796045, -1.7392320005046829, 0.15664652056211859, -1.4913683633327022, -0.44123782098301234]
15;-1.1588514560000005;218.26383630000055;[-1.2356359907142864, 2.1930699033912626, -1.301826246811568, -1.4980372871738215, 1.1102270915438588, 0.7615031452874605, -0.8896663353383372, -0.9516203503938172, -3.136403312465387, -1.5961359929085188, -1.4463397423105384, 1.0728889619745292, 0.7530713277131884, 2.7081497868626556, 1.1022142346654968, 2.541376562662471]
16;-1.1236478786666673;224.75649929995416;[-0.08804454347117874, 1.027610372887528, 2.536736478681979, -0.6693770117453863, 0.19452046818985158, -1.664723535012897, -2.099350323594196, -1.4523222304425916, -0.2476620744853144, 0.06445586058790642, -0.4123893990664609, 0.9558797546553492, -0.18362077932848964, -2.469996171211135, 1.6446408504463497, -2.0680117002432916]
17;-1.160349270666667;216.56411430001026;[0.5455858474116417, 1.5162580230616616, 1.5618548836055428, 1.6014281251474962, 0.7934662352208917, 1.9876393827696868, 0.08512982097851429, -2.0407592921552378, 0.25151947861800217, -0.38839418207593335, 2.111491697270626, -1.0030778318765936, -1.7381075265240995, 0.24502136945325326, -1.133002756439013, 0.20430892691564262]
18;-1.1258138666666675;226.89284169999883;[1.8041386768398908, -0.804530372733474, -0.7816665031084513, 1.8774750710122685, -0.8368095590188425, 2.7035971546487847, -2.6655461485212673, -0.6863220341189926, -2.6467755909269846, -1.2565658982928671, 1.4176331388370915, -1.4025614123050283, -0.12186674311012213, 1.0237650200335517, -2.130582782923217, -0.3829310049565109]
19;-1.1304761653333337;215.919379799976;[1.236522275822007, 0.8261653915269109, 0.3522706064714187, -1.8911941661465557, 0.2935759477187503, 1.8240072827327545, -0.027750421831817196, 2.454570298820694, -1.7424955533091944, -2.81695929374197, 1.4217175846245294, 1.566024523627524, 0.5571626314333189, -2.059644332647196, 0.7145105978720965, 0.3196143636428137]
20;-1.1100132733333334;213.67523900000378;[2.4753631956734843, -1.5620956470971201, -1.5461711898278012, -1.1054557221732262, 2.7037642334722047, -0.6301247962426246, 2.3895097727517243, -1.5244172088187944, 2.9729808451140443, 1.20909590067863, -2.071076340740794, -1.4116531048353533, 0.16228062608692095, -0.6253275778012846, -1.3428768629847005, 0.2603616660363657]
21;-1.1477510706666674;218.81796109996503;[-0.10337195641274022, 0.7706565757340695, -1.628310048976281, -0.01939817571327751, 0.1490539759000895, 0.7401602010282531, 0.9294100038228397, 2.305998901247885, 2.2477920134662934, 0.7234572987236225, -0.09180394766457756, -1.5034007197968486, 0.3900941588029916, 1.438511508968701, 1.5202989114925902, -1.4738892812232456]
22;-1.1051632520000003;223.31490569998277;[0.787159270501546, -1.7335653330077514, -0.45855113991898877, -0.8790932751398044, 0.6732519580624303, 1.8496656225838386, 1.993649303838585, -0.4043627343801601, -1.1579104388013641, 1.9131325589412622, -1.7633468629088498, 0.3558501612758307, 1.7071944134505026, 0.7908410716216383, 1.4811375677379015, 2.2828866342959797]
23;-1.1309037906666668;224.39615430001868;[0.6445296166800398, 1.345492528135157, -0.5187717807078691, -1.5039518877933091, -2.3937492909070635, 1.1870475746937625, 0.4517464724851541, 0.0503876633534297, 2.385209060431089, -2.142961793245864, -1.8225120614602666, -1.81290219627448, 2.746639370321553, -1.007480739289301, 0.04064469639741741, -0.1389937125789391]
24;-1.1265118906666678;222.3206667000195;[2.855115712641651, -1.1150213400686328, -2.5628431393830584, -1.3064004069349449, -1.2118957978067089, -2.2232093946937592, 0.19929657992315697, 1.741000990508958, 2.5932222185798217, -0.871637699565817, 1.5019273348773785, -1.394225209119403, -0.20818569783810936, 1.4072893658474293, -1.840437388126424, -0.0148813205672913]
