run;final_energy;time;best_position
1;-1.1757665335399392;54.67017080000369;[1.609923344384276, 2.5689875444778547, -1.2608832492608835, -1.7370251745947158, -1.6544180351276025, 1.213201290006105, -0.4361909643333517, -0.23233531832959642, -1.6196999471582338, 2.2897206219840687, 2.501421388665751, 0.2746240844405241, -1.9913482655746335, 1.9767006702531393, -1.286340987314119, 1.6448727160239258]
2;-1.1773968758717361;54.68233359995065;[1.4969500168148624, 1.3506666454210006, -1.4250414360230577, -1.573860523059845, -0.4820026040942884, 0.09881862729255575, 0.022444251052971875, 0.8497068826367813, -2.1335527033607624, -1.8220857022895744, -1.6210511378175145, -1.582914198735011, 0.27748806596826814, -3.1059435357237435, 0.8575509638205725, 0.056784647123234055]
3;-1.1685303972341292;54.33354729996063;[-2.795998296819441, -0.2431459552576074, -3.113236511857578, 1.5659406104259226, -2.5540121642289586, 1.6065864872353774, -0.052282856088332164, 3.057771980849447, 0.5805468264757603, -0.5693864003359423, -0.16775161669857175, -2.0357147210345468, 1.3010779276366176, 1.5730773588212088, -3.1212240533902302, -2.6833158449213137]
4;-1.191247581185034;54.07011920004152;[-0.0014291007258577793, 0.30668707355206903, 1.4301587015243742, -1.5690461027781257, 0.0005981552196203666, 0.7766250631195168, 0.10595175130827483, 0.003348773498953239, -0.00041759721136802597, -0.34153064579800585, 0.13407554507967978, -0.005625479217074236, 0.7607413754887302, -1.7536791678003039, -1.787318015495733, 1.5647140298110482]
5;-1.1791155172999948;54.25888739997754;[-0.028531996299928863, 0.21459435824660478, -0.07526397794297424, 0.6783057078453103, 0.09610339824719949, -1.8753254996100266, 1.567530481589082, -1.0228476485819273, 0.06432898620887073, -1.2629771801069722, -2.1819146621932703, -2.042736756016098, 2.648262616542251, -0.10577294589161212, 1.8076257919595857, -2.8268447671007544]
6;-1.1923807108588262;54.657775399973616;[-0.013549948444958826, 0.1065949223442777, -0.6750883827523246, 1.563073364625705, 0.020259137111695136, -0.5178291667968198, -0.43843563217365533, -3.1133706561929713, -3.0796880834486617, 0.9107084686986964, -2.7178264135345698, -0.010037818685092237, -0.17497626167633307, -1.436861026004382, 1.7656211094260055, 1.563109885997818]
7;-1.1858510064624728;54.87322780000977;[-1.9076377532248217, -1.5283353650233447, 1.61827374912939, -1.5700109508227598, -0.17154670541416372, -0.49966830114866223, 0.004541401792439004, -1.4031092543923889, 1.7431330575417467, 1.7079857832558343, 1.601587230507156, 1.5987831316364227, -1.4828468295197617, -0.0018788957490323277, -1.7524972719515997, 0.019205677334603877]
8;-1.183149498598713;54.79830929997843;[-0.9741116171124968, -0.8391796323366663, 1.4668720205664805, 1.5750595382995822, -0.4672763269119198, 0.8180905379898409, -1.467298761956844, 1.1941638029603059, 1.332927156158811, 1.4847250698406729, 1.5641585091584425, 1.9439777422575801, 1.2694031544885647, 1.825454379757696, -1.4749165466310583, 1.2762249342994094]
9;-1.185679785801594;54.30181650002487;[0.6693941443532077, -0.5748587859009606, -1.5000452163869211, 1.553147975969253, -0.8314964339168189, 0.5723244529548648, 0.038057248363360774, -1.358224329220109, 1.2757475829254608, 0.9343627982647185, 1.14815059298844, -1.1472299272060535, -0.9002457119196361, 3.069462616268324, -1.7909907380709817, -0.021270216941128073]
10;-1.189838834151504;54.28784429997904;[0.07295873165191313, -0.16626212300985133, -1.2259247947358967, 1.6030299630085967, 0.0005477360107746243, -2.7743527879606003, -0.6584549083114224, -0.06939116628837105, -0.12851401272967689, 2.368131238363768, -0.1806454165028688, 0.04481524498209266, -1.66374666417763, 2.0634949045432744, -1.781745320018561, -1.570145873911918]
11;-1.18721066902083;54.65251250000438;[-1.6865111701015492, 0.4336611732763549, -1.472968880516212, -1.5152290353550297, 1.8268408957541924, -1.4115219641734524, 3.010552279821484, 0.038974254472934344, 1.188236894336753, 1.5004843506701366, 0.153060956539949, -0.06652989220375449, -1.8573752386466955, -1.5023625047510298, -1.6750111056388897, 1.5793056092881947]
12;-1.1847773839862163;54.518399699998554;[2.7625957199973854, 2.256759457869265, 1.0257906052784094, 1.28918069108252, 0.35064517310312837, 2.0439804091631784, -1.8906462268504685, -1.8235257393920072, -0.21198262407610535, 0.38856063058400236, -2.115749837934556, -1.1501317651266663, -0.6808188147645042, 0.2290709095009067, 1.6473604630207195, 1.0828808954629023]
13;-1.1929244208450762;54.247313900035806;[0.042838508923922713, -0.18856195213639682, 0.31172125524254435, -1.5212853285142807, -0.007953776322740413, -0.3108461287842492, -0.42208725721743345, 1.207321828108534, -0.0461059512401758, -0.4937879025869063, -1.461252101906983, 1.712226131094896, 0.4409316625912334, 2.9577722434451665, -1.8746105097644357, -0.8312917703003051]
14;-1.1858958433764677;54.32083690003492;[-1.640392311251411, -0.8072575632819374, -1.5173755736774455, 1.5824647297784509, -0.8970532220413121, -0.5551175606337866, 0.640953132421664, 0.10428781726533609, 2.270427023143876, 2.0159298099947396, -0.6211801118646094, -0.08890372284545123, 1.6848441833074395, -1.7231071161895415, -1.9598261621534938, -1.4904336709442545]
15;-1.1787099758840418;54.333773599995766;[-0.46226836567508345, 0.9907420921543304, -1.499600667047023, -1.5639776145351219, 2.5505636082071623, 1.5691632305908287, 3.0884401277720137, 1.205727835879629, -2.600492409986613, -0.9354353909296407, -1.643540445211321, -1.4779109775680388, 3.045586632479396, -0.010738004686273506, 1.2242817072176857, 0.06624442025893762]
16;-1.1814286933279696;55.06408659997396;[-0.02795542948144858, 0.01836207231714848, 2.358258735445947, -1.5743149393388058, 1.5608929178675721, 0.8024173487503474, -2.366924423134455, -1.3618018049367606, 1.5972941272018844, -1.5664032683844342, -1.5016159378120089, -1.6468127399628676, -1.465879248477786, 0.10876240032894735, -1.7905630833917772, -3.100178803115645]
17;-1.1820694349242593;55.2465160000138;[-0.01787635611119187, -0.10781202484105545, -0.0912387410157609, -1.554841884198311, -0.02762568972761148, 0.07288835555730788, 3.0269992396332217, -1.4764298210501081, -2.8452073780619833, -1.2417134252379594, -1.571194717622908, 1.682523427428242, 1.6843610893634704, -1.4333520752807773, 1.5982711081576157, -1.4762859999681535]
18;-1.1873291817411964;55.01494999998249;[0.8435929397076443, -1.699771502035968, 1.5302045100034034, 1.5701051796934973, 2.2285891859501135, 0.15292984571689416, -0.04621947015331651, -1.375052449039176, -1.7520990370762366, 1.4494719698381209, 1.6555599706528472, -1.4894599069092715, -1.7860695971214948, 0.015860408774245105, -1.7670578841504327, 0.0119323927489412]
19;-1.1844841608730066;54.03087780001806;[1.2562106652655878, 1.5567241314409452, 1.3207562175222174, -1.5694820143754036, 1.4793951446917015, 0.09811283282790217, 3.1126165146176685, -1.4974048384515763, 0.402674512760397, -1.50454492249759, -1.5979372759945991, 1.5768986314816633, -2.830462158140315, 0.00907026609855821, 1.6635902662518554, 0.2339470098083023]
20;-1.186114993459539;53.144793599960394;[-1.2974413801846525, -1.7065798078985255, -1.0324365986486974, 1.569007946803545, -1.4972197800394398, -0.7061849818157104, 0.506461713012202, 1.544410881396728, -2.8479638715263915, 1.0706740555771397, -1.6143890539982577, -1.583204285056584, -2.1488318805639812, -0.018949782455956576, -1.622673390211867, -0.7004748302964434]
21;-1.1876792898656932;53.06840240000747;[-0.5851907218754109, 0.7433909278114532, -1.269804104786436, 1.5846058045873095, -0.024163079564961887, 2.4712168233716154, 2.941210262325379, -1.9413189456641204, 0.5375574247997701, -1.873216139054291, 1.6111147039621994, 1.6606278840005047, -0.6643457904816925, 3.1346119436324997, 1.9223267603508658, -0.1857226778808969]
22;-1.1762523417075708;54.41355090000434;[-1.166533977545914, -0.21136014884022547, -1.57091890783751, -1.5767145279179446, -1.1257327375769708, 2.709961828139238, 0.05365003694175785, -1.8844727116205622, -2.057865079258649, 3.11212893150339, -2.2566797334598445, 2.2859256547888815, -0.5674439262760802, 0.019505628799405095, 1.374208435875147, 0.23245660047541117]
23;-1.189104419881335;53.95417590002762;[1.8897950999522237, -1.9883511155526221, -0.0680105408806222, 1.5771136333303364, -1.2787807784742133, 1.5452956330634482, 1.5152261681711936, -1.5627189797216945, -2.818684866039634, 0.9447650810013704, -1.592299572468562, 1.5624600096624803, -1.0103697051872698, -0.6796429865381803, -1.5991166402984645, -1.4094957030067266]
24;-1.177009053648411;54.3170774000464;[0.8963317955989112, 0.9099766488386507, 0.03789996180248245, 1.2748297518888778, 2.1430677877083504, -1.5015410098381337, -1.5973784624373464, 1.5261979448980076, -0.4902061148941228, -1.9007873256822503, 1.1600513139595963, 1.3593802713822365, -0.4273414943388385, 0.3979495326367375, -1.6319315300007073, -1.1902976326046093]
25;-1.1744342901650804;53.96510839997791;[0.9621845162538243, -0.9013697489224235, -2.9903491942266416, 1.6483079425195788, -2.0301378836964057, 1.6396541574556434, -1.309324653283046, -1.5135749034447399, 2.43882281986024, 1.073652238514189, -1.6272215127087215, 1.6042101005624723, -1.2576674580605616, 0.7034703107180658, -1.5844445559442966, 1.1629370481281942]
26;-1.1755327548735537;54.49998260004213;[-2.6599151194325485, -2.6762972454683007, 0.9679589101793358, 1.568497248907014, -1.222134280448337, -1.111366687320099, 2.7085042714199163, -0.012855836682734267, 1.6721437300624533, -2.1918738565130877, 1.2532838166154008, -1.2557641140025717, 1.3078611744333077, 1.8328523052800696, -3.12949952526715, -0.29655763489847153]
27;-1.1748808936445396;54.44968560000416;[1.1658220230638978, 2.388747482898948, 3.0438691611979642, -1.9774821892049386, 1.8587308040220023, 1.556515624541368, -1.697072835548006, -1.8344572687488996, 2.1913013856627312, -2.5165814828677244, 1.1337498366860332, -1.9090622712597314, -0.3658037987848961, 2.018464167513196, 1.6508403185081884, 1.3903431028859865]
28;-1.1804638019714826;54.281505200022366;[-2.670428523808573, -1.661881505473371, 1.5618364380020608, 1.5632330710472093, 1.9655704042512667, -1.2400766257429816, -0.026112401332889945, 1.4580906570824839, 1.4640357959111627, 1.4320585556123389, 1.550314646530632, 1.5944235214078448, 1.6530992736855001, 0.019055419282728803, -1.6955217669234257, 3.11494038785942]
29;-1.1857999473007643;54.42305069998838;[0.4890461195592559, 1.9035165236594773, -1.5433187937257662, -1.8408017313884197, -0.4275123368018381, 1.9463041108125791, -0.08459594606309295, 3.1144445727793943, -0.3127436333232785, -1.8066593611490391, 0.09628454090624228, 0.2741600726913016, -1.782282738276157, -1.400605713609281, 1.5294572830996138, -1.5567812207100915]
30;-1.1812552319260965;54.470839000015985;[-0.994402908607062, -0.17848932906155568, -1.3270085191122, -1.4826791475360244, -1.6110397576104172, -1.6569032759734588, -0.1666663662932253, -1.6733338268252222, 1.6924343998778522, 0.5753905590532065, 1.5101172778783445, -1.6223292584778977, 2.6987467549129898, 0.17664325685690363, 1.6602415380162379, -0.1613573747119128]
31;-1.1774648870091375;54.58896249998361;[1.1532710961992985, -0.24247104584203694, 1.5818675694124913, -1.5749364488684052, -2.7506750616536686, -1.4520993706476564, 3.1398976276632915, 1.8405596168530218, 0.42812375477176, 1.033031023080425, -0.9283546086529566, 2.2290654594185924, -0.5021224372013178, 0.00785529080943892, -1.3520528504231824, 0.16456297860511526]
