run;final_energy;time;best_position
1;-1.1746001755549424;152.8529309000005;[-0.8067973058094462, 0.48885221043992466, 1.8320024225254956, 1.5717856544780018, 0.7405770188707801, -1.1835037014897436, -0.632026534511644, 0.5395255650273101, 0.3191486086970392, 0.7822219919644606, 0.6891416487667912, 2.8086624001822402, 0.04672570293940659, 2.152782605415247, -1.4887012322475761, 1.149000170772414]
2;-1.1512147976346827;162.42544060002547;[1.316693700707079, 1.5219874828366144, -2.035935745407727, -1.5347222908952993, -1.2913743611698716, 0.5682889860594798, 0.4430008431173236, 1.278708672049218, -3.072442676084136, -1.9633086574885383, -0.07596366244618036, -0.2274769109530288, -1.0628611601397844, -3.036903363531851, 1.1079292679462194, 0.04867456875404308]
3;-1.1821775674244892;163.42001020000316;[-0.8909677938045633, -0.9700330182202817, -1.2144772375467294, -1.5055538975730205, -1.380193570801371, 0.7812242139170902, 0.25498370776146384, 1.9021494863249533, -2.3414220935543373, -2.1343890959655694, 1.1107267484512073, -2.0658304395713296, 0.09545102668022931, -0.1755945171153348, -1.744215284957535, 0.437160489938623]
4;-1.1797253072929548;162.8560619999771;[-0.1419841164563409, -0.19257035760898233, 1.578919893256284, -1.526630552561555, -1.3298910255909502, 1.5715568960832016, -0.157469021171607, -0.11234340246501162, 1.4113900779317552, -0.9340915429376566, -0.17769318690541125, -0.11261491666460266, -0.9217385120182517, -1.6472287867984654, -1.3487881865478764, 1.499774995260995]
5;-1.1579091283070913;168.2426315000048;[0.06228433792888888, -0.4570339832774333, 2.9395351564498187, -2.1472785955352856, 2.946625274613229, 0.4816489412531517, -0.18136978575356277, -1.400136241567862, 0.5815360521755153, 1.1257707474289775, 1.4543765025079392, -2.295771624861279, -1.9806110025352464, -2.4416344615503047, 2.0070099886207347, -1.7381827512555081]
6;-1.1584863138511068;171.82549260003725;[-0.9737242935166543, 2.0537691774834137, 0.8974743628767285, -1.53456663695994, -0.03156297931969698, 2.3824379031224847, 1.3540450933801305, 3.1197031702074307, -0.7388825578343292, -1.425722448558495, -1.3174889725954302, 1.6211095874508823, 0.3045734372832407, 1.202677422473295, -0.01718892762897939, 0.05397081779657542]
7;-1.1689647604366398;167.29646690003574;[-2.0555440452397904, -1.8382349938272964, -1.774190853850308, 1.7287441428328991, 1.1393015765662078, -1.7463616192611087, 0.47593867772005716, 1.890800720666058, 0.252823103260587, 0.308064619137717, 1.9168434218496921, 2.2126449065182143, 1.1961145688167214, -3.0747295944184625, -1.556641912260722, -2.6081726392379148]
8;-1.155587808082633;174.1982246999978;[3.0743895695292682, 2.9205043924205025, 1.9200418105416794, 2.4524450116770105, 0.12880749699927696, 2.9351761686916777, 0.929531936509119, -1.176232138579307, 1.5843110055947358, -1.348766828272613, -0.6841540489527507, 1.5240255877802555, 2.1290690250016224, -2.0232623360469133, -1.5983146706777052, 1.8196923918672283]
9;-1.1642575552110226;173.352962200006;[-1.408457693520853, -1.5515647179326193, 1.0302798414870447, -1.1994877089880736, 1.6688645267064057, 1.1621543133235006, 2.3496367682901536, -0.4182671448461117, -0.09636026136312648, -1.4307701947109237, 0.6599036917306593, 2.476856990803065, -1.5617166911361524, -0.9837828600777327, -2.098493739915327, -1.1202520769927928]
10;-1.174155528845447;168.64546030003112;[0.3230304772710806, -0.02428645154779563, -2.7214865871392973, 1.4912109976757888, 1.5051270288783272, -1.7594081302028897, 1.101569969619696, -0.29335161122178466, -0.8948254027521507, 3.021741517272277, -0.3151393331985872, 0.10609965139125555, 0.26283657623874923, 1.9570033851602933, -1.5133740751922313, -1.3963421850483126]
