run;final_energy;time;best_position
1;-1.015747904;106.57473479997134;[-2.4836487757235113, 2.7168112411422074, -0.11807535780643796, 3.038381998087212, 1.966869816926443, -1.5492563690628198, 1.646331152610875, -0.4409777906752934, -1.0066026864549293, 2.425718819811175, 2.8932106348513775, -0.5693318172027375, -2.7089962607372344, -2.2400869678132067, -1.4935364979778911, -0.8151775328046038]
2;-1.017146656;106.47838089999277;[-0.17941015306363006, 2.1808563413983997, -2.1112746605425743, -1.8223334699723537, -0.7378609567451497, -1.8277478512507035, 0.5986905027901042, -0.1394647967761884, -1.274075453498536, -1.4266383704204477, 2.550723711774186, 3.094172274879255, -1.497481045561455, 1.0188251896205074, 1.0806335652846437, -1.2591790597356929]
3;-1.012653112;105.64287139999215;[-0.4066667177260044, -1.0825441265787639, -0.7065797398870686, -1.5852027502056345, 0.03635456247748614, -0.23497672429920025, -0.4345779271837089, -0.8088891398918467, -0.30923263546764446, 2.2333214885699775, -0.14675446290766336, -2.9442531466274815, -2.626836152101563, -0.08647556607125262, -0.6946855427322824, -2.168638846684884]
4;-1.051550896;105.49886969994986;[-1.8563833853111489, -1.0144951886413534, 1.6071004552303068, -1.6118806989222076, -1.6172863355661262, -0.6927647840676978, -0.004387690278948586, -0.052120455259656584, -0.384115344503273, 2.1831957014419494, 0.01452927371167112, 0.022357633475244665, 1.7088377997374735, -2.485558777664298, -1.6171249243003736, 1.6240394008119843]
5;-0.9802796;105.90758610004559;[-2.538557567057419, -1.3254303017350624, 3.0368031226207775, -1.4810588133341072, 1.1215240669989859, -2.6295390672254406, 0.6039731562232706, -0.919091410435839, -0.13653783594321078, -0.6009417761700879, 2.0937139953178328, -0.9999262346876474, -0.34374149851931834, 1.0121728250779158, 2.3182032421438565, 2.3560684440809823]
6;-1.0424118039999999;106.00151859998005;[-1.7308320872184066, 0.029163745429807708, -1.3700678683004046, 1.6320278814555698, -0.5858766356253424, -0.6792328153089606, 0.018640357871760216, 3.039198171811991, -0.09531893858057794, 1.835004970153074, -0.12403721187661088, 3.0687130463576073, 0.3669011644328206, 2.0941661903628797, 1.523290188718434, -1.5502015720820586]
7;-1.040058648;106.22081190004246;[-1.1070248343261522, -1.2024606689519686, -0.7940413256184895, -1.6323756310869446, -1.9826160735139884, -2.4191101937529798, -0.2542958606324994, -1.6453717082638852, -0.8127922764887177, 0.8075911172845247, 1.5993930209492309, 1.5550498105179589, -0.9788649400316918, -2.8498243615082375, -1.4905472596574187, -0.07505369835993037]
8;-1.03050492;105.81568259996129;[-0.11008154493292199, 2.4565873332700683, 0.47198268361089957, 1.5355939049755634, -0.8240457414985443, 1.380877413800313, 1.0813042568616016, -1.7645748660182665, -0.8308044463848012, 1.595139128546891, 1.6118877790194155, -1.534887677667338, -0.3703427895713367, -1.3546750661862197, -1.6962705461315823, 2.723229761272239]
9;-1.039592512;104.41884910000954;[-0.215650595899457, 0.24609500059905765, 0.7571185995370167, -1.6617122608511818, 2.709166597554564, -2.8170504578173134, -2.4677076391562642, -1.6183813724844895, 2.4963382240594676, -1.7053493496178043, -1.5182761097508581, 1.453118124689805, 1.3949411496184068, -1.124860184132023, 1.4803273964658965, -0.9475271215880259]
10;-1.0066036120000001;105.72239599999739;[-2.7067386250954497, 2.401017429548201, 1.2642148648540026, 1.8879339005694824, -0.7752915740001964, -2.687774431291468, 2.6805689740875973, 0.6827721550964716, -0.6516992717984365, -2.201355456081661, 0.8587301380492516, 0.7034739882350163, 0.25370864172236374, 0.11283987849476729, -1.0514756846840188, -0.6400968961481617]
11;-1.0548290280000001;105.7781232999987;[-0.2250454755293423, -0.35272065075437586, -1.7369422865140716, -1.467568997459527, -1.6112585485660476, -1.6478048295076975, 2.945303212602991, -0.18240080330419195, -1.3291356755006916, 0.625136809434121, 0.012839148451731397, -0.029069797461792835, 1.1664606944500493, 1.5439984604474883, -1.5767673640526012, 1.6764223747584959]
12;-1.0376493;106.56334469997091;[1.3321793319454427, 1.7521868976930008, -2.1975842077632297, -1.594194641709216, 2.816019088597172, -0.23747765493687556, -0.3197868967076336, 1.6451434465429156, -1.9886931868937385, 1.432505388820143, -1.6251992066902157, -1.6752578517669137, -0.8641108845324017, -1.8616217458251159, 1.6991639685383717, 0.4192325352502584]
13;-1.0187303;106.1989413999836;[1.1196991754359624, 0.212558868746902, 0.033767954102435827, -0.7428184177034476, 0.24945169869678585, -0.0007396516388880059, 0.10728453912316116, 0.30451900774994645, -1.9305449993007018, 0.2830794975749913, -1.8335629765310841, 1.9960192411500683, 0.7190221189335784, -2.7961805033263727, -2.694994884233425, -1.1932504490433684]
14;-1.030903912;106.7804300999851;[-1.7742687634864254, -1.4824055358173225, 0.9999927493043899, -1.249936008656925, -1.4831935686050586, -1.6758045564031434, -1.6654883332384494, -1.3060581100819686, -2.768353132453279, 0.26363049791464954, 1.4401561897924768, 1.4034986505518923, -0.5887429128123016, 2.7360454678249315, -1.3981405775575053, 1.3896192695888514]
15;-1.028140064;106.10598140000366;[0.11698321051106086, 0.5300244651613935, -0.8941886658113081, -1.1408393561911288, 2.992153740316162, 0.9544403980603393, -2.9917673605281005, 0.980690854662158, -2.997547026193502, -0.8786561644975359, -2.158356846397268, -1.2672011031713368, 0.835067960134976, 0.015321862579793954, 1.3657068081849513, 0.18385530844858078]
16;-1.041582364;106.00305310002295;[0.6149059848650289, -0.1340393378578284, 0.3653174769634604, 1.583405751741192, 1.4456808931901293, 1.4585354584142278, -1.4086367910122404, -1.3381488891471502, 1.7804832953160794, 1.79218342905199, -1.344755939031692, 1.2686734196415639, 0.8422675260464407, -0.5772475765267133, -1.6222817750255265, -2.5146044622728194]
17;-1.021810892;105.97731809999095;[0.06388455941341409, 0.38885910989027206, -2.9501868043779966, -1.9075861816005406, 0.6701624976729512, -1.6482882090967594, -0.030584284253247773, 2.577287310104543, 0.5926702318865611, -0.2860001749096117, -0.4270950206762345, 0.009070679257063397, -1.1627124811236915, -1.6448855491635421, 0.1911906125652556, -1.530670044912201]
18;-1.032812712;105.84792910004035;[0.554921304641399, -0.9118619174351568, 0.942536721500149, 1.9621447705311663, 0.5493360468731865, 1.1592212124271954, 1.8465028416854832, -1.5447931530778376, 2.999251964095299, 0.30625147426920396, -1.1919256807079852, -1.325570225863915, 0.27374082153197055, 0.9694105703239302, 1.4699846940355012, -1.4247018589938445]
19;-1.02843904;106.05833089997759;[1.6561277010381614, 0.4188343516295183, -1.7146999213586842, -1.1646189038954435, 2.6298912120619757, -2.47824674399289, 2.0158794805188034, -1.5761649783144378, 1.1978852575581422, -1.6688762210640302, -1.8647161428454948, 1.6235603806865004, -0.47981423458570616, -1.4912781490677118, 1.6280988132934944, -2.0748733918536657]
20;-1.0324403279999999;106.37087299994892;[-1.400191825909705, 1.2887710629859548, -1.58624692228043, 1.4992796777879986, -0.9717548232408935, -0.9781664421835274, 1.181844761511826, 1.4261120121501127, -1.9763761142398928, 2.111683039347673, -1.5663761932479996, -1.6114620034692373, -2.005571797909198, -0.9379682556667692, -1.6099787038220124, -0.5308523173203286]
21;-1.030246692;105.84883289999561;[-1.7202062956337767, 0.863581202782254, -1.057580113791131, 1.5832172021771136, 0.8272740151478128, 2.996344939260564, 1.2846311202266305, -2.474459526545395, 0.5333246627318537, -2.023109764568252, 1.6699152194148459, 1.0297363091814606, -0.2412131474596464, -0.7966139185533492, 2.3305947449991287, 0.6831207502869061]
22;-1.0276703440000001;106.22795189998578;[-1.20665092954441, -0.3221407148108759, -1.901295450905478, -1.773277080550813, -1.5157813005639655, 2.7643364524629686, -0.1320289021386416, -1.922561723429083, -1.9550206742855365, 2.9796183826552367, -1.7799437506867342, 1.8696412200168382, 1.7129041783232708, -0.31137863097877183, 1.28156546346254, 0.1442283083460465]
23;-1.00875506;106.12707089999458;[0.6408283796550149, 1.6181011634837548, -1.0538583066747664, -1.724425682633609, -2.5690734567989293, 2.0889690929529507, 2.785169893578269, -0.808871389634358, -0.8124421940741744, 2.3074783543304003, -1.5517248036025464, -1.3470015925487842, -2.0629347791090633, 2.1976998676254933, -0.6559591150697148, 0.12505222050538345]
24;-1.027869856;105.71484939998481;[1.6603471284906144, 1.962828788776548, 0.82111755729695, 1.4173159883309783, -0.2536744743395092, -0.16658926256107964, -0.7499300490474301, 1.7194159698916716, -1.095073031149846, -2.0143168082100353, 1.4261467036230373, 1.6387907644841029, 0.33597053353520145, 2.2582903527228924, -1.7991814796787655, -0.24473621615734675]
25;-1.035255964;106.07549120002659;[-0.8032363407232794, -0.9875038889045955, 0.5158249909751857, -1.6149290765279578, -2.303780114440075, 1.2416390531166712, -1.3181918252612932, 1.475305707024642, -1.1871617409334854, 1.7627104855497029, 1.574807562832575, 1.5618750204218852, 0.49749951774253676, 0.13264842635700314, 1.5466537893528542, 0.20006887269628182]
26;-1.037312672;106.26871949998895;[-0.35118547844270465, 1.0356815861659445, 1.9561748743956544, -2.1551600014447234, -2.7332566871116826, 2.037560466050257, 0.5262274343114535, -0.4133669945759131, 3.113168108199531, -1.1768818470860862, 0.3870144788985401, 0.6283358944010153, -1.555703421717778, -1.3826241416551683, -1.42841393287685, 1.7451723136806212]
27;-1.0340728000000001;106.08122569997795;[-1.7647541102791637, 2.1316498235268906, -2.3777344767309785, -1.03454123187987, 1.7900520436043363, 1.4270916805482798, 1.7590590635061751, -1.6208209526208393, 0.6880891822593926, 0.2939453998464234, 0.8651950424621839, -1.6767552630437428, 1.3790630886921251, 2.26929932089379, 1.5476127788814065, 1.3276973961566894]
28;-1.044552872;106.09786950005218;[0.0713940958079049, 0.09079795078014508, 1.2195692473212283, -1.4580538659132913, -0.11276754070001083, -0.4849879906492158, 0.918006565254812, -2.4061001856789646, -3.102587865623366, 0.9931228939695336, 2.001819286114154, -0.835044379896714, -2.7651522423867663, 1.087681380447238, 1.9026443726421052, -1.5544377958095332]
29;-1.03083944;106.24503330001608;[-0.22934169117556724, 1.3442014110263747, -0.5724455831311075, -1.481745595729699, 0.0944881182011219, 1.5581114254797264, -1.2095536558342752, 1.6298851691015699, -0.40646824464346, -1.3787337191253917, 1.7602875650961431, 1.6429408395762533, 2.2843593301282965, -1.2451840415296103, 1.749870585063812, -1.3142872452065084]
30;-1.025557736;106.5647133999737;[-0.8761971796153376, 2.498497159972712, 2.1750746925074678, -1.7864802964386755, 3.0976758579626615, 0.7848517612034929, -2.0163777337370914, 1.9989642858897865, 2.265766649834215, -1.2119002018403562, 1.7650770201857968, 1.9081511059098144, 0.6145832676250071, 0.8716780910516766, 1.7314968593995337, 2.432206857716329]
