run;final_energy;time;best_position
1;-1.0937171640694192;73.05621469998732;[0.10342296024370601, -0.35488993654575385, -1.384985878695415, -1.5723330111551412, 0.35923310156149846, 1.4073412845371678, 0.2551545324382669, -0.00028355615984709814, -0.3290085946034238, 2.9404300150394995, -0.08554399202182505, -0.004990670149067622, 0.30093112867608074, 1.6847242713284798, 1.6407154567680617, 1.5682261330959708]
2;-1.0812413450671865;73.62002100003883;[1.3808785854458057, 1.5754506888245512, -1.1961860202007402, -1.6045391029127263, -0.7184740621502836, -0.0343349658743306, 0.039756308158970466, 1.4004155188423137, -2.4224937305731205, -1.6152958012294667, -1.3479477191960119, -1.3216756567524117, 2.3533554737179676, 3.1309351683345064, 1.462373434938839, 0.3179136237323039]
3;-1.0794963238279702;73.6983224999858;[-0.81529960653811, 0.39317071588798047, -1.4949245431013098, -1.3704836375977565, -2.7653685144661218, 0.5122433334620369, 1.7156985568137166, 1.2763130479973368, -0.45518459659486865, 1.8263002136851663, -1.7810213409726152, 1.8401345086659626, 1.4731815469654714, 1.491296156757942, -1.58266170915773, -1.564289311410011]
4;-1.093299795870354;73.54328339995118;[-0.028684157347712347, -3.097782035215823, 1.6713293036052113, -1.5715005841184515, 0.07282004953201637, -1.9531032517798992, 0.039990026727831474, -0.001614205490795495, 3.0504711225747982, 2.832189504888129, 0.05168351412896621, -0.004470925564263872, 0.6987666849710994, 1.7680398285924008, -1.7198068090814824, 1.5644415248050594]
5;-1.0897940888575794;73.8879000999732;[-0.0020458397495843883, -0.020406756664838266, 0.006555864537708178, 0.28964636231430196, 0.337130171251117, -2.0267966655074257, 1.3069040215608991, -1.838451875906579, 0.3415981801829404, -2.3400750792125145, -2.943533413076336, 3.125297404433894, 1.2395684076390117, 1.90947970600563, 1.855964638725296, -1.566146320619335]
6;-1.0747767752441195;73.34431939997012;[-3.1056854864075256, -3.056154071851889, -0.7382009236865041, 1.5538017739130154, -0.6359162790216804, 0.5516333630407795, -0.8934495408338572, -2.6664292896711848, -2.672079156450676, 3.140735810748496, 3.053150699829221, 0.08171901222573874, -1.1916612655703491, -2.2870668344844742, 1.4337750303231491, 1.992515048078725]
7;-1.0781769626947066;73.79544029996032;[-2.9328900704030896, -2.4834557229982486, -0.8825367388434016, -0.9636509581263457, -2.896536640847769, -0.9066114737806767, -2.1896524404088056, -0.6742686129647724, -3.1391219338042387, 0.7277883353174612, -2.685669580947829, -2.5438809877806436, -0.39125693996402733, -1.2672484384195446, -1.3520469320434088, -1.4005056621131764]
8;-1.0752796930837856;73.47813740000129;[0.6607585646830252, -1.4574376609209385, 0.8113213522268903, -1.568632363737498, 0.5700088258735865, -2.6614913403761404, -2.571250505111304, -1.6677197847649174, -3.1074745610304397, -1.66232566929693, 1.5745642631829622, 1.624117750060968, -1.7217002050306798, 0.22860919197790786, -1.647007168260407, 2.2089055099317694]
9;-1.07502039278809;73.62770070001716;[1.0401999932817931, 0.28976579231567934, -1.6986797628845391, 1.5673989467422773, -1.1701950931136675, 1.2651752858914822, 0.35219914019019605, -1.2572677396571676, 1.1431636710530348, 0.3771644206317042, -0.6179810498273568, 0.5999782052211429, -0.17577327128966402, 3.089980901964192, -1.6743653429733198, -0.4431283676264526]
10;-1.0924940816277602;74.40996910003014;[0.6026638211104007, -0.18022854068176386, -1.650457628771129, 1.5654091713150624, 1.4030047015471467, -1.6473531755592035, 0.09713395387472623, 0.015030430613030443, 1.3172313867866503, -2.6094125770606644, -0.08330987167750736, 0.01226047395814156, 2.7594223203341954, 1.2492744435241638, -1.5673620554352092, -1.5728713137969075]
11;-1.0934745690009922;74.24315890000435;[0.03281800974916571, 0.6683451948847612, 1.4421541457774945, -1.5708286395928466, 3.1076055754645546, -2.2109034705059054, -0.15322806087388097, -0.01225597628951025, 0.16810608341868427, -0.017370879358916458, 0.08587600932795647, -0.005857450723984581, -0.4761723475941664, 1.5953450682686388, -1.6206836120678425, 1.570920264366844]
12;-1.0775588723009364;74.38238810002804;[-0.30427743516375294, 2.465826027111892, 2.098273897384267, 1.4612180010060065, 0.3676012362594552, 1.021018829601351, -2.2372553070833754, 0.13208448355885682, 0.018251800432192322, -1.118151646919923, -2.5991659912922427, -3.012321017035526, -0.6578980928299214, 1.454171377762849, -1.697273880383893, 1.5555593995533101]
13;-1.0816242962200486;74.8479679999873;[2.38047215200793, 1.1074559733617875, -1.3538804550157175, -1.572835564336405, 2.144532602230898, -2.405881758352172, -0.47624588079623464, 1.525279420066438, 1.5338118322595449, -1.386714828856733, 1.5614562684558617, 1.5823969778107179, 2.2211151751650355, 3.0222274515252856, 1.5997540449721477, -0.14059306232289748]
14;-1.0923504402846198;74.31948870001361;[0.011911827719058188, -0.006925348859844416, -0.6702329284423185, 1.5210412449682043, -2.9685106752050543, 1.5978380503216165, -0.8254226570107424, 0.041192945006639725, -0.06801669212445871, -0.03791960302980435, -3.140752601061487, 0.0035972643795942894, -2.9014420669897394, -1.5565512459498902, 1.6541074509577536, -1.5582771423168]
15;-1.084556964948212;74.28763029997936;[-0.19452831684963057, 1.0957229474069665, -1.5676370942089302, -1.5702123645289587, 1.7291111447965744, 0.9407003741544884, -3.1183983907713286, 1.6703466445448063, -1.6780896894920827, -1.550884476073658, -1.5480984493292047, -1.597127667122828, -0.14636023141694166, -0.0027714629457764595, 1.679662544221479, 0.014665293038750082]
16;-1.0730855585485954;73.44337369996356;[0.001396348774129308, -0.37504414257176055, 1.5986864282097857, -1.525856694634196, 1.6027194393031143, 0.6497964448130835, -3.0916330891567867, -0.979644932972481, 1.5660789452942652, -1.5685479012124388, -1.1576297342703605, -2.086607882360458, 1.018141209606446, -0.0583201612808697, -2.0900404164649258, -2.7868992801788983]
17;-1.080357844758065;74.08938830002444;[0.06058086300607801, -0.24379424031495045, -0.6014880999252123, -1.5388182030190274, 0.1428970202930704, -0.14658423581196134, 2.493387535130246, -1.4351534786683413, -1.535669709026772, -1.2475293613213039, -1.5965158516696918, 1.73897777397349, 2.4222924332875193, -1.5475161181372061, 1.56801865585129, -1.6928618877083161]
18;-1.0846585444488355;73.88522830000147;[0.454840589403291, -1.1111466791396896, -1.6199861244414506, 1.5862680816660486, -1.4407687220298528, -0.25791143833381636, -3.13536024456722, -1.5130764605233966, -1.2353454502237802, 1.5421342799680815, -1.5104620560376658, -1.5133337106225189, -0.36736270209960686, -3.119428615812089, 1.623570217001375, -0.006428346951224295]
19;-1.0821972460437133;73.70857099996647;[0.5102743457870487, 1.5157062023275225, 1.2178421656222316, -1.5692591581269382, 1.87950492527413, 0.010510664403819536, 3.1260827282293615, -1.528181963831322, 0.7847013718768161, -1.5943036796074916, -1.593253868903586, 1.581099152286403, 1.1971119192667556, 0.048619767382345636, 1.6399023142407607, 0.26489152137041705]
20;-1.0778445199830882;73.706148999976;[-1.1854168168571309, 1.6419845491559322, 1.4883854193143264, 1.5750921811074035, -0.2138272784608226, -0.9904670627438916, 0.00842543591606093, 2.025214055866222, -1.8988068154717563, -1.3510491252018395, -1.5589037988318966, -1.5984973098300923, 0.6252300814277683, 0.05500113056792877, -2.0088055781284284, -3.1139311885576073]
21;-1.0751446813062273;73.54779290000442;[-0.017849663157867734, 0.16486550000904687, -1.0035455326494027, 1.5628906547516754, -0.14291370373154333, 1.854178981789591, 1.3005438243000347, -2.9996205475202524, 0.14178642685050447, -1.7963520732875686, 1.6741076086252225, 0.9863265809853878, -2.128784460104482, -1.855961298348936, 2.9904605675910734, 0.5875423647932432]
22;-1.0737348022282498;74.00556289998349;[-0.4800441728166738, -0.16676323470151155, -1.5875740626731278, -1.667692134227902, -0.06938889741555876, 2.94981965677775, 0.28324762778840595, -2.005711312607539, -2.690353101319373, -3.089628382048414, -2.5426366524095014, 2.5208427334274575, 0.25691597034528835, -0.29864938433220845, 1.5766363034224078, 0.5425600536371538]
23;-1.050471483978513;73.49064259999432;[-2.845245459218666, 0.41792345476447945, -1.5856820364435904, -2.4300695588694214, 2.998143843996255, 2.7792376757617543, 2.281386021573586, -2.5086235559986725, -0.33199779141221075, -3.0647151044637724, -0.48491263727180156, -1.590402576731315, 0.6644995912058236, -0.4616514472144999, -2.195315614126698, 0.1650151674950724]
