run;final_energy;time;best_position
1;-1.1187145880000002;107.2395221000188;[-3.0139044591462536, -1.051633792086935, -1.916468614976285, -1.5059772778783038, 0.1700382585743876, 0.8062207677641005, 2.709152031216929, -0.34776186686656496, -2.7896561674114357, -0.49012890654083785, 2.4023737761587913, -0.14364077310458923, -1.1338994507878346, 2.3792143064433837, 1.6281682178250776, 1.473207361935673]
2;-1.129363748;108.52274709998164;[0.8640945387363352, 0.6817391961634698, 1.2141903321786405, -1.600805821983629, -1.6187713594641493, 0.8489743467635562, 0.4785612817055913, -1.3510946551560863, -2.1127041075138524, 2.141835143439062, 1.59304386390916, -1.4881577490653632, -0.7260018792193539, 0.7201015052922504, 1.7732873515557896, 2.922980729474597]
3;-1.112481008;109.35108420002507;[-3.1052191097696653, -0.002857696867057502, -2.554649438487699, 1.813906386592917, -0.9449077707870934, 1.934824835954191, -0.4542354363844412, 1.5155933015508438, -1.008031773977002, 1.1564290086585451, -2.2026387119706796, -2.0356008380627215, 2.4819137836806098, -2.624100763349096, -1.6404834443068939, 3.057542601415059]
4;-1.1237066960000002;110.37607299996307;[-1.325844051512374, -0.6977112047163678, 1.7169771040888202, -1.9007942487085765, -1.1078221337091279, 1.348299426948265, -1.3881963649287072, -0.6405128395773079, -0.23119486878448114, -1.7047230189933522, -1.741632038097202, -0.7055541671617247, 2.7523961433603663, -1.5076516044336643, -1.4054981388049201, 1.4481728593734022]
5;-1.1203178839999999;112.05210959998658;[2.424864654218897, -0.8520781991955504, 1.4211535633626182, -1.0223400852508, -0.5798873989540421, 2.1964540303200515, 1.8123176668729801, -1.306382216882655, 1.970384718716451, -1.7404533437377736, 0.9832471774793232, -1.370539316507709, -0.45646313618684653, -1.738396059961912, 1.7436097200578615, 1.5213483161892878]
6;-1.1271180200000002;111.53305329999421;[0.8786175369201299, -1.1506753583192944, -1.1479810328615434, 1.5797559486702486, 1.4788401857249136, 0.49768651403054553, 0.655783328102387, -0.039549076357098034, -0.6045734634689994, 1.8791829695650613, -1.7821432139251687, -0.9826415236932857, -2.6709954283589488, -2.3834716096681463, 0.06471011058820686, -2.501169673385541]
7;-1.12712416;112.44406350003555;[-2.6905320334752205, -1.6949287665748154, 0.5415822590138277, -1.7291642237940927, -2.7087275304282974, 1.7646947562504618, -1.1403831238372746, -1.4526000623568447, -0.5028476465361233, 0.8924972041964017, 1.6742295179973654, 1.6831463956259132, -1.460428574168333, 2.94607775870249, -1.78694952280105, -1.8346115165866976]
8;-1.1404399680000001;112.86352620000253;[0.010063905837411458, 1.0767429699771718, 0.03695364267103729, 1.5408509120387048, 0.05074319375123881, 0.1634792495438857, -0.02593092487288695, 1.8198925079232016, 2.8785983750976936, -1.1406411283570614, 1.7707428445203997, 1.275874118105655, 0.501098071576136, -0.381170158109974, -1.7620335745698708, 1.5479262591321312]
9;-1.1369015040000001;114.00779290002538;[-0.31628194457573056, 0.31606658586674463, 0.5230954109341042, -1.6195719417276202, 0.09469342756974841, -0.38284630318416424, -2.3681962901291373, -1.889970671040913, -2.9686692441582174, -1.3075605141677242, -1.653408961325469, 1.2079501362175167, -1.3728870253176348, -1.3774828472879987, 1.5640667546580085, -1.9341645500403313]
10;-1.117004064;112.71460409997962;[-0.15103924881232844, -0.08006193691215024, 2.548160079695668, -1.9436287592619308, 1.7007311354327355, -1.3018480336804312, -2.0321502255169435, 2.1835995764234877, 1.657596959388969, -1.368984074909363, -0.5332835882244189, -0.2644834179957547, 0.3182759843870526, -0.685769274983739, 1.2833209859648855, -2.1890644067083156]
11;-1.1134751680000001;114.48816700000316;[-1.8025339277666461, 0.435696091061998, 1.204822092608019, 1.4994634062592738, -0.7477498656980139, -2.10422680981871, -0.6423169361168197, -1.8075446699066982, 1.1145189009490455, 0.29327209319806036, -2.2310948757416726, 0.8460459538128582, -1.641208540776247, -2.9010528247118406, -1.7896843007911951, 2.558522394733263]
12;-1.1332683920000002;112.8307736000279;[1.7048315393107352, 1.3803403681339326, 1.2772559557821221, -1.5322696876425943, -2.969639728260375, 1.57735830807656, 1.6720223560626977, -0.22973206692538195, 1.8001832538329863, 1.68604449819302, -1.5792021198693473, 2.573338423517571, 2.2078277541249944, -1.3675631510100748, 2.8457728382427927, -1.022654860240161]
13;-1.1220128919999999;112.7201936999918;[-2.940724872306508, 2.409614250329546, -0.2816814720124383, -1.7339809616018778, 2.132917165183242, -0.49363572320312166, 0.2705669328301612, 1.3519208192126388, 1.841172270535477, -1.6256826669799143, 1.7293787572143966, 1.953774705562429, 1.9697546457866384, -2.0657281902080014, 1.7456305142033415, -0.6302756294594225]
14;-1.1122742559999999;112.35169360000873;[-1.538578754141151, -0.5744596076144584, 2.4855161612864256, 1.6708244956600904, -0.7736523692373116, -1.9437382040104776, -2.4336544560010975, 0.15573979896366064, 2.834277811211309, 2.143274141269824, 0.3971473901929783, -0.02438286044891136, -0.739908432702526, 0.995728631206017, -2.3867242464275336, -1.425818515858473]
15;-1.1222105839999998;113.42859030002728;[0.42911950962244116, 1.055973144942322, -1.631203975867749, -1.044610531947968, 2.856819839413749, 1.1491514398435463, 2.609804678660569, 1.3941516488211665, -2.865911732187833, -0.2885498694988531, -2.1733565645048287, -1.4438828575748754, -0.19328103458774093, 0.280912676387818, 1.5884491278237398, 0.5436373938906631]
16;-1.138509116;112.43490819999715;[2.4885387954532057, -0.36993213931615676, -0.5270500837229233, 1.662399426563117, 2.055675255530744, 1.547095160335652, -1.9595989730820338, -1.3826133690739992, 2.058367756803783, 1.9860376255801793, -1.6757909476632726, 1.3302991359844842, 0.5439030538706011, 0.07752193446301447, -1.5384494530680057, -0.6981467615848502]
17;-1.1255533880000002;113.30350239999825;[-2.7700355092043183, 0.29727919509456635, -2.496475854174834, -1.6732918536271548, -0.3677350411593494, -0.7001566091075508, 1.9914546090029006, -2.9790593577622912, 0.6260119317746935, 0.01583949502327142, -0.6169800188824635, 0.10414378214169107, -0.7957659422834644, 0.8673811284863531, 2.1126194273623957, -1.539168553704799]
18;-1.1350162279999998;114.82585219998145;[1.617267036804357, 1.2885523675022714, -1.7346732638056128, 1.5567464881327098, 2.748849371677645, -0.6909986626741906, -2.822172821721682, -1.1947559722997592, -2.0065557665172924, 1.421718580113195, -1.5550812431456889, -1.5678780552113905, -1.9782993395768447, 2.919943059011268, 2.056161679935739, -0.07901081751840655]
19;-1.1216796880000002;114.52869589999318;[2.8495402222521644, 1.0176551948574284, 2.3380895564104307, -1.921995138326481, 0.35039549822839167, -1.9007269315873978, 1.5192208981443098, -0.6237917974207985, 2.792205669586422, 1.0026767923642765, -1.4280236849548185, 2.2730207868324026, -0.4564294042658501, -0.13849673518629002, 1.8826975220699902, -1.2034376542976482]
20;-1.1314428600000002;115.73023939999985;[-2.2232996133024323, 1.4131469023044243, -1.860601188445104, 1.5582692624674248, -0.6900504219555801, -1.322855162695395, 1.2872007116266273, 0.8635821842949056, -1.8100304812852976, 1.3913585051881867, -1.4152628031126018, -0.8217520994304555, 2.288780205414321, -1.3582668544461851, -1.6725283964408213, -1.3699942783088053]
21;-1.106527308;113.97469900001306;[-1.8841826519233544, 0.3928054986734093, -1.3005092078114102, 1.4360521032494056, 0.7313000452989393, 2.790472851599164, 1.5517331443902238, -2.65920619394596, 0.5319812272164683, -1.7105584424201106, 1.492767401034115, 1.0721101661176267, -1.181596965152699, -0.2566975946808401, 2.3888238640607478, 0.661726708680372]
22;-1.137496964;114.48678879998624;[-0.7798706162530231, -1.6935201076284045, -0.276177169058081, -1.7061763216009818, -0.58042837235323, 0.06097487703054805, 3.0177967347234596, 1.6285981959296265, -0.10549975182932014, -1.1385388570615849, -1.6250131801288619, 1.5977057859243207, -0.9267478722712736, -0.05115162740113455, -1.5601759209605983, 1.9154106922655494]
23;-1.103985332;116.21474870003294;[1.7367119029725293, -0.8985685362398739, -1.5016678517669604, -0.08603853794885019, 1.6147505375736353, 1.5590166441729245, 2.9192948882286958, -0.5186818938845099, -0.6418985699294759, -0.30500671055395, -0.49335882607807724, -1.8108292929727992, 0.21036257326261554, 0.4694696535202829, -1.2808969566196249, 0.9406969824260489]
24;-1.1270600960000001;115.5075243000174;[-2.7736844440796307, -0.30192037982300945, 0.00857938249758794, 1.3947909421800766, 1.5236127960336319, -0.6414228622446898, -2.162859284343212, 2.0445165669499588, -1.5430977188227855, 1.3990869875684142, 1.5174558708634294, 1.3829052126189731, 1.8928085092763265, 2.3189598880323725, -2.2625798174271052, 0.33498751259459736]
25;-1.122064804;114.68572000000859;[-1.3083917686672346, 0.6044125386481083, -1.0557040909148219, 1.0378867698394023, -1.6914619602385033, 1.5507635283885381, -1.2165614244787744, -0.9069981312740465, 2.001889946660139, 2.4776766095771254, -1.7702525665142477, 0.8292741565642934, -2.335953572812465, 2.7241517875707357, -1.4162096712943348, -0.9813976319176643]
26;-1.126922496;114.75801879999926;[-0.5658545358483065, 1.5111169347036402, -0.1472115059827872, 1.1446544900080289, 0.6581476388038414, -1.6780605852482944, -1.601665225999968, 2.2937690333348604, 0.460731318636864, 0.8019499232005103, -1.301615866166849, -2.268180297539907, -0.014242029119440058, -0.7119971203833448, -1.5974577640074623, -1.2186835301245997]
27;-1.128008056;113.23871379997581;[-1.5325255035252923, 1.2611068371990726, 2.5887721933816774, -1.1458530831080782, 1.5543927510045688, 1.3033702353948202, 1.6211999881011305, -2.0414726583737184, -0.40891306530026394, 0.24787999709408526, 1.175526546027803, -1.9789762869585887, -2.118873223877495, 1.1914984858129358, 1.8737524864762136, 1.2804072388420025]
28;-1.132350784;113.30878029996529;[0.412277801413758, 0.12787901552244474, 0.9832818860686539, -1.5697880972900755, -0.33141984376746736, -0.7483442813878844, 1.0469067985918672, -0.1999207003732466, 2.7024027948148186, 0.7027074774618884, 0.8402128577518311, -2.9167014799546997, 2.389989913575029, 0.7390851936913676, 0.7364092930045452, -1.411646822948841]
29;-1.1237282640000001;113.431024599995;[-0.2042724147996955, 2.520632905581385, -1.6887233072256744, -2.315067900310519, 0.03788650434604879, 2.5359926616400177, 0.9114984738427188, -2.390259996752741, 0.2254713750321642, 2.872613809464509, -0.5026525700694786, 0.8813977926939867, -1.9761105874722165, 0.3185613878755409, 1.5703191464236035, -1.497234006992752]
30;-1.134967228;114.10567690001335;[-2.4932906885580195, -1.54075959853304, 1.6872497359488534, 1.636927917433038, 2.181126617088209, -1.548488835033017, 0.6104897005870069, 1.4059031478835546, 1.4038034868858285, 1.5158390053488535, -1.4235915209935979, 1.4858101167879862, 1.9469120009951943, 0.4792318590737814, 1.4331424695318802, -0.04357286516672643]
31;-1.115927304;113.45606769999722;[-2.760348433302014, 1.2756761489384267, 0.8835509595673816, -1.8430036034100803, -1.049968420629666, -0.7717735379875221, 2.834769387830571, 0.9741798476081058, 0.6342177019401376, 1.0599935470857984, 1.1680958988776897, 1.5213566197254051, 0.6182114004149004, 2.0859635459583794, 2.0734128523404864, -0.06829414489902463]
32;-1.12815842;114.30981880001491;[1.7333036615533057, -1.5475034367025213, -1.8133795452574042, 1.5344118866746532, 1.578633784728443, 0.36770718453410023, 2.675242325961806, -0.340844429440903, 0.19082348836446794, -2.295238999240653, 0.9468671959740016, 0.5433942204597222, 1.4797241080785692, -2.587731719499125, 0.6016104360140422, -1.0174547708448274]
33;-1.1252913119999999;112.01557589997537;[-2.3224120983388103, -1.8477060433271555, -1.1960930810752333, -1.595684279174315, -1.3674585921207585, 0.024227029971997993, 0.8027112481346976, 0.5425323433327929, -1.0054056914038507, 1.089751057121851, -2.3559157234201793, 0.7820696607641553, 2.289483078837212, 0.21939063251170454, -2.6864061591662107, 0.5522650056916314]
34;-1.1199431359999998;113.84896440000739;[0.07016889148327055, -0.14518645687905174, -1.3424444501724255, 2.2633867142425785, -0.15911430076652566, -0.05478776815699771, -1.2880734516081604, -1.34245951672516, -2.273341338160482, -2.163558693172643, 0.7570078087132517, -1.334529968279407, -2.2826402201504505, 2.155404305696658, -1.7208483867766606, -1.2374152265634302]
35;-1.1097028560000002;112.76355199998943;[-0.404831416630659, -0.5714755108676708, -1.6331638018648886, 1.61735024037813, 0.9480536869616056, 0.8592846150182698, 0.3963651483237953, -2.2365485723750256, 2.0391813993197063, -1.151511441407792, -2.668165009420446, 2.7717279547134144, -0.7159385670153338, 2.251868964762096, -1.9287338166614432, -0.9529222495772203]
36;-1.1167239;113.22355240001343;[3.062078479987772, -0.38632677762318135, 2.782849586629375, -0.7327295997881413, 2.714986738701561, -0.9027098298343352, -2.7072092974949125, 0.5181039942733157, 0.6117398732146215, -1.4336970984721216, -1.2319699655465675, 1.861038470839551, -0.8107007568022206, -0.5957566186523531, -1.4250444396635504, -2.4388085087196645]
37;-1.103487876;113.83065979997627;[0.07970188077788265, 2.9702397088079397, 0.01722655637996473, 1.896203579097902, -2.644810502316086, 1.9407717609909207, -2.3245356613676504, -0.13813695143366633, -2.712384562370885, -2.6087394446117127, -0.23150582657205065, -0.6140544831519974, 2.0350740393356226, 1.7648544284674736, 0.8414993703597649, -2.059672808198178]
38;-1.137480336;113.21646030002739;[-0.19969559255515934, 0.5702038701260941, -1.5071824615483294, 1.7560802473649328, 0.09984452270796806, 0.6083207117037643, 1.4258952529064732, 1.3550110434728744, 0.07134678686658358, 0.9116260821656841, -1.3945884093440495, 1.8123201424007158, 1.0252380370143594, -1.9734287868844198, 1.4378572261735263, 1.4491671532604942]
39;-1.128207576;114.9152013999992;[0.763899223463659, 0.41480968004476093, 1.4700604873472205, 1.6386166758606828, 3.016390583149322, -0.4680525970388967, 0.22248269457235903, 1.7606556635807618, -0.6659252612711621, 0.041954657630320025, -0.2655521632961313, -2.834694137381939, -0.8916519944284111, -2.9280975127898787, -1.6892230292092498, -0.22701835639078682]
40;-1.124078036;113.94823859998723;[0.9056818475994826, -2.89675291467394, -0.39713509660878765, -1.6816854018466036, -1.6299579341590222, 1.3741022723434497, -0.5850369769993597, 1.7228623877560212, 1.305931572632339, -2.5149771952728903, 1.313096423232766, 1.3127492710812856, 1.3460715890028192, 1.802234122511325, 1.3524519876758259, -0.5723927454329818]
41;-1.119830832;113.1533132000477;[-0.34369711869335884, -2.7815610181449717, -2.045957129909934, -1.741891038597053, 2.7772928291106833, -2.800894398023738, -2.686070281193866, -2.5193470442416332, 0.05985561269211814, 0.809739713680782, 0.2238974815757233, -2.8669054993462852, -0.1294496015652835, 2.4440245787325416, 1.7960367375199686, 1.1207195582374974]
42;-1.1235987079999998;113.78457900002832;[2.9551996715401136, 0.6618584899324524, -0.18494548942148814, -1.667933258096634, -0.3095092402220798, 1.3597337465274766, 2.128799855904446, 0.15049937922809775, -0.16677263458063019, -1.430232683944223, -0.6904563964699522, -2.462249758589172, -0.7215212914601556, 0.45559239741539415, 0.382150694660083, -0.7888048395640714]
43;-1.124430252;114.63506960001541;[2.0440767720083244, 1.4371078390797507, 1.620361497139088, 1.6584483100796135, -1.335516074624388, -0.4691291978010774, 0.25027247553179777, -0.07799910030968915, -0.8913142742906865, 1.126258502207249, 2.8188961083749815, -0.1398919125360285, -1.4928947827610735, -0.8320429410815895, -1.9490535805791074, -1.4835716392439593]
44;-1.10072018;114.32470120000653;[2.2832785976792787, -0.8580456301702344, -2.727055144826353, 1.7431309086345923, -0.0670368758186286, -2.0487866860392945, -0.4274212968675859, 2.9657009699448276, 0.48209634571946713, -0.3518658267585173, -1.2816237080362225, -2.8862886436951567, -1.8168273985449979, 1.9658244819366244, 2.9137118539967606, -1.960036980182423]
