run;final_energy;time;best_position
1;-1.2020118562490196;74.5713781999657;[-0.035250792760576743, -0.1633989759733141, -1.436689499178336, -1.5512109828398637, -0.04568623412621964, -0.2300122293991027, -0.29926859616617474, 0.2665158026347334, -0.012372293721921501, 0.03862278315862744, -0.058239718341602575, -0.03456527222965233, 0.5440319691454336, -3.0487852023563944, 1.960089760518887, 1.3196160627551201]
2;-1.209724253201045;74.61455719999503;[0.019342471575711784, -2.883623627649212, 0.9621137023855315, -1.5737598852820673, -1.1088636919767332, 1.2312158884599542, 0.6468622875682453, 1.2512631074875644, -1.1217979702793937, -1.6343901539166192, 1.5790497056707657, -1.559939263750746, 1.7706421212282084, 3.095945948327354, -1.258715121702935, 0.048190344368604254]
3;-1.2088161284578465;73.97661000001244;[-2.112982581813946, 0.9194255178086106, 1.0335470065977832, -1.3673197203123597, -1.0633683265422027, 1.2423119321888594, 1.8812585816551728, -1.489190820996117, -1.2644304845856675, 1.189931767444853, -1.3738754462686396, -1.6173459257110403, 1.034943066415451, -1.6157853648214864, -1.5859184954384278, -1.7563801391170322]
4;-1.202593365842754;74.38871939998353;[-0.48641375880991333, 2.2073926491623723, 1.5618823846934529, -1.5505172071784197, 0.3875818791686063, -2.222355947164445, -1.4145120739090182, -0.15318343984804228, 2.859157014405736, -0.0074346744535533915, -0.024109349497899224, -0.0592349656744009, -0.6220276015528943, 0.014545231712325357, -2.9650417139845455, 1.4730050285603529]
5;-1.203566229430293;74.92646419996163;[-0.024884090355386856, 0.16428701974905513, -0.3797681503172381, 0.31702431167069145, 0.024273513261728663, -2.9105793178673247, 0.510949085369202, -1.000823640230033, -2.989190455039727, -1.0943469714886351, -2.033402162666645, -2.1791037551158303, -2.6365615721652276, 2.8724384595629946, 1.4259962261678591, -1.3529667631467885]
6;-1.2005772811389785;74.44799529999727;[-0.2691004124729921, -0.3225814568190488, -1.2185279649834706, 1.573853191985604, 0.6651611153252053, 0.3795404108135627, -0.2458599336886076, 2.994443862958927, -0.7931702415262829, 0.7870695464811082, -2.239742626060523, 0.1615575407884351, 1.2530455015335384, 3.051445298324431, 2.390281462815852, 1.3594668260740255]
7;-1.2105819531779158;75.07674610003596;[0.2984457486554346, -0.6729167864957182, -0.13072664676010248, -1.5668147762117217, -2.3973575850778825, 0.15936308104009678, -3.1281916967332357, -1.2323355119610626, -1.3330561391322866, 1.1659241655325907, 1.5644270718268958, 1.2972454949460621, -0.45781911315540436, -0.8098823930716241, -1.7887541521424104, 0.9432660032632274]
8;-1.2037104466202637;74.68518369999947;[2.6467308944241, 2.359593969826334, 0.40512584445526834, -1.3041793929297971, 0.5399711196470331, 1.9363212459644732, 1.86221999290132, 1.9775356593610276, -0.21042928756696444, 2.6052083313595915, 1.203041706604857, -2.066365639059215, 0.33371889661792853, -2.4704243164764077, -1.3048407868106597, 2.179755069894197]
9;-1.2049211452300954;74.47661519999383;[0.04419389073864899, -0.09716499199333484, 0.059161579295783806, 1.3339352022098172, -2.473730448585215, -0.8737892911822929, -1.7444642220672248, -2.505484193488065, 0.6867951096701033, -1.975640705405494, 0.4419610087671759, 2.9498970020782664, -0.06245178987014999, 0.1444077379131543, 1.831440854409693, -1.1685851696466585]
10;-1.1923149502220451;74.59471929998836;[-1.9922311948443137, -0.26713060586738013, 1.5822718638538378, -1.5658486561063403, -0.4588520175307922, -1.1163695034320935, 3.126758823446311, 2.0668465350563023, 0.10679236349856458, -1.2157722373525646, -0.5824981496459087, -0.5535477152527055, 2.7107287304589516, -0.0041066491874417466, 1.360537820943465, -2.7376816744643024]
