run;final_energy;time;best_position
1;-1.6346966480000003;25.54458169999998;[-0.4283451151024593, 2.7275694401035473, -1.3126720391971547, 0.6701632447411847, -3.0018150074044914, -0.5236087928207804, -1.7334366189235675, -0.8557340169137668, 2.972489148956395, 2.6056895060156666, 1.782000089330607, 2.542300840120433, -0.18605881027417848, -0.34314266058393583, 2.2851779385552327, -2.005508956545217]
2;-1.6371247;25.42804110000725;[-2.1681321393750306, -0.5912779588928343, 2.0402850601518985, -2.1097511835716087, 1.2025624756202973, -1.1296526731418082, -0.6655047295254795, 0.4180213856753232, 2.6875677001798524, -0.19584429854892038, -0.6012170648739077, -2.1769009251273226, 0.5137430521721078, -2.4762159209824373, 1.9026189598581693, 1.2062270409248121]
3;-1.662234988;25.37689390000014;[-2.8726561642312123, -1.2605022163475539, -2.743257061994475, 1.47338698938231, 0.184283259043736, 0.5696513057691943, -2.4042923260347693, 1.3348901702008114, 2.656274592452748, 0.39402152124792567, -1.6523909696990229, -1.8796979645046896, 0.5333023814941842, 1.5482626195435447, -1.4850624749927637, -1.410067859194783]
4;-1.55733922;25.097592700010864;[2.9663679891884955, -0.036361776863769624, -3.061314610122437, 0.4732270366271023, -0.19707962598752538, -2.6035058442870485, -2.514528261468566, 1.3603037620046479, -2.210522182611022, -0.09071270444839774, -1.1127431790804145, -0.2793679345868534, 0.1861819572042931, 0.18408478560130614, -1.7297546137954078, 1.43495148201717]
5;-1.6379793960000002;25.394701400000486;[-2.217594019911026, -1.9918838911649948, 2.2858604529463946, 1.3539891454321626, -2.3254792567322515, 0.4003464508023793, -1.4039935703150939, -0.38799932293924133, -3.1387794957765056, 1.0321793563981512, 1.3810691078739534, 0.9571434164765984, 2.793581779211358, 1.501764272586537, 2.4932567705391495, 0.6218406549661637]
6;-1.6668080240000003;25.304369700010284;[-2.6336348539575662, -1.840393076215697, -0.18500901945471737, 1.4602321616513123, 0.4952980364244417, -0.6024686160124624, 0.7074708890182535, -0.2997100298905022, 1.1868851140560102, 0.4485386698568834, 1.5327929665484001, -0.41379524574350235, -2.071629785656211, 1.4663199694080884, -1.5856685986236074, 1.7553953395699207]
7;-1.645801356;25.690024099996663;[-0.1918151818746323, -0.23246847660945003, 2.9020085366567265, -0.7782339804885283, -0.9505586913099022, 2.5430385548027665, 1.0922111947831157, 1.3344829818940616, 0.9915001591692443, -1.558396792661261, 0.3283755349180084, 2.830865327950951, -0.8393292213425996, 0.454944472663918, 1.6332254024413357, 2.0818763881689026]
8;-1.63590138;25.237935299999663;[0.15358748969428415, -0.8285539623863767, -1.5600156879692415, 1.7850514871295733, -2.428924183709458, 0.15792699484420636, 3.0014252789928637, -1.696041964586205, -0.4982851568092328, -2.2358602547881996, -1.6937847891045552, -1.9164100305058487, -2.6790775748149365, 0.19177546035368387, 1.7233663041846619, 0.05762508886198603]
9;-1.6822463879999998;25.56858089999878;[0.18172505786112758, -0.9418482699797477, -1.1665941271460973, 1.5529938618292825, -2.757626901142044, -0.4728255590373118, 0.83024540869022, -0.5248561232163547, 2.4015010815310482, -1.9516288713229821, -2.0162168417414827, 2.70433344304098, 0.7243808777448968, 1.5378235096983381, -1.8527718883583826, -1.2850306402149756]
10;-1.63843442;25.207370200005244;[1.0125454461099785, -2.0997313648111975, 1.743545207914904, 1.532523409535302, -0.39869749686646827, -0.5306103733173457, -2.9364764884045464, 2.3964740291929267, 1.666501760339914, 1.115108036652515, 1.8667682383490307, 2.088376467939665, 2.3493753065063903, 3.118854993245307, -0.8595331181889048, 0.1991560585134886]
11;-1.581560456;25.19297469999583;[0.3038877693614346, 1.8934268658109357, 1.8719329791972017, -1.373376187854664, -0.7683270423805642, -1.6415179839933363, 0.8141527068061185, -3.061482871972358, -1.9770511287954813, -1.727501204726003, 2.180742120098934, 0.569658177659301, -1.9710369554716762, -1.819359865694901, 2.3053055755158685, 0.8089841791958259]
12;-1.669549808;25.44328520000272;[0.06908369345940635, -2.2156830126456075, 1.4523354971387459, 1.2811564875513648, 0.12038870047774708, -0.6433120343563563, 1.7748366976182197, 0.18072126543859257, 0.015080772994353175, 0.464570004294659, 1.4813189569196634, -0.2689530681644734, 0.09314788437873212, -0.45871842723241096, 1.1289613237122023, 1.0893019801935004]
13;-1.659084988;25.328410200003418;[-0.3745960243488695, 2.5954402167376722, -1.331414671177369, -1.6129293906561326, 1.4595444317214366, -1.0471544050773511, 2.941791753069186, -0.09386915374164806, 1.048773583443558, 1.1505747868978142, 3.1123313029810156, 0.127919309584263, 1.8613496053477032, 0.8023351906855551, 1.5262036625891042, -1.8024535748917339]
14;-1.660670676;25.538538099994184;[1.189493236016033, 2.289197106210514, -2.097604872074569, -1.3013001516342044, -1.474128974368086, -1.2661966590413063, 1.3523360143239085, 2.017918252449544, -0.6394373015529746, 2.1545705564888875, -1.7515791378970555, -1.8998827936206262, -1.4775575425815861, 1.7985852877177981, 1.8772290938206506, -2.015724386876737]
15;-1.6647134559999999;25.46411210000224;[-0.07815847458730518, 0.3397197213065355, -0.0806294839020234, 0.6403444508963352, 0.09465034133684602, -1.6374117065421074, 2.003559772337467, -1.9546315263073049, 0.29349667397991697, -0.2415496327462585, 0.33307155408571454, 0.35999702210703655, 0.3211209089880622, 1.369857970098514, 1.1865448847947917, -1.3139110134633267]
16;-1.6770629320000001;25.470622499997262;[0.18293932178947925, 0.6396506663303323, 2.4786918236074698, -1.9087014584190105, -0.41904304039009377, -0.7839844228337678, -0.5919877300187038, 0.33311810777175666, 2.3157775930978364, -0.9108698648113016, 1.7018701741204119, 0.6735378111295294, 2.424681395173301, 1.3373839860658574, 1.9757853111972574, -1.804781228748395]
17;-1.655602824;25.6638682000048;[-1.8592692584339523, 1.3260520350013572, -1.4956300491465924, -2.2955190323839214, -1.4814486311517767, -1.5618814486132164, -0.015947284676117057, -0.9345363524353312, 0.14361579827344295, 0.34903195632293116, -3.0081597373815185, 0.759442114590617, -2.964216188313102, 0.25362940330741957, -1.6604160122169902, -0.6770979892587152]
18;-1.6352328480000002;25.16828600000008;[2.1950513316030307, -0.2818350647953958, 1.7394821998101744, 1.5456061624648667, -2.223037682617513, 2.1337282401518234, -0.556290612947707, -0.011957254548026874, 0.8524778235120118, -1.2504391271008122, 1.5712021609966316, -1.3804520058005618, 1.1737668290617158, -0.9319525172601044, 3.0919956142699085, -3.045135920574035]
19;-1.622246916;25.67950230000133;[0.8789913361082586, 2.271659920765666, 1.1962078017761515, 1.6227193282954584, 1.429555150965383, -0.06196762019113633, 2.774822104933664, 1.6389273791217285, -2.074424494249215, -1.1420453819039902, -0.7128613910600232, -0.7024708989209336, 0.7490015698915875, -0.1402844528133005, -1.2948651407990597, 3.026928239846286]
20;-1.6604373360000002;25.349011600002996;[-2.392886731427267, 0.7502694220684352, -1.4257189182047172, 1.4793200655853846, 2.321154331359325, -0.11646089786318115, 1.9911087122503401, -0.4229380575606214, 2.7337575815735464, 1.3711658586619517, -1.3893196938016132, -0.8405837951088113, 2.2424756019994785, -1.1881000377067263, 0.7143072831547665, 0.7742813975638208]
21;-1.623672756;25.09043229999952;[-1.2401323124733543, -0.23317091232202358, 1.8929476955207933, 0.12000522807824332, 1.032101273588184, -1.0102382535770005, 1.2156997579859512, 2.443476222406632, 1.6453798531698167, -0.00393824088456185, -0.5559391868353396, 2.245996302277754, 0.01603897101583529, 2.8527064310578005, 1.5198693209060554, 0.3723366138285047]
22;-1.610201312;25.048537800001213;[1.5974568979387795, 0.6191924183140447, 1.7532321676266482, -0.6609584023144786, -1.7852902053144009, 1.2700637918536977, 1.2064447205055755, 0.637789323345662, 0.8573516398090435, 2.5584622002849553, -0.635657576005193, -2.040582958896131, -0.6065791565954193, -2.76672307975522, 1.541078762221181, 1.960531944217399]
23;-1.6179548600000002;25.05298059999768;[3.0104852546400798, -3.098075871410623, 0.07526375166126709, -0.5523104222237052, -0.9592173427331101, -1.9891308750916483, -1.3135180242367095, 1.8148031498531072, 2.152196309094599, 1.921306504082219, 1.3022734384776165, 1.5849051024761325, 0.4504570721830463, 0.03920935606143816, 0.39979242611549637, -2.8904716412635003]
24;-1.630229236;25.449124999999185;[-2.8559079412030055, 1.1974566267207312, 2.166026140969284, -2.4339920939013453, 2.776415905552266, -1.917648441857096, 0.9096715227142322, -1.1986380232125842, 0.09675419091002668, -0.2896640401258934, -2.9960098666059816, 0.8887204145873948, -0.011728838205996794, -2.7792056127299345, 0.9319804131859257, -2.075840807464081]
25;-1.629046196;25.523678600002313;[-1.6684150870723808, -0.32969790025939494, 0.7409898103084198, 1.6095823192002356, -1.7114144298882736, -1.3838588306452129, 1.8255490527467177, 1.7496589373153881, 1.7803710223626918, 1.645159860722293, 0.8829934439245726, -1.9668416070426116, 3.1341134375810276, -0.6681148862664963, 0.9544611711650308, 1.4115319533622506]
26;-1.651154032;25.41975050000474;[-2.911539808010845, 0.2487560030935696, -0.14669635471033482, -1.2704140901857954, -0.7844552119469128, -0.036536704891650285, -3.127949192415146, 0.20929885375556712, 1.4742024957312685, 1.1173130875909543, -1.6877823411429094, 0.3062478527566954, 1.6515031425546276, -1.5262074014772156, 0.743792218005829, -1.2426902689338075]
27;-1.6565685719999999;25.346344899997348;[-1.0324292953749468, 1.1747498372813299, -1.5195381799272918, -1.5798870232198947, -0.7780395051601454, 1.2221637977715165, 2.7985027763345087, 0.035848865067708235, -1.9897489010978378, 1.514175767256388, -2.1132373884762177, -0.4628524227877424, 1.4371974451435383, 0.37042209808960314, 0.5350075602456537, -2.0700550972522627]
28;-1.655105024;25.761595899995882;[0.18822476058596305, -1.6333737321226556, 1.6909748522246222, -1.481831453901049, 0.07477216096428219, 1.0325438868454988, 1.2645917819138006, -1.2014364115163336, -0.212337927139421, 2.4609877062138548, -1.2003507999279663, -1.7926047566589907, 0.2596701660325742, -0.8444368537695484, -1.0761892944761327, 2.28084758805244]
29;-1.660950228;24.83019380000769;[2.039660037614075, 1.3996308199608727, 1.4261221836232885, 1.6309985803061355, 2.581102056858147, -0.7805735118031132, -2.81504563102275, -0.24637597722825566, 1.5699806121533433, -1.7556330966248934, 0.8464570123895614, -0.09903385454284708, 0.580303602024232, -0.6010315875726686, -0.7616887861388699, 1.5408514196811698]
30;-1.673846516;24.678058499994222;[0.07762537694222704, 2.224464585642954, 1.7207363952246588, -1.5893349842433857, -0.5432245378891793, 0.47335226182525325, 0.24501302992660579, -0.49018057073733345, 1.0908940701674847, 1.6895373472178905, -0.5569608529580714, -0.36218873241249483, 1.013825011667426, -2.3286616814897325, -1.69464234696524, -1.1989735731322857]
31;-1.601792164;24.84841890000098;[1.2465721388642095, 0.5404834252330013, -0.7939764454507885, -1.4569059251836887, 0.8908796738723801, 2.968455016655809, -2.9467400795843464, -2.2132022466264356, -1.5071518903914853, -0.48508003275307354, -1.8752810138105152, 1.061807596457573, 0.8555867438762581, -0.7098220263802162, 2.0141891899608027, 0.3815178589900139]
32;-1.651197536;25.07124369998928;[2.030171010733504, -0.25489867029111224, 1.672543773195052, 1.391791013025843, 1.7999666671883396, -1.3950680168230376, -2.301220969781265, 0.2804524161852511, 1.195661467770691, -0.2318641747431256, 2.6545612966696774, -0.5986635057452299, -0.12348652021818873, -0.24288238426946185, 0.2662123485409982, 0.6979654783383644]
33;-1.6559798879999998;25.11181589998887;[1.3962677566874602, 0.3548500795008884, 1.1132329164845851, 1.2179382412202875, -1.9510818850312734, -1.463361716013708, -1.3589069730688739, -0.6406682788964417, -2.316967708433243, 1.3703795366502316, 1.2236726464435073, 0.7861998436056776, 1.0955458617093736, 1.6666358620019732, 1.1662066842064291, 1.970650078094665]
34;-1.669457924;24.795272099989234;[-0.98843000798015, -1.1565561039498775, 1.5462471685323367, 1.25333757203789, -0.841804061151834, 1.3809417560915147, -2.4735741120538495, 0.07525130289920279, 0.2983290929439453, 2.9886569013729094, 2.2394452516326444, -0.0734134696750326, -0.14510288628818868, -0.058015205537863324, 1.272539393779617, 1.9294913707996715]
35;-1.646186836;25.09945080000034;[-1.389091012302013, -1.3715490289165946, 1.225581965478037, 0.5998508079003715, -1.3793780887977722, -1.4894780679185597, 1.045667929266573, 0.5906698347749195, -0.22539338306074574, -0.2168568905954631, 2.00762138438966, 0.3455183164400166, 0.01716010285693681, -0.1012565893959052, 2.701674651285524, 0.12432621575179548]
36;-1.66833936;24.92388899999787;[2.172724033142293, 2.3687030798455826, -1.534080029008453, 1.7229059619879497, -1.1019226570256757, 0.8321111131417704, 3.09009914226988, -0.14813034660504254, -1.133658290741896, -0.39503148721894066, -0.13237665200491922, -2.9497314217796324, -1.5274150273970897, -2.911162527525904, -1.5956729240564154, -1.3937283798876612]
37;-1.644860756;24.957873499995912;[0.05249966761655944, -1.0462211363109661, 1.9932559326897827, -1.4179047946181593, -2.4747311528755644, 0.044944635211224604, 0.14556049053540976, 0.7154883894165649, -2.680439993993645, 0.8708061983110547, -1.576660987368411, -1.1071267742341186, 0.4217884900379669, -0.19203385691512143, 0.7485198575733722, -2.573837254021946]
38;-1.6616760959999999;24.866994399999385;[2.996855306140855, -0.08274865852728741, 2.5003076108105153, 1.5298858721229367, 2.94472046564207, -2.9114142337874744, -0.3747613226839208, -1.059555662669756, 0.7288755764493282, -2.049071928260919, -1.9372656406221325, -2.1861079755955917, 0.8518743229798447, 1.516013022956864, 1.6644800110035751, -1.976753819753861]
39;-1.632271644;25.246410699997796;[0.3765857906189809, 0.22203913940502007, -1.0022447977425375, -2.373296397050623, 0.03700215104765414, 0.3746140567164229, -2.208514436340739, -1.6943592522885447, 0.24486297763593612, -0.06362096415609164, 2.030472092496807, -1.4891673763417412, 0.1454562440646483, -2.9378015347322988, 2.0969442568125753, 2.4658022612300616]
40;-1.646455132;25.16506620000291;[-1.8701581064467234, 0.5316734367553653, 1.7673339125428704, 1.7048584395658342, 2.89216590356998, -2.620859220234497, -0.41106433019069355, 2.335451659059995, -1.8268175021190973, 0.6631113895874545, -0.9228199526141436, -2.5695651281587235, 2.7762729324385305, -0.25268714982427065, -1.769948945612059, 0.7910373584924812]
41;-1.6706712919999998;24.992683699994814;[-1.4293908100562522, 0.384176362079669, -1.603656282385393, 1.371365571907706, -1.8557561204733026, 1.3112814105800759, -1.8606909596594001, -1.7802410469645873, 1.983660412773264, 0.762641171913435, -1.903016079560459, 1.6521690420297155, -0.04381020443150829, 0.6051349418176022, -1.719504726302405, 1.8305222614973626]
42;-1.676730844;25.124212499998976;[1.003728483961602, -2.414494381390633, 1.5742949321613988, -1.5369951168075568, -1.10043585824772, 0.9971327949040916, -0.8054491013448781, 0.3222685618774279, -1.306246291033256, -1.389576220330128, -2.292086178013361, -0.3391944129154356, -0.6614215445894978, -2.004717794338538, 2.085927348958805, -1.2945624488362801]
43;-1.689405992;24.966771100007463;[-0.7845433643771642, 0.8995899391749003, 1.44636551256432, -1.5152357989308676, 0.0806464409323695, -1.5249902940700144, -0.2537653666631332, 0.23169723544374454, -1.0194965531660198, 1.4432160795952518, -0.23647096543312385, -0.07074134314478053, 1.163399224598864, 0.7627329297991494, -1.4429898157330419, -1.448335032851594]
44;-1.5737456;25.14100459999463;[0.42717164455396706, 2.4890575218946784, 0.704131747753614, 0.36029466817826394, 2.878194253211163, 0.6542391782438073, 2.206381447501805, -0.31165873298087376, -0.4006710452327038, -3.0587037884764383, -1.1118273310489686, 2.113116217424306, 3.017856215107212, 2.8633210850726405, 0.7288008873544367, -1.7998911398084048]
45;-1.659573344;25.485538399996585;[1.0849948779206704, -1.6870364859888671, -2.874938527915406, 1.5616554572675128, 1.074864203302206, 0.0037508589857768726, -0.456220636347874, 1.3379843578751203, 0.3849046722983749, 0.008157475634751776, 1.4921132942620199, -1.7395633828557646, 0.3440870070535529, 1.4681119261737479, 1.464885228591302, -0.9372476425179697]
46;-1.685156188;24.96116640001128;[2.2372583580580514, 0.3117249081955382, 1.4405095204022755, 1.3371239622006907, 0.8367946225969836, 0.6393289431149629, 0.06760150198096371, -0.19994603425630864, 1.5004725244635457, -2.1191549871194773, -0.20471163520894153, 0.282215621411805, -2.447407700154437, -2.3078539483404965, 1.624682155623736, 1.5609200236663758]
47;-1.661891156;25.026554600000964;[2.2897125900254807, 0.4875128707167855, 0.18928725442772665, -0.3387908237490418, 1.0206681656883179, -1.6274258417391354, -1.185147081951862, -1.4667910069295518, 2.019936701995725, -0.138579300006191, -2.6560581004438046, -1.247857904359671, 0.26828116940108515, -1.5506465184548364, -1.7988104569881014, 1.9641923948351252]
48;-1.6295281160000001;24.862891800003126;[0.47608831726059764, 2.2019982473620248, -1.9093062764444186, -0.42170912069485356, -0.45505175020730837, 2.2792574013793647, 1.7584061492246708, -0.6263790733138688, -0.32398270255796646, 0.08461699515876919, -1.9800379976970348, -0.34502009679447454, 0.30836752178848226, 2.9622578665878816, -1.266833101956968, -0.5116132624778693]
