run;final_energy;time;best_position
1;-1.6630252131713352;2.1401591999892844;[-0.07417355706396123, -0.07934752713579885, 0.1446440495505259, 1.7226610735617713, 2.325622607003014, 0.3356104095729133, -0.810124710293084, 0.31547276180111705, 1.4080930044442708, 1.44741930757867, 1.161401495959704, 0.5390143076139147, -1.935607232319359, 1.090103168938576, -0.9160140459261874, 2.0129955097190884]
2;-1.652807024714133;2.1155702999967616;[0.36706129049910574, -0.9765751939496847, 0.15346229839942138, 1.8388817785191511, 0.39408821144290274, 1.5590466236122857, 1.2316811506746888, -0.09295797982830356, -0.26604544257064244, 0.21042310826024702, -0.9112352223828246, -0.12640369709849253, 0.07154732118047846, 1.4989647773911647, 1.8466417182538848, 1.625121290095918]
3;-1.6697951601548258;2.082269799997448;[2.9514754598735244, -1.9695502444279631, 1.4250258764927137, 1.381318436197228, -0.19619072907213964, 1.0911612000377486, 0.581104537118537, -2.7501093804319927, -3.0765819718069807, 0.8951498490014114, -0.300977690718748, -0.321817062613003, -0.000972717612188756, 0.8940687819437887, 1.2846114760274912, -1.4819326372929598]
4;-1.6033998906795552;2.008646400005091;[3.117457120056523, 0.04261581547103166, -3.060439049176235, 0.11822366558379294, 0.4049906966731811, 2.981901125203386, -2.232887563764785, 1.586052549710681, -2.9697747215755452, 0.15618693385981253, -0.6786764946925765, -0.22285388146319995, 0.10083499216344682, 0.004080121147253646, -1.8035899434889247, 1.556524847431172]
5;-1.6751561933127441;2.1401589999877615;[1.9011473290494507, 1.9075337356503708, -2.236092315926498, -1.7414790498495143, 1.2370640679564158, -1.4728014270917664, 1.883155084299796, 0.13352110123220973, -1.5400545096648606, 0.8674973908000867, -1.2765918571297676, 0.08652408873829343, -1.2795057568274442, 1.602478189735968, -1.6307619053887312, -1.5786688699543405]
6;-1.6573794793788552;2.0234726000053342;[-2.9152120995006223, -2.4101069347597055, 1.4424528028933068, 1.5916871121792173, 0.9267002771262121, -0.9614506821654878, -1.7272878322493996, -0.4110114789030126, 0.8085827942815995, -1.1854923608560928, 1.1863940901962593, 1.1699572673651346, 3.1365023625112567, -1.2134799434266468, 0.38161344212830617, 2.6727424794991883]
7;-1.679963732364298;1.960291800001869;[-0.7159435088299362, 0.33882009235497357, -1.4621811986216495, -1.566324355677726, -1.9346480680192744, 2.5837302580475985, -3.0690744689832257, -2.890380900892341, 0.8946710586291751, 0.04320932143602274, -3.0369498544734013, 0.04640297118264636, -1.5037121216495613, -0.6823668220396621, 1.652462009356757, 1.400216971736456]
8;-1.6523840456896843;1.9725487000105204;[0.04689308501218292, -1.4900336497602735, -0.8935785785728361, 1.6734006129111316, -3.092890082280958, -0.7125706656161577, 2.8890846558783707, -2.893658228193358, -0.035790089513590306, 1.3706140845107413, 0.37220098763050746, -0.1429092101975793, -3.122668051037418, 2.3208517968425735, 2.487600312256423, -1.6138699828902903]
9;-1.6640545312300343;1.9652685000037309;[-1.196352894354805, 2.7806226204370637, 1.5829023670820463, -1.726999106906882, 0.6349306812296867, 0.6249262344986741, 2.5158911812210816, -0.2080341369595322, 1.0758528351112746, -0.537054514848248, -2.670665226300534, 0.03029757178997272, -0.10329311002661212, 0.5371437236591654, -1.4038540300670244, -1.3715142641534204]
10;-1.6686107063961535;1.948305400001118;[-1.5510387185095638, 0.41075563472677246, 1.5638334044647895, 1.6459335772517294, -0.6357281378634045, -2.611352340408826, -0.41320385458101505, 2.8331331684571524, 1.2650079011266042, -1.1380201907084406, -2.6010479143051857, -0.18294989976820464, -3.045558899443597, 2.281757621752467, -1.369046734211036, -1.7560706109330093]
11;-1.6185848314483497;2.0166293999936897;[-0.10044199795803044, -2.254429383111809, -1.7023121927746927, -1.5158221295872838, -0.09012290660945954, 1.097937312949222, -1.4466577777368677, -1.7516647444052078, -0.07133006977198031, -3.03088855393342, 0.05115072793026876, 0.0598137343301306, 0.005771472678969047, 3.10383446501306, 0.03214782562345242, 0.225011631903409]
12;-1.6644384382828359;1.9373004000080982;[0.19800076936925848, 1.4397835849267224, 1.7364034507984272, 1.1823302418433883, -0.2035848511943792, 1.7009949457380333, -1.2943454290859526, -0.3681901602187816, 0.012351919106390774, -0.7036241297386958, 1.993854299003445, -0.4859519727544437, 0.014066220096016213, -0.8377206271472817, -1.5943930140532099, 1.4315986692998504]
13;-1.6498928293003443;1.9684424000006402;[-0.30868819095619493, 0.09215439696908545, -1.6935934747759516, -1.5766033363301541, -0.672990753761459, 1.4396368534018755, -2.8674143356307593, 2.6682859109957935, 0.484297054686456, -1.9858652318288652, -2.3311032333016204, -0.4048902270491319, 0.41643928036848976, 0.5304151907458285, 2.3785501617510914, 2.1156842467676578]
14;-1.6458613117274339;1.9654510999971535;[1.2751309983916626, 2.668248757553476, -2.286832010185528, -1.6493268134002599, -1.394085663287879, -0.6057071696115459, 1.2566576732722226, 2.410583752685845, 0.03922553604400836, 2.3870656488053763, -1.6846642203655187, -2.1512436424569854, -1.044990647336605, 1.9303811252345717, 2.2125489414065758, -2.365684170734679]
15;-1.6574626419880034;1.9849857000081101;[-0.011057205954789762, 0.16583171920566198, 0.24723785231097306, 0.8594594837846818, -0.0010191770622567375, -0.5513648471680241, 2.830052532962994, -1.9084546051338909, -0.001763434097583172, -0.23403237992478187, 0.625976920931202, 0.7597159744056139, -0.019820275593943837, 2.533915208962016, 0.7678350360372335, -1.2312506552055293]
16;-1.6568221725490069;2.0290680000034627;[0.2111594990995309, 0.3221859833117655, 2.6016746855494706, -1.8951133907087687, -0.4753907876523087, -0.5522187710225297, 0.2656292933195541, -0.7005368169983779, 2.6067627701236367, -0.9220436034249251, 1.9855867431110097, -0.3661020823800807, 2.7033389825444782, 0.8782853779771216, 2.199750621249649, -1.1503372772834408]
17;-1.670284683579461;1.9480880000046454;[-2.174514089428915, 1.822649928685391, -1.5443373284814492, -1.5950219541219928, 2.1902669860271793, -1.695834400017535, -1.7870098066728581, 1.507300991976284, 0.19370983233635908, -1.5388658807374769, -1.5342704097639346, 1.5051098904855102, -0.39673170821970727, 1.5681640890560766, -1.571642597338813, -1.5845820565343383]
18;-1.5920459039257568;1.93869180000911;[0.020866987819737393, 2.221371133829132, 1.4886999956554865, 1.199391688783411, -0.4332801142919074, -0.15593420494060783, -3.000400284132481, 0.024579515754478365, -2.7651518351838176, -1.0079322015947705, 1.4518282572982937, -0.8264755385707292, 2.8903402943669985, -2.785497015067341, -3.015659005245048, 2.238101427846563]
19;-1.674607095509368;2.09328899999673;[0.31671195551500686, 2.750117186942374, 1.4973154998953015, 1.557914494037262, 1.8664941716083847, -0.05894617484201703, 3.1283123699934183, 0.3039189660365187, -0.9894896216618041, -0.604645306632746, -0.22733016514572268, -0.08314110094617622, 1.5226388639664377, 0.45996671597722516, -1.7714459152883453, 1.8309870167791367]
20;-1.6600240925281262;1.977344400002039;[1.2870984910282965, -1.7771064626442141, 2.303168267516126, 0.8532653911002237, 1.31922250212126, 1.6141835501007353, 1.3150940754395615, 0.9166936563794916, 0.03289883692409301, -0.9524888074625788, -0.8596537153175552, 1.0582706105869644, -0.15846995999923097, -1.4815267188090915, 1.654545230524234, 1.4161242536738499]
