run;final_energy;time;best_position
1;-1.721485421333334;32.5510004000098;[0.8566838661827774, -0.12338084628469392, 1.8921303465236914, 1.5584168336271151, -0.9026431384969595, 0.607128221193654, 0.17708183573693947, 2.9466027385052023, -0.02871324877547643, 2.0932551413589158, 1.6626655524280203, 2.510871043716085, -0.6805326686953816, -0.6270006753127442, -0.2375809814861345, 0.8629810093143169]
2;-1.7341368053333341;32.59010010000202;[1.9126183277661006, -0.20261460921503716, -0.3780865368501938, 1.1756307839596154, 1.1452660601153077, -2.4857652860182986, 2.1808218291543353, 0.027546790482580796, 2.122032444230191, -0.47686681593321767, 1.5285307631141514, -1.799588564596965, 1.080366447879424, -1.616447250773069, -0.021108446942364356, -0.21746501043078048]
3;-1.7674853480000015;31.97827089999919;[-1.4362686650411054, -0.1290700917291283, 1.504554943827923, 0.2061507318743021, 0.24191152812383931, -0.19278900153392353, -0.9315222162589865, 1.46594104857577, 1.2829731018609554, 2.9956385712033002, 1.7456966084579326, -0.3808860220834789, 0.484742947345278, 0.14977302724288544, 0.7564177284032407, 2.8122476845281366]
4;-1.7753867640000005;31.897615900001256;[-0.17530596043854096, -1.749697136558411, -1.7913627918295574, -1.4626485343696833, -1.3453890090964995, 1.8180133187387542, -0.2881024980455007, -1.162846637060113, 2.733829258970337, 2.6694816607519165, -1.893146467065813, -1.0590652304779091, 1.9063439564826945, -0.3394162700484413, -1.8973243759576075, -0.25156180738468636]
5;-1.7549438866666676;31.77082390000578;[0.3744498125996625, 2.796314444214234, 2.1560757283561225, -1.0324545640978955, -0.5325780212250701, -0.5262801054812396, 0.019651145719670193, -1.8056560297230708, 0.12266684553765739, 1.7995183253870692, 1.843734778085829, -1.2280816465045725, 0.4532241985293606, 2.3363715019023186, 1.6836185720446588, -2.4542461004297444]
6;-1.798973046666667;31.604474000021582;[0.6657133469087211, 1.6195230240336276, -1.5847904032032762, -1.8519558877542086, -1.028046216833884, 2.032919359364673, 1.551589280772907, -0.29552235329665866, -2.1037545835600207, 1.2700785057175574, 1.2691092449267094, -0.42116785319981576, 2.243287623826829, -1.4774259606974494, 2.112925919733879, -1.1732588276847649]
7;-1.7479309253333342;31.483754000015324;[0.7972918492209442, -2.5183394537426222, -1.5808767299250848, -1.0508160024369428, -2.062402794917126, 2.4351393638093892, -1.862635572440562, -2.6928958196024495, 0.5579659982731742, -1.4647574305322086, 1.130465589811961, -1.9712881611228839, 2.5437711530997014, -1.2800940880785905, 0.3975047634652067, -0.27170096456015447]
8;-1.7478579013333342;31.82755210000323;[-2.267007321245438, -1.4093609716837812, 2.901882956619902, -1.9007303798367632, 1.341703090118731, 0.5142887594453827, 0.8747956562400168, 0.2622895871985169, -2.5737593796708893, -1.2295834738990328, 2.8879642973070503, -1.2068814865011332, 5.061158184327397e-05, -1.6902603357686932, 0.14920354144235315, -2.9659059155908594]
9;-1.7668471133333346;31.564235700003337;[-1.0907849463230965, -0.8368609628525339, 2.329398850322745, 1.8462670114153896, -1.2025821580863372, -1.1935306879195378, 1.4472100273742665, 3.0711312277327014, 0.3778457045477204, 2.3138732281400944, 1.7506659497577832, 0.14438980499370535, 1.1427584283987438, -1.5137065326643457, -1.844443444634055, -1.5797048510756302]
10;-1.7627664653333344;31.85976269998355;[3.026623735666493, -2.925524824818847, -2.8477468203085894, 0.37267319503692065, -3.012247779152771, -1.4552530061478337, -0.9185927310083555, 2.3941116554069186, 0.09166232395374285, 0.8564251389447843, -0.6464208896775507, 1.5062901379839593, -0.06455927753132329, 2.5222937732957735, -0.47713499251434843, -0.24039261304855764]
11;-1.7067236146666676;31.774489000003086;[-1.5454440975379071, -2.477158081087047, -1.9628950867651134, -0.7705505003548518, -0.6944729711299837, 0.3978978713954966, -1.935753337533733, -2.7263130176157646, -1.1484285354068444, 0.5352776344473162, -0.08410174777536783, 0.8032599086529286, 0.1596600337509515, 0.5880115296913222, 2.647460995654094, 0.7712204228538275]
12;-1.7550224653333337;32.119489300006535;[-1.8138747620403028, -0.19695262768575228, 1.4109556054570334, 1.2453401345220998, -0.892334262165948, 0.8058003492827992, 1.3514969959530294, 0.8647035815498105, 1.0373210189502347, 2.0380007979819883, 2.321323154223121, 0.5935166856658896, 0.8198370897256337, -0.9060223026903333, -1.2879495518069553, 1.697644732227574]
13;-1.7335021640000001;31.965194699994754;[-2.3209852044765813, 0.5960967527131458, 1.1934214832471328, -1.211624750464397, 0.615219670361391, 3.1068129141490246, 1.1532397129546537, 0.34545209940210464, -2.092510984661989, 0.42913711965453594, 0.08260999329804797, -2.7123593407770015, 0.7564992343026824, 0.33778983158268483, 2.384038033202401, 1.3377421064774975]
14;-1.7141225066666674;31.94153969999752;[0.19210646120903174, 0.1759426909760231, -0.32368383280480995, 0.06911086766130525, 0.053522322453475546, -0.9414527958694281, -2.3241464408136907, -1.709323751482754, -0.8410683132372228, -1.942557465669284, -0.950924414841086, -3.06890204217129, -0.9704347588343749, -1.549133494067307, 2.0326671384413553, 1.2458230798145813]
15;-1.7503611480000003;31.913545699993847;[-0.15428551466232987, -2.939400628646862, -0.09389758723358499, 1.4750248841568059, 0.41073686224054384, 1.3889257595021363, -2.935459992304407, -2.93002337170579, 0.21923467862415702, -0.7548511263384863, -0.6666388168636903, 0.2793790695109366, 0.33519883214701807, 1.2133908615322193, 2.8873832014551386, -1.503584564989108]
16;-1.7630249080000011;31.7975878000143;[2.576506711532317, -1.2641595078208394, 1.4178880855191016, -1.3249636512973417, 0.07195446944786044, 2.3228708446869017, -0.37639850667926256, 2.811726325903691, 2.8308558216346933, 2.795312650475908, -0.7949307915437531, -3.074799321778867, -0.3985533925986564, -2.8762851964814447, 1.2985609728553502, -1.7848929223948744]
17;-1.8185694653333342;32.0485204999859;[1.0867195161692402, -2.76886897117847, 0.5825716028512309, -2.20746075496662, -1.7910237303430372, -1.4473716461883956, 1.2295205598483925, -1.1886714766739248, 2.043616936538708, -1.0626661539500306, 0.5293354604486984, -2.1184017794470993, 0.13317088307720182, -0.8252121196121989, 1.3648963956481, 1.5101697222307724]
18;-1.741310822666667;32.06656789997942;[-0.22955801310302704, -2.977818191714504, 0.5214835575872772, 1.3306766922943085, -1.5439137637560565, 1.8618928909970984, -0.38381868171124545, 0.39706133554879486, -1.4213730282590042, -1.8319550521873387, 1.0720069303779551, 0.2931122899939149, -0.7423372666800185, 0.6008418182140938, 2.8000672617012254, 1.5957573571498846]
19;-1.7350053466666675;31.91328949999297;[-2.768788783071715, -0.3290982594802325, -0.5453582031036608, -0.8487570652737011, 0.1520579512941107, -0.08208565787168931, -1.7662178139043514, -1.3197846514274103, 0.38148766208107965, 0.17031921644612646, -2.0004238433599095, -1.2657423637456526, -3.0712045633133696, 0.27918923347263114, -1.2998686054518043, 0.9459947733385787]
20;-1.752541133333334;31.80102959999931;[1.3905581287896789, -1.7420617040835962, 1.5099351325051433, 1.3910207797326732, 1.168780751928649, -1.482061530723111, 1.5862927935771722, -0.47408329991540477, -1.3748073769772753, -1.4813278604399889, -2.0067937842665033, -2.708067849115898, 1.1424681371552987, -1.56450042967366, 1.3891167959935595, -1.4472188401927906]
21;-1.6827397853333337;31.92250079999212;[-1.9253533319993714, -0.8213956272080067, -1.1466442436826216, -1.233903145638944, -0.16764373807980082, 1.0432035144392318, 2.945557088035306, 2.037229466346594, 1.1400507256062458, 0.6494555003158071, -2.374621035200352, -0.007829910779651783, 1.7352624062795758, -0.32227627024208383, 1.6840205197056122, 2.9566536872840263]
