run;final_energy;time;best_position
1;-1.7713301750727528;2.6519523999886587;[0.5612132260027871, -0.41056805380744654, 1.618415129296193, 1.6471803129581408, -0.2934773026686628, 0.5889886310197814, 0.7203957263083423, 2.7342054991000078, -0.1381957569136416, 2.2381873903747085, 1.2309970110595714, 2.7038618400003642, -0.5408752600761764, -0.8137509444090263, -1.0795553929365553, 1.3621220009363624]
2;-1.7826460779643005;2.559065499997814;[1.6094761934612372, -0.30680543905637503, 1.4346370254612575, -1.2607544333604948, -0.29913585823345734, -0.4021796727159783, -0.8847366289854426, -0.7972725732963468, -0.38549013180215397, -1.8787827008450462, -0.6712846720209433, 2.317443073815003, 1.2385334801215322, -1.4975599195359899, 1.654093597173249, 1.6249977377808547]
3;-1.7229751745979436;2.551148099999409;[-1.96464327875861, -0.467918160274472, 1.494312142601613, 0.06609696139354027, 0.40641006293015325, -0.2720502397659681, -1.1686109628714707, 1.3594975565768417, 2.0359558314977324, 3.024613152524876, 1.8263358401071503, -0.3379320969775703, 0.3556743257906785, 0.18525817934255073, 0.6657701729765115, 2.7870748202097575]
4;-1.7982199416419986;2.547769700002391;[-0.03726893652524321, -2.0798566268749643, 1.5945475322541842, 2.0455875774692966, -2.8330852079107416, -0.8551806352909654, 0.34302148419771994, -0.387932925651743, -2.260894347055439, -1.6630144992519365, -0.4223470380549914, 2.593126015625888, 0.8245447412067475, -1.0408175465821952, -1.4064161535246584, -1.778618668696645]
5;-1.7645657637319647;2.550960100008524;[0.030357200379939275, -2.707482724633992, 2.033243524363364, -0.3507404757505972, -0.15502483139687406, -0.41249984092118464, -0.5789351681759172, -3.0996680473589473, 0.09140848295736337, 2.3107810730048532, 0.27736773294827843, -1.7190607325492862, 0.3733174877043606, 2.324294997721097, 1.6691843704160299, -2.227768687543758]
6;-1.7922071130948238;2.5594972999970196;[-0.1994660365739005, 0.9073622500561411, -1.388548632372216, 2.5831130308798613, 0.1387316009549462, 0.8435561714077942, 0.8734735424690951, -0.3084627722954272, 3.0110723197215714, 0.14062246824736935, 1.9963201977101166, -0.3053094013899771, 3.137539543200182, 0.29249210302406325, 1.4544976106324121, 2.516572562559454]
7;-1.7868061502646857;2.556898099996033;[0.8278740323212475, -2.398804298208195, 0.312876950387901, 0.4995012683175726, 0.9760922595986843, 1.7058048680617723, 1.34872209846439, 1.092814687323596, 0.6523698935239608, 1.945257714478113, 1.9848260722634814, 1.4178371351871695, -0.03118561120116814, -0.10729167505712178, -2.042338899689946, 2.2487612483582815]
8;-1.782396396295176;2.5664039999974193;[-2.707774199542174, 2.303982807357583, 2.166605269294176, 1.7629167032627704, 2.6006293957343845, -0.4396086764132545, -0.8169932877719228, 0.43217985370704337, -0.12695913598344877, -0.2799595390911396, 1.6001882642408694, -1.0662388885034755, 0.29240955783578393, -2.5771135452271894, 0.3983716590219988, 0.663465316252482]
9;-1.791484393130656;2.5487408000044525;[-0.12194689866823483, 0.19039692855836687, -0.01354063103161307, -0.7433877321728257, 1.4928488855843218, -1.1117813028652082, 1.6842820860757897, -0.3588161893535675, -1.3153930320462108, -0.9003607596013419, 0.10673770438643082, 0.1659539159402632, -2.5682565948380054, 2.553910533127082, 1.767504738426532, -2.0012265739273283]
10;-1.7911090843439352;2.5522978999943007;[1.1339571966111315, 1.5026176035062466, -1.3596868382554448, 1.7353956890040036, -2.66559749527976, -0.01568514936295573, -1.5299407822569382, -0.2251229535693411, 1.6047759321828732, 0.18876192677928794, 0.23762121373984701, 1.4046008910351517, -3.093508206802314, -1.7123993852970683, 3.1166133903519473, 0.27537184892891453]
