run;final_energy;time;best_position
1;-1.8150658906290167;2.6266065999952843;[0.6776852803195808, -0.41294804771680615, 1.5774145962252373, 1.6444823124319425, -0.2952434181001844, 0.5882627669218881, 0.6995334059521636, 2.7585798534645125, -0.1901903851692417, 2.3737608026619803, 1.3536539766139075, 2.7040177059201715, -0.6974792607842675, -0.6541839354590038, -0.902329730690143, 1.3574912293137888]
2;-1.789886710080697;2.5961603000032483;[1.4529380344004172, 0.8097049493082302, -1.3435201317512657, -1.08497363635618, -0.42387335516095437, 0.9034543042699763, -1.24019479045307, 2.4247147825595654, 1.0942354074596343, 0.3258064798464604, 2.249818097308985, 1.2821516676172475, -0.23070183702611669, 2.848071183961874, 0.9173305977754751, 2.4289682421762357]
3;-1.8483441211940188;2.522188200004166;[1.0298276498556618, -2.680421986161752, -2.4052043628326523, 1.321774736406561, 1.419348275647411, 1.0752374224499732, -1.625640507923857, -2.9310379493785965, -0.8032802456531787, 2.3042399231055644, 1.1819575149689951, 2.867776754950645, -1.7441782760883373, -1.7405847714302511, 1.0892636382773127, 1.5040501897866765]
4;-1.8458879390991982;2.610532199993031;[0.037212121139652776, -2.190264758066681, 1.5539970978982982, 1.879174794946981, -2.8573078760091426, -0.7755768066559181, 0.7741359619051909, -0.6288835021072292, -1.9675255931450475, -1.5681068686432136, -0.8108481035896595, 2.4507201091984196, 0.9205873537528113, -1.3516302307995285, -1.3976906595415326, -1.7766115318097144]
5;-1.830971553022616;2.7460486000054516;[0.05469259668122772, -2.8262179716203693, 1.8859002320620668, -0.3764388476424232, -0.08761828311439546, -0.3635348725445624, -0.5042950120236025, -2.9870825978364333, 0.11124198240513383, 2.3654149468351555, 0.32898230640157733, -1.7177829884490314, 0.34138612122400946, 2.527525163638561, 1.8038682470911285, -2.233268194880706]
6;-1.7300112709192035;2.9012447999994038;[0.6401100212325197, 1.743978445207449, -1.7057034536607594, 2.4312783380638177, -0.4928579578833263, 0.39252975890047814, 1.4407061240278596, -0.27670827276434995, -3.007807025314768, 1.237251752582357, 1.8821903462849159, -1.3909193319387663, 3.1071655662607007, 1.762732472090021, -2.92695661691092, 2.8997759689061366]
7;-1.8488061743115227;2.5971426000032807;[-1.1285404502559544, -1.376209920991989, 1.7191897812876986, 1.3281580248031917, -0.7032411721357774, 0.9087212530576378, 1.515793259604008, 2.5187149131960105, 0.7098892648800197, 1.7203200325020305, 1.5786734764543988, 2.3253510270690576, -0.41021717753952824, -1.5736807369103931, -2.090503494201099, 2.020143221086844]
8;-1.8188240153299886;2.645686600008048;[-2.586822091248407, 2.249344037016739, 2.547312178076263, 2.130031595927756, 2.2897491644938643, -0.5364818601906549, -0.8211954223467406, 0.5169559025811767, 0.013638774790518227, -0.4786149818552605, 1.2290388095745772, -1.0830030304167364, 0.5491614299182626, -2.3590043498083264, 0.42624941794136406, 0.6411386656557889]
9;-1.8438212933487126;2.8828140999976313;[-0.23368897533676236, 0.22413482700714527, -0.03455703902477669, -0.7827522398107796, 1.3576713275488776, -1.121242453624443, 1.6955563777976437, -0.39627684256558426, -1.486659622318578, -0.896852706492993, 0.02078582132141582, 0.19101834288617825, -2.558780814066084, 2.488043060390641, 1.7938301846913687, -1.9397736320619907]
10;-1.7975907230558432;2.8626206000044476;[2.873226140774804, 3.109458443336921, -3.00167519771246, 0.7968798995030597, -1.378730287493302, 0.47506756518377635, -0.666580442703153, 2.4625792552403194, -2.053578363414802, 1.1211299049499992, 1.3959053135378596, 1.5946528525878865, 1.093052566242255, -0.8676447781126004, 0.12015034839480832, -0.1540382572578496]
11;-1.7805520430455455;2.5635324999893783;[2.411623260703541, -3.109992219261285, -0.9425051724107765, 0.32510075989091725, -2.255174649832734, 0.6384623494905441, -0.8049453400252209, 2.063071193810961, -1.0382843871677467, -2.5429172805075355, 1.4531352169760865, -0.620364338249932, -0.3180450194636162, -0.2702512332198288, 1.1889211440209495, 0.29890608655559436]
12;-1.841169359155453;2.587020899998606;[-2.832172000541849, -0.3680376263426859, 1.6924049288370098, -1.5799848056706487, -0.41192659717936486, -2.218721902129934, 0.12193480281636404, 0.015686346256631456, -2.5856225913507154, -1.7021745900338876, -0.48816287566925265, -0.016327323436392316, 0.11444170252199637, 0.5458958821516195, -1.1388244966851184, -1.562355076396943]
13;-1.8405588808263005;2.5514663999929326;[-2.659548732507055, -0.2630253338878843, 1.1166176996917772, -1.2801007155343889, 0.617413806124874, 2.211076638811356, 1.315782048757864, 0.5246418320352646, -2.5094347967365986, 0.38782063929125243, 0.2432962529468723, -2.615606211499414, 0.10394204397910745, 0.3400083727469152, 2.689596531910092, 1.4554100485962085]
14;-1.855903811055407;2.5795636999973794;[0.6885710072014914, 0.3116643936084307, 1.4245462285802013, 2.3712038668860353, -0.21965917599338658, -0.38591669996008715, 1.034668277878187, -1.2977181394000765, -0.6621458318191507, -0.6547964213441833, -0.6693474855622097, -1.3020693889143449, -0.04792088193098687, -2.462484303320544, 1.610137471626226, 1.9060406213008738]
15;-1.8313776265883228;2.551322799990885;[-0.040357426252257245, 2.3643572845059513, -0.041766901383371025, 1.158980603733033, -0.12480245917903465, -2.9446697191070546, -1.4302469001777123, -2.6762560727369804, 0.13466914907441296, -0.6150927860773092, -2.224022569491426, 0.8921416260808952, 0.1782307989312839, -2.459183855909726, -0.8845183554061826, -0.4683049123121754]
16;-1.824155523750878;2.5570849999930942;[2.602193856048226, -0.2660568217163535, 1.3623272639003465, -1.6054482389814102, -0.17145402174055224, 1.7931620636974444, -0.24780515352288468, 2.9479431898506494, 1.2211735478526098, -0.592209828244914, -0.2149974184214667, -3.1242802417674875, 1.7995403345335426, -1.1758264299296841, 1.6303141903915392, -1.6021855986366433]
