run;final_energy;time;best_position
1;-1.8671045747344241;1.9687784999987343;[-0.25377310887357174, 1.6619158364046251, -1.570431116085686, -1.5724458127371728, -0.20815199374377213, -1.4181603524399635, -1.2669319717552785, 0.9431894255609112, 1.6775545378422159, 1.5710073176818389, 1.4083158288827171, -2.168349542662411, 1.7153306099789685, 1.4343205389460927, -1.3085553170197135, 1.9643735346913775]
2;-1.8590030816969108;1.665161500000977;[3.069938295258206, -0.5014137849616875, -2.8220987719679935, 0.7167014831127347, -0.1354884213070422, 1.1513308694897724, 1.1695931777313167, -2.0171954796376363, -0.14690148486035026, 0.5722558428174214, 0.4035976255924596, -0.3452727568944298, -3.08806894599228, 0.5611182695548056, 0.5815295980123123, -1.4462097315411022]
3;-1.857902890299797;1.509243200009223;[-3.0502315065850785, -1.7090268707655905, 1.0771838393545696, 1.3771263823193918, 0.11202133636452061, 0.525377925503375, 1.4488485888213347, -2.807388452999483, 3.121347222092223, 0.835713889787407, -0.5363077479465974, -0.7422341170755837, 0.014620106291499013, 1.0382462559145358, 0.49691262198999864, -2.170121625427552]
4;-1.863896431673984;1.6637363000045298;[1.6410669307784005, -2.0687092829458913, 1.8122637911180526, 1.6664755569270202, 1.3385798556436477, 2.1287249923706515, -2.0575870475826226, 0.22059313856281548, -2.568995678677599, -1.5105452745190588, 2.104953438225304, 2.9774940464275463, 3.1408281295161213, -1.584253752907422, -2.1327562525815784, -1.4855832175038983]
5;-1.8618338619214119;1.5279808999912348;[-2.1239940138887183, 0.7982133375494866, -0.0396946181484128, -1.1342916803281016, 1.9569125685002309, 1.4648304099949128, -3.0540773583468264, 0.01120543710457067, 2.4310941011686964, -2.1594044677373807, -0.19259220273837974, -1.305971238698352, -3.1413253143298867, -1.5077643264101508, 2.8201330030616507, -0.32043307314391]
6;-1.8669856546404844;1.497510399989551;[-1.4298888742088345, -1.687102327426943, 0.2005643243203954, 1.3509006124040432, 1.7099964057438832, -1.537320739904107, 1.5393665687893208, -0.0006491269965112068, 1.6716296990856376, -0.1990310429062001, 1.559811081629138, 0.0007473394181389814, -1.5837098022891793, 1.5467192317410614, -1.5760328593396817, 1.5819287741949397]
7;-1.8666750576845008;1.5080670000024838;[3.1040354323640456, -3.1189108135205377, -0.02569141106618078, 2.600307234865671, -0.9004590975574609, 2.417358066960807, 1.9016949872041362, -1.9766554944085242, 0.917320140280367, -1.3097216074967581, 2.010984405059345, 2.18851747845312, -2.477579805576865, 0.35982400146732685, 2.0711413393955374, -0.4457332218199652]
8;-1.8671049226950152;1.4939630000008037;[0.00043444164256101203, -1.1156792916427394, -1.6948443933990722, 1.5720342417114468, 0.0017869419791125551, -1.3981894014283294, -2.7891564307636174, -1.3810245501280067, 0.0010116831163400342, -2.607024834697512, 2.239953009550792, 2.26165237251202, 0.001460491506607653, 0.06912487383278743, 1.516533902092771, -0.37300298414876965]
9;-1.8444795183415719;1.4863973000028636;[3.087873839663388, -0.059119976686022646, 2.8140943349595036, -0.7660907379665458, -2.2042886226600347, -2.916243742716193, -0.8210048676692261, 3.0745806914680376, 1.519081705796772, -1.3586442988734542, -0.8182827784664823, -0.7151257769328554, 1.7667515737645214, 2.3866823737640344, -1.0708120019581724, 0.8450281048313548]
10;-1.8670670383465968;1.5048009000020102;[-1.625130280313067, 0.6064422359601158, 1.5677092079307924, 1.5672153608750703, -0.5596073706632154, -2.6989460294094876, -0.5466075471703635, 2.6144016720922076, 1.1821388280275924, -1.1039594829875545, -2.2580838216666725, -0.4382351100580646, -3.0921023503663982, 2.4745476124306123, -1.1879716323818081, -2.018767581329092]
11;-1.8665908325178975;1.5211006000026828;[-0.4418032873749511, 2.54593813786383, -3.1121358305727993, -1.2339127853868561, 0.7054164962693177, -1.6943982591885711, 1.4958908452073238, 2.4173378243729395, -2.3115415736657052, -3.105039884799044, 0.6952183930672065, 0.46698928566948394, -1.7454330156502629, -1.6379616197611155, 1.530403710360571, 1.6076926527646371]
12;-1.866753891019873;1.4941048000036972;[0.24191956506264845, 0.8929219382864, 1.5029816129571545, 1.570871900440327, -0.9050464076818652, 2.8589750568056953, 0.19545333559426759, 2.058654496805307, -0.561515966362343, -1.1165147195110086, -0.9894278729732067, -2.218918145611538, 0.6732880795881275, -0.19803118722858937, -1.9488374634861845, 0.33912725669115495]
13;-1.8667321968416355;1.5072246999916388;[-1.1401298164488392, 2.7920658804584164, 1.557785652293509, 0.5533180714366019, 0.6551922610922332, -2.413056023939191, -2.0249886638741477, -2.3917426029977533, -1.0445916986938162, -2.162335188267932, -2.5803781096613863, -1.1554450991529808, -0.012195885700511777, 0.9651104178719194, 1.5346342543792666, -1.4348898588765493]
14;-1.8669893996900848;1.5152919000101974;[-2.0168334543545985, -1.221610481568249, -0.6560727794982566, -2.494080005005003, 1.1381458459370855, 1.481646830703517, 1.8032698677942713, 2.89871190232195, -2.8282310868793865, 2.4662911713120037, -1.163150043534836, 0.3417895446117436, -0.004959228036407026, -0.18110608947146511, 2.224621154457351, 0.4897140098702195]
15;-1.8533556262139854;1.5255771000083769;[-2.247626605344296, 1.9258588233569673, 1.2556690033451199, 0.017879141447690206, -0.8700729230870641, -1.4555688406550762, 2.997979974594034, -2.2230334302552066, -0.25632748381808623, -0.4506587848619379, 0.31601293377590345, 1.1836890469280998, 3.1330643944763406, 2.537277722735041, -1.6212559447113402, -2.5727724452346568]
16;-1.8668401061375846;1.4975789000018267;[0.340265044758433, 0.9962744907492063, 2.4952778224195296, -1.9805501130321945, -0.38972552306129504, -1.216512317336522, -0.6292292602944887, 0.2656649042949528, 2.8588596842517298, -0.9084077692534454, 1.9511583554955392, 0.6354892070637255, 3.038387713239808, 1.5139866806270001, 2.1228994103273973, -1.9284005966233653]
17;-1.8670906992888348;1.5207848999998532;[-2.2939739185589856, 1.9074566143071268, -0.399922319215674, -1.7804588305729279, 2.2664663326971892, -1.6444210441114249, -1.6317837587243067, 1.5483324891643493, 0.19368807371347296, -0.3988406185872013, -1.3494647799621788, 1.503274326374159, -0.4488469861470299, 1.5630444377076627, -1.5678600833873135, -1.5263437150671852]
18;-1.8642120443794246;1.4989392999996198;[2.100558816856841, -0.5314673293744439, 1.5279287699924788, 1.5580839680387815, 0.6283296089116139, 2.2753579536694613, 0.044801362189690774, 1.3794520679308295, 1.134591937566828, -1.9695824772002808, 1.4731007616540337, -1.3698531140012302, 1.475234086783888, 3.0287486954625775, 1.3890604848293382, 0.08656490006211293]
19;-1.8669558420277654;1.5479985999991186;[1.084830806248295, 2.181006147075758, 1.5696236782478836, 1.5771045317394927, 0.5228897500469833, 0.4182809570008703, -3.0998198530784595, 2.1279846373996376, -1.2757460547345165, -0.6507425501419153, 0.154791522413936, 0.12163861975924739, 0.7370510577766947, -0.14598929944518169, -1.6783000570542, -2.57192836669954]
20;-1.8401701530318715;1.5038733999972465;[3.0360057233262676, -0.0389956319559297, -0.2864058938478804, 0.344243038402678, -1.5083078547551287, 2.353818054394938, 1.405418669003188, -1.8160640184716856, 1.7769394250993447, 1.403170471079184, 1.5485482407152134, 1.7018272671936936, -0.7603026953409193, -0.05602413629702552, 0.6113528831455546, -3.077810001821262]
21;-1.866918478938731;1.4935789000010118;[-2.2153056745637087, 1.346767558101619, -1.7501678648793897, -1.6123339585047542, -0.8587504038916536, 2.0841307474456165, 0.8892685603748021, 2.6513468285816773, 2.9441136256984546, 2.9623670504508937, 3.075288491864576, -0.0984451422587207, -0.015650061721852015, 2.707711923961421, -0.6480474058907375, 1.0502885317740773]
22;-1.8668451707772717;1.5436372999974992;[-2.37989929331211, -2.2744549368211837, 1.5393333804667906, -2.950772391972905, -2.5191276548129933, -2.1367008511114842, -1.5353423343600914, -0.5056195684717286, 0.4613573440233707, 2.9175041833104176, -0.613872484531722, -2.0900331924847784, 0.003087182479571293, 3.019922391441339, -1.4699984569593252, 0.502995332654431]
