run;final_energy;time;best_position
1;-1.8617858;22.126344899996184;[-1.0692785903656103, 2.6507786293820637, -0.33363614486398685, 1.6960250357589128, 1.4228263772058556, -1.565125487431775, -1.4391767145437064, 0.5207694054412277, -1.0813287471054247, 1.0752104916804335, 2.604794524844751, 2.8814360469759004, 0.010716312906301706, -0.07716411856694894, -2.986912794889767, -1.8362062259480918]
2;-1.8737993480000001;22.256899700005306;[0.687974194770725, 1.0274045969491432, -1.5890074029739123, 1.490884739624872, 2.4881746812054475, 0.9371714138187741, 0.8594523777460381, -2.923515922739381, -2.618901339273612, -1.4352138228035094, 2.2664407511352263, -2.9968847094935023, -0.20460955831584293, -1.5453859257689073, -1.4557144972982268, 1.5916362550073133]
3;-1.864573;22.418778300008853;[1.3672324517053962, 0.26708836024584137, -1.598385530598844, 1.3783503305885771, -1.1089546715502236, -1.9589413531931432, 1.2141222995929484, -1.1255703533881762, -1.5120906897975332, -0.883947069644762, -2.107617441566301, -1.0289587303093315, 0.22878736674348765, 0.8123400115347135, 1.3796097437760917, 1.8622658158977785]
4;-1.861470028;22.310552399998414;[1.5536345949000543, -1.6984871456527797, 1.4525023306003373, 1.7744835165403163, 0.9991484227953675, 1.7805589256655132, -0.6229503342883929, -0.1299452132685328, -2.4652106292669256, -0.9550662763908875, 0.8363048437397294, 3.056350018319259, -2.4572246085355047, -0.6656912374141739, -1.9857595248037045, -1.6899968741072917]
5;-1.8496945599999999;22.173659699998097;[-2.1809433794405564, 0.732707406465575, 0.1891210429241572, -1.0033210905710659, 2.2877249092181042, 1.1956600610700212, 3.0918838896678515, 0.20492225832011313, 2.6651459321385644, -2.469155898117384, -0.4356058729361618, -1.6938470491735897, 3.0789385083963534, -1.1285899057234312, 2.7207230464910026, -0.11413777312921614]
6;-1.8603780680000002;22.307881100001396;[-2.952754639458913, -2.854822027783606, 0.012785774225324786, 1.2709246889233565, 0.4206197350393488, -1.6385883904526566, -0.18624200179233252, -0.1454271283603097, 0.42344530889258625, -1.3065610674992252, 1.042034616727899, 0.8277536626242226, -2.985899546698157, -1.3845737000395222, 0.3070017893867929, 2.4857109921066822]
7;-1.8162289280000001;22.71646920000785;[3.048374892402008, -0.08889710877838741, -0.8500383433637859, 1.5961156132524073, -1.4545926810740009, 0.018862033354140273, -2.8981071302363106, 2.9121006989960385, 0.908846524783562, -0.9223021892452712, 2.1022485208131894, -2.988594558209721, -1.6613008321942178, -0.1818835573017359, 0.6668539957859552, 1.595731748879441]
8;-1.867423876;23.436886300012702;[0.0265412837634309, 0.2254179598159105, -1.5824027882450864, 1.6188999493589398, -0.05360215514821398, -0.09202230319424576, -1.4408959169265343, 0.4077049037646914, -0.20579175472862232, -2.524376800426919, 1.269175309299066, -2.732103695822025, -0.127901007437357, 0.7179866294448911, 1.90495673408926, -1.629758029634431]
9;-1.78681024;22.98557280001114;[3.0556120918172613, -0.04892592284739061, 2.6961696095946115, -1.0621702421815247, -2.234448008930318, -2.9618217463898926, -0.7357150524332869, -2.935935199025751, 1.453068588239991, -1.3744783933276028, -0.45079987177009695, -1.0267196251013502, 1.7074924052238636, 2.605117774334955, -1.3264170623643707, 0.8830853548204427]
10;-1.8586898840000001;23.168123399998876;[-1.5531191268395648, 0.03621855930060036, 1.5100803211774902, 1.6166859910077758, 0.6699906188319984, 0.6402538969369775, 3.0047243943403554, 2.3870925430074736, 2.4152871062591217, -0.7997293911838415, 1.8395779219766153, 2.0103992009702996, 1.5771624957249548, 2.9671887563949024, -0.793137670626543, 0.41631847925721743]
11;-1.8571300280000003;23.288517199995113;[2.2863035116373656, -0.7150905359892041, 0.4402646741594607, -1.0647371657187805, -0.9554650205740538, -1.4265524517231487, -1.9007167085240202, -2.1661593455972112, -1.6946776969730228, 0.7829594207517152, -0.6745877902112718, 0.754994039837289, -0.815841402101182, 1.3584257134198268, 1.7115575359930641, 1.417060459812201]
