run;final_energy;time;best_position
1;-1.650215628;73.5546738999983;[0.4615885435539546, -6.239087079126249, 1.644827550026843, 0.688814010291817, 2.8372457294647697, 3.0411229189855353, 0.5487958593662928, 3.786762046147632, 2.925698048527966, 4.3507253857669355, 0.7251805924541802, 7.410042759854124, -0.756269135585692, 1.162143109087521, 1.443809625972309, 4.772522749323015]
2;-1.6780474840000001;73.49526870000409;[-3.4812071564847313, 0.27139598533109743, 0.9098726935462969, -0.6471932595880464, -3.010265737645394, 0.48485824274106587, 1.0383740933284964, -2.5875856308965304, -0.24038745034437778, -1.3962926494456307, 3.1979893664111945, -2.4774950996473186, 0.5577491387303481, 1.658258101355933, -1.644563813610819, -1.6695328651927956]
3;-1.64899386;73.61415409999609;[1.4198311774661776, 1.026933097734762, 1.4963619695472723, 1.5123162663960241, -2.5588521444807433, 0.037531944016496045, 1.0971264126123765, -0.2785598144747116, -5.0479907498078465, 1.0771387544901794, -1.1972166255479038, -2.1151467792545393, -0.2386441364438559, 0.9528477851877731, 0.41181458148272604, -0.6206203205989537]
4;-1.628973652;73.47696499999438;[-2.0844920106834604, -0.44540103499454087, 1.4941522327027057, -1.38344317524831, 3.440918442730928, 0.11447985622682365, -0.31670964992339395, -1.224475461211087, 2.4300063895775703, 0.9458471600797967, -2.4202388320804458, -2.22916436482325, -2.732074751275983, 2.6319316612818926, -1.510404771354919, 0.5862299445414286]
5;-1.655670844;73.51577250000264;[-0.0747990318986636, 3.0175526147777756, 0.552803979249215, -1.4894641765281271, -1.1661087033884807, -9.264482064173727, -4.909358341583885, 2.710327858945513, 1.44370044781638, 1.583095884017434, -0.9865595037066122, -2.4189330337667054, -1.6392157900130386, -2.6521291675833902, 0.8903112142843922, -0.5998238400128534]
6;-1.6583422520000002;73.55768099999113;[-0.2067304633469667, 5.218258634712415, 2.883059504176697, 1.485619595838986, -0.29189750368789547, -0.8803714419552189, 3.9163238602899613, -0.2971986621309724, -3.2322916922021347, -1.8268619253921483, 0.7176868016030632, 2.0433445815584124, 3.141350542647729, -1.6571068714431738, 0.049627683481672916, -2.7116034234893696]
7;-1.658970056;73.52730239999073;[-1.0673015920645803, 3.4779394985165557, -1.679794775116418, 0.3162102133166214, -3.468122619761001, 3.573628803434813, 2.619356410618691, 0.25432378334068584, -2.9815161449102816, 1.6379904095489373, 3.029044064811841, -1.8710148771303154, -0.9569809950689271, 1.6479494523398248, 1.4660486596120805, -1.5268092656189762]
8;-1.644703364;73.43910879999748;[3.1043759867039102, -3.159840922322166, -0.054236619978920174, 0.2487842109834951, 0.7310488241544209, -4.493072343988235, 0.5194562236080372, 1.6754966824889614, -0.6293364814712082, -1.232876336891608, 5.016165212171248, 2.056971442308557, 3.0186629596300247, 1.1378344057036132, 0.3523817605311093, -2.750842330073107]
9;-1.5489455520000002;73.42420800001128;[-1.131884183115774, -4.942276444477207, -1.841646748979676, 1.973264120644116, -2.557555028754138, -3.2216238500421284, 2.727060425401794, -3.2567585458741304, -2.6710506253041846, -11.431236153422793, 1.2606898467724024, 0.6536802007750565, 6.149578348129555, -0.1340879572291634, -12.407516071595968, -0.5615274036853621]
10;-1.62913402;73.43762140000763;[-1.6502937770163189, 0.47537283442177913, 2.757722144251206, 3.732711380168518, 4.694118731446076, 7.931138016709833, -1.7068866334586221, 5.139126963036933, -1.2357976526821746, 1.9940311069955683, -4.365209411856481, -0.22764041182831732, 3.030769782624695, -3.0732287605282536, -3.5969187954219666, 3.465460479676077]
11;-1.653856508;73.49620649999997;[2.0247932298705256, 2.7894537124559777, -1.8398812536423679, 1.570939423150882, -1.5424746926951065, -5.621598645202843, -3.7907964173332513, -7.440760251874741, 0.853098267949111, 5.0779467349316265, -1.8440220715059774, -5.00258413719014, 1.6227444495770522, 7.1666185538072265, 5.0118483504494336, 2.6623571292460095]
12;-1.5827238080000001;73.41975749999983;[6.9003727637874075, -0.18347330038411336, 1.1509255853223248, 36.018716139669216, -1.232179808293298, 0.8165442393060812, -3.866292703327255, -4.2244653472646, -7.636701893571322, -2.5005834727087053, 6.700266127286682, 0.6135906375838869, -8.127420985423452, -0.3720390716132791, -4.364167975876771, 0.04160456261948481]
13;-1.687765996;73.46006889999262;[4.094566700948524, -1.6080858312565667, -2.897081133179621, 2.881608461007949, 0.9786654263796365, 1.644377708329875, -4.68119431746552, 1.3556864035990268, 1.915870263895679, 2.85004196086188, -0.19361648508204882, 1.6792445708905033, 1.19471610806181, 4.563207779219613, -4.68090974203787, -1.4978687297472653]
14;-1.640224928;73.50695529999211;[-1.072034402740269, -0.4884041796535912, 0.06752563969982762, -1.5152534208757245, -4.3815325252496224, 1.2743902393956763, -3.0846387699709776, 6.027051155219466, 0.9251716380541525, -1.0430810189980644, 3.2898697592817556, 0.31974171595359824, -2.9865875650420874, 1.7384584150694473, -0.038306033795737895, -1.312129293867141]
15;-1.563332072;73.40272779999941;[-6.5970517326012335, -5.125406595183012, 2.1052448893163045, -4.714939594289721, -1.8266253800389725, 7.894968985569762, -0.9101120348779776, -6.311865209940018, -4.102273504480016, -1.337561701386812, 11.005292181822732, 1.6277009310454378, -1.2088616053082137, 2.3265318816133944, -2.9617470583049363, 6.559940633695659]
16;-1.65376834;73.51144960000238;[-1.9632800367471148, 0.26909962581509306, -1.5623281445544759, 0.055279143109736514, 2.5280125615404025, -0.6580559642293524, 2.04154608152501, -1.1810170270322093, 1.0209781358776342, 0.22943368039242695, 0.4443851940529292, 1.8594339749885584, -0.05998132479812768, 0.15345476466048785, 1.290194336905326, -0.7743383854626947]
17;-1.6472094560000001;73.4576350999996;[-0.2216202400149486, 0.06436411016744974, 0.06426739628962036, 0.01728108530131326, -1.906593705195306, 1.2511550992379752, 0.4022606348877076, -1.0047795088949094, 1.685543964494511, 2.253322316204908, 0.7791947862108557, 0.9769059092101325, -0.3789875991549905, 1.3285099628967498, 0.696159191189648, -0.7376802903312333]
18;-1.633096912;73.44092010000895;[0.0657003375500261, 1.6894432814507792, -0.8904575980076205, 1.555209954441135, 2.602551641331843, 0.28522571852483347, 3.6990451301227014, -3.240215652960151, -3.5960952024728345, -4.402932145768396, -2.5072249659099786, 2.1522108743942527, 0.14289213420265315, 2.801799921146853, 0.21309408283152093, 0.5817500335548684]
19;-1.6531172520000001;73.46495710000454;[2.309819299569842, 2.3215502325976884, -4.551987432102076, 1.0599787227059154, 0.5429172350156327, -3.9204318598410732, 2.060416232347203, 2.18934827663716, -0.5306973077642799, -3.273673421405357, 1.5065735174501156, -1.1376429066414966, 3.08490706414215, 3.4326392667089505, 0.7505257211231436, -1.8892690574336102]
20;-1.6471077960000002;73.53098989999853;[0.0367042751973738, 12.810832478329043, 1.3744236383012165, -7.642422611279627, 2.21105885160282, -1.0860018779184115, -0.7777166307658816, 2.9475963785855908, 1.9767556904019414, 1.7013900250850504, 2.051845211410558, -2.649481639119032, -6.978474397261801, -0.8721910837481431, -0.7488246943638054, -0.9877644562893458]
21;-1.648531052;73.50270410001394;[3.0040488891974557, 1.3157196624062766, -1.5967389449970495, 1.3526438602107957, 2.972413986124327, -0.020893418762057445, 2.2558550184988815, -0.17415511119226615, -0.3163791755547818, 1.7331377354525714, 1.4876378641596222, 1.560027302083093, -0.2429708674585764, 2.1669621447442653, 0.16995381706487983, -3.08608204840349]
22;-1.6720169839999999;73.49506990000373;[2.792348033474247, -1.5197602600559246, 0.387702150966348, -1.3374735766188623, 5.9352602738477085, 5.780644676996529, -0.40917203323345175, 0.2656244781860111, -2.085827771041579, 0.08302511696171402, -1.3520337220537857, 3.4411576899919467, -1.079348012845704, 1.7097232872937762, 1.681808441737445, -4.731244073468437]
23;-1.662263172;73.48339179999311;[-1.48264951668814, -0.8033237593525633, -7.881401421375726, -4.42186302384552, -1.4472919367594341, -1.0995610053388993, 2.364448672493202, 0.2980344140236512, 2.4232838134116537, 2.5487544317397255, -5.017623553399049, -0.30647754694144536, 2.916952527156498, 9.212770113892509, 7.364407180629169, 0.9611263750779409]
