run;final_energy;time;best_position
1;-1.6950003491894796;9.352676300011808;[0.07244207319397528, -6.003344027247941, 1.54401536749302, 1.6121137607146587, 3.020635130860451, 2.866767178752509, 0.4180228737012518, 3.358582099469045, 1.7024976698710275, 4.715411203391824, 0.38143533497549637, 6.3334567521834915, -1.5119298129437637, 1.4784209058750923, 1.537876739077827, 4.745855202081436]
2;-1.6969583820922731;9.151288500012015;[-3.079141323806375, 0.4849374012752016, 1.4774028957803549, -1.5651594954692007, -3.0702757962777696, 0.377373128594568, 0.019210019776513248, -3.3487789783801745, 1.550714918674949, -1.6843976669819472, 3.0516458906447332, -3.12169446507341, -1.62924154464924, 1.671413974802788, -1.5814962846074998, -1.6310520978500174]
3;-1.6961480843526053;9.174998100002995;[0.7395663173993754, -1.9455753911861582, 1.5673427401950746, 1.5659594438995628, -2.4257938909322525, 4.98191628339076, -3.114958969579834, -0.24778989045338146, -1.9060241767881223, 1.5824842970152657, -9.454105704105794, -3.1358975655362373, -1.490219465156069, 1.5627269994567674, -1.5708948500950044, -1.5650932508618693]
4;-1.6963494478994936;9.17193130000669;[-1.9467272026772227, -1.3924562051952118, 1.565650950258125, -1.5652460800786985, 4.263711320040221, -1.5479226625147, -0.09494958761504786, -6.478873785278127, 1.375561854263594, 1.5330294703894018, -3.045719064789109, -3.108043446868232, -4.744589567053468, 1.6507205701115313, -1.5805160713976023, 1.5456178748210028]
5;-1.6707489596565412;9.184019500011345;[-0.13018389770252975, 9.463821546093644, -0.45243899062729653, -1.5953563829450612, -0.8991620559574953, -9.903337470005205, -3.922973383736137, 0.29925704921513624, 1.4848133035227502, 1.11735770958209, -2.603573009258609, -0.22451023066862996, -1.8815928714329406, -2.3765728262371115, 1.9417652681232835, -1.2842419424500233]
6;-1.6628740300558016;9.199196300003678;[-0.08433929666223809, 6.108497878041627, 1.9426768368285405, 1.553672726748176, -0.8142380245242259, -1.5018099587732823, 4.4582133012404475, -0.3707389822300547, -3.9392658015893804, -1.027811908403379, 1.000168724017414, 1.6365053962115166, 3.1554273743667514, -1.738501383290523, 0.3059065874724911, -3.0297227371669755]
7;-1.677338058619458;9.235210600003484;[0.14321628628796437, -3.151964122165402, 4.54845726479494, -1.5782603499581014, 7.947946305067635, 2.479160398934631, 3.3007004809325906, 6.561503330458796, 2.8634055152018765, 0.09462031422091176, -0.05144807066502432, -3.0892894272348177, -1.2662693666739895, -5.692302426738217, 1.5244810669824664, 1.8021929280978635]
8;-1.6513135386119127;9.212399700001697;[2.822603409791879, -3.1952888982988417, -0.09001092438461687, 1.1746449553696332, 1.3910667383213355, -1.6142506632554683, 0.535843710847955, 0.626830884499749, -1.760369381129853, -1.6197735187919184, 5.004494614161645, 1.8571524666403287, 6.327861577702737, 1.0720300803538074, 0.20035048371442207, -2.766641324265594]
9;-1.6173367035607333;9.165056199999526;[-0.3410256018188999, 3.0891265963933896, -2.8723064508870335, 2.333515148818098, 1.2714071509234859, -4.020862172408877, 1.8402023937651817, -35.29876604552315, 1.1309330961670208, -1.9795569107900661, -2.0423969096703187, 0.003949833041442613, 0.5887589655519114, -0.234933488968846, 3.40987394436461, 23.810450979596787]
10;-1.656885416034618;9.14175310000428;[-0.2132941639088179, 0.18551536956240128, 3.244906400598121, 2.5371943096432172, 3.920545867070995, 7.5551752365008555, -1.9448448190353498, 4.30350187236357, -0.8803385406493704, 1.966573263685836, 0.23343279480679877, -0.20334681692356155, 2.938380829330303, -3.8464787975281514, -4.284143207126735, 4.631250968596068]
