run;final_energy;time;best_position
1;-1.7554630213333338;73.77699149999535;[0.33792420482750224, -3.210862946062954, 1.0429254202265597, 1.5454613955637218, 1.1274297984750263, -0.18972336381640129, 1.842097628894338, 2.667604816916682, 1.4043029897330257, -1.6985265911472924, 0.8617328351890945, -2.6892133906754583, -1.9572413256371444, 14.666742202712326, 0.810564583485057, 2.203838582696097]
2;-1.7216456720000004;73.60936829999264;[-0.8364662502217662, 0.5893538246853907, 4.179023599091016, -4.674912599911581, 2.8838517119878846, 2.8854200518058652, -3.938861249844434, 3.010728082318862, 0.8369573276499231, -0.09555122477263951, 3.3467986882195087, -2.3679657209242517, 2.5489879536682563, 0.37309991744748183, 2.956740806513667, 0.9100671770501738]
3;-1.7729463586666674;73.63042629999109;[2.531783972168551, -0.1305878198696754, 0.7871287481458474, -1.2949050850685213, -0.6252130571872658, -1.123619777083934, -0.13592779120444204, -0.16512675900321516, -2.0234694523604153, 0.7645416393058223, 1.463268583158946, -1.0449289472595857, -0.2548696948990163, 22.75342633255331, -12.177966528625532, -2.345879405368455]
4;-1.800740238666668;73.68022480000218;[-1.9467138550264977, 1.0369687194237762, 1.211760170622952, -1.0282521978660941, 2.208910671164261, 1.3401910121215657, -0.557585760279255, -2.7691428026538984, -0.8055734284561182, 0.1443194196208259, -1.2339782230551912, 0.0005554950189854745, -0.0727268677567249, 0.28799733290760837, -2.0837855735447435, -10.489405403327332]
5;-1.6621490266666676;73.55984640000679;[2.022466494501026, 0.22821884755243538, 4.467767025316781, 2.4329596955604647, -0.9354654132016601, -0.2732323987507441, 5.856003543304962, 4.01165025627099, -2.4530657544029566, 1.6942351172860102, -5.071100513127301, -1.3974160456271654, -1.6461910589164679, 2.8112661247053845, 4.814473741448567, 3.214640949984984]
6;-1.7238306093333333;73.78638260001026;[0.4720289773242732, 3.4512866813523964, -8.363495231312879, 5.000415645625171, -1.4416459137814068, 4.035684848661149, 9.932113762891062, -2.200625169706609, -10.699282533532994, -0.8485006229456479, -2.0902662588802112, -5.282852644276437, 0.9690018510246216, 5.484054254679392, -10.711913234257759, 0.5667516796249193]
7;-1.7245978986666677;76.30959869999788;[-3.516798670695993, -5.441190301912347, -2.1060752424913476, -1.360182982948848, -2.212474501252189, 7.645012905178403, 1.3472266818959313, 0.17650661247911428, 0.5701293583335233, -2.2712464046704737, -0.8274078146787994, -2.7210888908257913, 0.5553393079949491, -0.9960652684581331, 2.9416075916505218, 1.162924292553815]
8;-1.7009345213333344;75.08976220000477;[6.9933537659539775, -0.061023547383079926, -1.2393098819691053, 4.647556513304082, -2.804636217362039, -7.568130695312868, -15.409941353382205, 2.7046433027440573, 0.9614024081428668, -6.032035676470427, 1.2876751612355624, 0.07643918081457644, 2.5836264339070008, 3.7198016175446273, -8.657855919282014, 8.304420603933517]
9;-1.6338674066666679;75.71203850000165;[-2.5841890710059086, -3.3258539531074063, -0.0187586691204708, -0.4178056148081611, -9.208370647897606, -1.626893895945981, 3.213503042525956, -1.9756056453285018, 3.340522672042766, -2.35355910294372, -1.1845823634502795, 0.9296573644825232, 3.2169224089632364, -1.5641035815320075, 0.5206728259729769, -0.4493901406004883]
10;-1.765125454666668;75.35804039999493;[-0.6476726392021607, -0.48447530232338387, 6.389485425080192, 2.304278255180942, 1.8262290050082544, 1.0274183399012444, -1.4782670134533766, -13.260503513642938, 2.5550041006622513, 0.04554591532142889, -2.337712672839726, -0.09402977213384557, 4.756596862390041, -0.9396132772461372, -4.519963784072295, 1.42056374426871]
