run;final_energy;time;best_position
1;-1.802586090414322;9.65813640000124;[0.48667641825980185, -2.754564941342717, 0.9659637756414852, 1.4138150940145155, 0.9088851461495141, -0.6848682849421902, 1.6359980122510023, 3.2235031136012644, 1.2599181093462035, -1.837502695068407, 1.0923159970820662, -3.2174834360665123, -1.829894726911535, 1.8606096858500156, 1.0606732395123128, 1.4864502849331547]
2;-1.7253233468898486;9.474124400003348;[-1.0344687871424176, 0.3445513404819573, 4.435592923924069, 7.9236825127789094, 3.8733625522722344, 2.8905932729464716, -3.349271713097673, 3.150077924419797, 0.7969914959914154, -0.27944478209966667, 4.0256973773769404, -2.614927995924963, 2.121152568892884, 0.08647653645586553, 2.8405485335905714, 1.0297737120196813]
3;-1.7900970830616045;9.622470700000122;[-0.16707259952394196, -0.4408833190797938, 2.244337231741343, -4.627642830985651, 0.24371014932586035, 1.2466867903933725, 1.438904815625375, -4.806077155906199, -0.46669883157248127, -1.4381782846555506, 1.5199330378203344, 4.635712937456589, -0.5314569681237621, 1.1072439955298583, 1.4396610970430908, -0.6565845685119601]
4;-1.793500793274859;9.855583800002933;[-1.952171773247376, 0.896374744073321, 1.691337594628666, -4.19174849451966, 2.162661649108532, 1.3018052156643976, -0.5291757619575123, -3.137622627180096, -0.6650196330504689, -0.08019126036861143, -2.417234343572174, 0.3519187205343335, -0.1751442712283345, 0.10293341980473661, -1.8181500283911154, -7.58046735318979]
5;-1.7605186297404893;9.39617089999956;[2.0985852127287883, 0.4286442599992746, 4.661963707402353, 1.7459466957908398, -1.489640740056017, -0.2631046993305828, 6.267513985630726, 3.979491140723823, -3.4712578864570887, 0.6212107943362848, 2.977743559745707, -3.0215122567880677, -1.83346532256905, 2.855999396910121, 4.789053453787052, 2.5292109949194774]
6;-1.7372083292586022;9.387657899998885;[0.49303489353679697, 3.6392447168156945, -8.471848234020294, 5.138593844255578, -1.51661564303151, 4.574042301272553, 10.239754659498923, -1.7342269692112806, -10.623277150106068, -0.8584024688468651, -2.1415329640035927, -5.6131801912260935, 0.5837249648299205, 6.319667071402106, -11.323976330963106, 25.256593091678152]
7;-1.604817464607532;9.408781800004363;[-2.395062299805611, -9.997244338800638, 0.042410850680021456, 1.6354037229659282, -3.58358405342922, 0.3310311718804283, -4.3040868165793125, 0.49537633053618907, 0.5596495309766532, -0.20674442690313316, -1.4759515262243248, 1.3075495771763015, 1.0968511508947323, -8.006238263732198, 2.602855619321662, -0.3013468131356362]
8;-1.7920416149691316;9.632453300000634;[6.13496823325349, -0.1918666366880889, -1.4231711279616672, 1.640034070879652, -1.096135862642732, -18.65060316779869, 10.395482429995404, 9.09000033073553, 1.3538511615826312, -4.855028486140314, 1.3359648775437691, -0.5579447868891549, -7.4745255996358635, -1.1462990505055508, -5.709377399113319, -2.1104229362279243]
9;-1.7263969500861145;9.590018199996848;[-3.244914715654762, -3.569463016895703, -1.2704183894748067, 1.5802879606240685, 2.833222362451741, -1.0276202707821203, 190.83292792694016, -12.918856365256289, -0.5198375378999911, -1.931444059462667, -0.824839045764845, -0.669258436285971, 6.3158762550602505, 0.6978767181852579, -5.561925091902036, 1.0805552399852487]
10;-1.7756582631504751;9.679640700000164;[-0.9761210868640215, -0.3752798741546636, 6.498965291838871, 2.477760191503949, 1.8472059205528597, 1.3791472942729346, -1.4913272472522463, -0.9364501382391034, 2.6758154135023138, 0.29119549059202166, -2.625722696362276, -0.9504014179973698, 4.827904171840524, -1.2261426490070668, -4.670251277708821, 1.2870779415719045]
