run;final_energy;time;best_position
1;-1.867095305617164;6.76583550000214;[1.1991490993665703, -5.851357847246792, 1.567326026388002, 1.565474420482313, 2.439909889098418, 2.8138935396018674, 0.8980254073842262, 3.5586673044772064, 3.292704610251139, 4.701993410685645, 0.9967379449951129, 6.659509168513525, -0.8767069364960945, 1.2662745532339796, 1.208771774466216, 4.921378635606805]
2;-1.8670886606745194;6.6269836999999825;[-4.834317813188462, 0.028039685922672815, -1.5761259539236718, -1.3117157678202298, 3.0186833696558404, 0.12901824517671476, 1.4503459607444047, -3.3836752782563804, -1.3139846595021565, -1.5669889314007641, 1.3882195741342025, -2.8633548205575945, -0.3814624036454946, 1.5646615347554926, -1.5832417417525324, -1.5735959086047646]
3;-1.867099209549131;6.614333999998053;[0.342096008606832, -2.794702144310576, 1.8862588188326594, 1.5706296018102117, -2.3398903751875713, 5.067072058153585, -2.7343527877583793, -0.2291077613693757, -2.330326794755846, 2.4334299560452313, -9.625904959351828, -3.09625346389565, -1.5234752925290307, 1.3364209855619043, -1.5253955346328862, -1.5219372680877559]
4;-1.8671033213308645;6.588791199988918;[-2.0328067321043046, -1.4567126573142848, 0.786750680324029, -3.7956824344694584, 4.250881882049623, -1.5348322085957427, 3.503363479336661, 1.662444824077835, 3.0390280443276665, 0.16847640416284754, -0.6638479469413324, -1.5653035469961225, -3.1404830814558515, 2.4319662872101406, -1.5992463460561814, -0.4390137470346869]
5;-1.8670598337342612;6.611934900007327;[0.04707508366066415, 3.1046136277398575, -0.03309524570839853, -1.3616417985372822, -0.9128657600528312, -3.398441572791679, 2.2959714300895278, 2.8210602327946943, 1.843156116103585, 1.662666243298159, -1.0341844363407067, -2.557071361972464, -1.9363837185481765, -2.271895966352804, 0.9176164378583034, -1.0077315517093228]
6;-1.8498775541416594;6.61450069998682;[0.9473620193111055, 1.5244180065743553, 7.9648554465857755, 1.6249976487165907, -0.04957875121818327, -0.8550441662005558, 2.8576406870748796, 3.360954093942222, -3.6925644768353907, -2.5220704380933388, 1.055956033662096, -0.2806169067532538, 2.5165185501956064, -3.4588322393961684, -0.4240832604275213, -1.9221509403289383]
7;-1.8671048225104596;6.691013900010148;[-0.7162224796878224, 0.18795542503449922, 0.10130966234746591, -4.711203894779649, 1.3595818496473226, 0.44316056694177947, 4.013778498317176, 0.8194907288058391, -2.1852503915601664, -0.5360620227894476, -1.8258893156106428, 1.0555139158750764, -1.3934867688482542, -0.9660521507642711, 2.1916053573477567, 0.6229436974543734]
8;-1.8665025029851519;6.669919399995706;[0.05582838091811738, -0.22129474039805452, -0.6817013612020344, 0.7394783124767987, 0.0208566038637996, -3.4791864385873104, 0.5410299834194795, -1.156753932536498, -0.04637458585924164, -2.930956877706593, 4.847180529632572, 1.2500965759926914, -0.003320298978921676, -3.199900717389155, -0.9412891684715723, -1.6957705070816178]
9;-1.8668543283077044;6.972729599990998;[-4.150196847157884, -4.437132983959012, -1.5921794549099888, 2.740920653321334, 0.9938159725782546, -1.7086125829483128, 2.285120121973749, 12.65235791859138, 0.22867575342208135, 0.25470668928233653, 12.936286965279262, 1.0168949757586287, 3.1380869559064135, 0.1554598440355099, 1.5118879831668064, 2.3997605713067403]
10;-1.86710298450057;6.900152599991998;[0.25642442224970824, -1.5668530023590326, -4.713675660141477, 4.712571517438888, 1.321100622019837, 2.0476461133330064, 0.2046696858523441, 0.5553944946247152, -4.444359867843326, 1.551779808720554, -5.7567743989994185, -0.2912193119246051, 4.166913646465413, 0.4278547748543905, -1.9669885150455848, -1.0110802504190763]
11;-1.8671046917673408;6.938037700005225;[1.9095150335397184, 0.9720255557391351, 3.132454279957554, 0.37235774371266517, -1.8539907659183072, -4.713999703818621, -1.3468437647488838, -1.6395569412346993, 0.5718134387102749, 1.5565922750195194, 1.1111039047007294, -1.7883972238516341, 3.141788529806092e-06, 0.045496567896784995, 3.047857385165332, 1.5830257031614845]
12;-1.867095913862552;6.866462699996191;[-3.1415293189798525, -3.141684976196266, 3.148449380051899, -4.001665699509733, -2.0680852002563634, 0.09658333152640039, 1.6091806063052083, -2.911686165304831, 1.6494220151920576, -1.5949193915858546, 3.248702184627447, -3.0930283846132114, 1.6925567739404246, 2.6956481898294613, -1.6550578783497942, 1.1379235947843744]
13;-1.8670004164819023;6.7357400999899255;[4.426255084770434, -2.1299202428949147, -1.2993561454244584, 2.6416590724894293, 1.2383857375642517, -1.4033754663692413, -8.982107057064391, 6.671096618854996, 3.6741117608369867, 3.2567243279026896, -1.2509665209408374, 1.7143797398753353, 0.00062336164305712, 3.036661288970922, -3.06885118303661, -1.2558995293028439]
14;-1.7823066552327924;6.6125862000044435;[-1.0230764926542093, -1.4063433391247087, 14.982932118029368, -1.2710366822914305, 2.303485729100546, 4.32704100254313, -4.725870614882465, 7.578433844802981, -0.4160323049977242, 1.7888211322039365, 3.832244176248757, -4.972420885805915, -3.0320115118834012, -14.875582425266987, -0.8489991892434471, 0.9928718106523393]
15;-1.8048299949169895;6.619803199995658;[-0.9078162714510403, 0.578226935971238, 73.70768180404346, -2.1132857642974927, 3.233333071740065, 0.6924217549937363, -0.021575429599476836, 3.456939635316197, 6.052213147207959, 10.113868759230948, 3.174677034956809, 2.751106887728086, -3.655614515221809, -0.64584207868155, 1.565008703154696, -2.2880543765920867]
16;-1.7697983109472772;6.65205839999544;[7.538120466596453, -0.16834550609056398, 4.4772019748636955, -1.70521733771873, -1.215025330471127, -1.941644434888023, -1.3291602057338587, -6.347691831469902, -0.32215947897338, 1.4373181150912597, -4.88390965370651, -3.5639442701809805, 1.5883403450067963, 8.283646719056346, 10.944504330024168, 7.507407783576607]
17;-1.847756619098808;6.685493400000269;[0.7978621322157569, -3.777813476971193, -1.5763354484517487, 1.55888564749465, -2.2012175164398693, -0.41244004134936135, 0.02993913108989918, -3.3077361516499777, 1.330361489552445, 2.4193517878368005, 4.810644408521968, -1.1435090505974221, 2.023226095718174, 3.1692515606319716, -2.9606020794402115, -0.41459867776500625]
18;-1.8670766620416939;6.612192700005835;[-0.008370936162715207, -0.0884779894967807, -0.7752848876730418, 1.5705584398405725, -3.2182223502129768, 0.6093213862214858, 1.7898570435093646, 2.5263386017883596, -3.0599726539636127, -1.9831832340815023, -2.1144486409767578, 2.528978861734452, -0.07395439011973712, 2.4855534106841173, 1.0344756162536064, 0.9510803793468467]
19;-1.8668973422786164;6.656506500003161;[3.9184567071530014, 2.729683882767499, -1.6125652450450223, 1.5538075220437773, -0.7079463659001786, -2.091813148240114, 3.519181138704659, 2.9020635449102357, -0.9656221327685103, -4.2800794327246185, 3.4868595044937916, -3.238959336500874, 3.3468239642189466, 1.6363551263860452, 1.6701149072513923, -4.711683458220298]
20;-1.8664165669540367;6.638567400004831;[-0.08811229182844127, 3.492688570427412, 5.408649958940932, -4.104780390438132, 9.33034907999196, 0.38365567130649525, 0.6619787743187634, 2.3164767161416004, 3.0742430254604876, 3.2112164143526947, -1.4365064901689635, -1.8640926393843498, 0.06922096224320583, 0.1761950211067367, -1.1904736469717405, -3.0148816671373764]
21;-1.865543918887458;6.593859100001282;[4.016342504202602, 1.0235373261346299, -2.0385097812246316, 0.8503884883863112, 8.613103195596086, -1.174389592981831, 2.520777656139721, -0.02337112617758146, 0.41568188743395207, 3.302201207980049, 1.0479618903661716, 1.7063754880082536, -0.023208620836269424, 2.819469887878423, 0.4501998566487637, -3.548697636686017]
22;-1.8669756323827689;6.628678500012029;[2.3394971221031353, -2.850866061601946, -10.987506909765921, -1.1900695029058852, 2.9085395428794465, 3.4580949813765898, 0.2921643474595291, -1.3829856966531615, -0.7574411862929941, 0.16427349588619228, -1.0113941372685644, 2.525900026718771, -0.007000700595813165, -0.04565290047096726, 1.6503258782017287, -6.012361604790248]
23;-1.866788018950186;6.578554500010796;[-1.0161712717497717, -5.825750212711309, 0.37508333379620135, -4.8955460511735565, 1.3127019098255879, 1.6421996777849004, -3.792138154268091, 3.648910984353923, 2.0487498928417143, -0.8054186041507573, -14.240848276739676, -0.6454750119289557, 3.2184492768452357, 4.805348896789196, 8.723700635217137, 5.211754028410503]
24;-1.8668299392603334;6.586807499988936;[3.2283264975556807, 1.793139062362986, 2.446227016218057, 4.698536758022705, -3.1942465124216866, -5.927684700664151, -3.634913686260798, 5.8964452875699305, -0.03967282362678656, 4.788973141987842, 3.778125886031928, 5.132314009888653, 0.014221178754444492, 2.403331507382601, -0.24381889066829687, 3.3392025774456173]
25;-1.8670444342900332;6.604240200002096;[0.9174146942918251, -6.348161115464351, -3.1335148359652987, 2.171105874884591, 1.5212017599526606, 4.73094072726507, -1.5821598075340995, -2.5871682682799837, -2.9109414069915434, -3.14695236057958, 3.8783260270119886, 3.585638246930508, 4.399595481078876, 1.5819407252956532, -4.731769117071687, 1.576268139287648]
26;-1.8517999030081453;6.67378440000175;[5.2875229527088745, 1.1979297104687594, 1.7386752931479579, -3.5882427831576456, 0.9423738534131186, 5.12195633590173, 1.0447873235503387, 5.77971082771786, 0.2234189895066774, 2.6393997010477226, 3.445218668475529, 1.5422316691668652, 0.04478232962425574, -0.2421925718514046, -5.35778107060515, -2.224945139293086]
27;-1.8669775024080164;6.648844900002587;[-2.3467238193089135, 2.9025985474293257, -1.579341980654309, -1.5473898496712102, -0.4439312976893505, 1.3211559543978169, 1.989064980947394, -0.8059434032720753, -2.9499403060481937, 1.5574213867301356, -8.060225592499261, 0.9591434651540909, -0.6491629197145827, 1.889308900914375, 2.1054871649126734, -2.2692576146014827]
28;-1.8670982431447525;6.613076300011016;[-3.206921869733376, 3.164357007836118, -0.7360785250757399, -1.5711100304704593, -1.1501457611247334, 4.721247933590689, 2.0981940669626433, -2.846593953414797, -7.435433364573673, -2.45357403875493, 0.7324244351545145, -0.631732031419788, -3.1381946747122043, 1.7283099296309905, 0.3353565905730115, 0.9306801783280831]
29;-1.8625651119835216;6.685588100008317;[1.6983646175272262, -2.356587628920268, 7.557357026253809, -4.925891113472532, 1.5423886536031257, 5.049538477601165, 1.6429617412876816, -6.432552832669666, 2.650189418245811, -4.916805594580555, 1.6719471543650761, 3.308738838011179, 9.798841489382568, -1.4538762026800567, -1.9252239403227245, -7.952162090255709]
30;-1.860783418805743;6.616800299991155;[3.934181857842046, 4.357141502051787, 1.4609444153557978, -4.709220597717042, -0.21728145524003747, -0.60195305854839, 6.482878433301072, 3.4664505359246087, -3.8328429749393416, 1.0047529521926977, -3.4112549149066775, -0.12573561975743885, 0.46260516182567735, -8.945933370439478, 4.371555435950975, -1.1931105477332606]
