run;final_energy;time;best_position
1;-1.8612046560000002;68.34491580000031;[1.1496863326492612, -5.992120534691011, 1.3847104627849627, 1.2954557198652672, 2.6195604620265973, 2.865288314166663, 0.7095956965571936, 3.7461413486176824, 3.426021104295217, 4.382862478651393, 0.7056852704025763, 6.826041112623746, -0.7595632480435273, 1.2108796083744549, 1.2512798752037035, 4.857568647216158]
2;-1.8668218640000003;68.29116140000406;[-2.5441108664083996, -2.0421889824936414, 0.35816689249491435, -1.386810102003973, -2.5203745765203567, 0.6719745257030644, 0.4397798705801593, -3.6616762498381745, -1.0811855004715105, 0.41373445099601314, 1.649176742733749, -2.5851837445786736, 0.9493651187134273, 1.6682062063212948, -1.8894486664602894, -1.758397276605331]
3;-1.8422242560000002;68.24863379998715;[-19.255145164029408, 3.0776305248173226, 2.4486991203040707, 1.5090043970560543, -2.1590974974559893, 4.230047894226877, 1.0840261491252186, -0.06445594167430586, -1.310845696149694, 2.1426775432756697, -2.7037497657047562, 21.94511557434443, -3.5870841605716586, 1.939524636562229, 1.731693992767465, -1.2730962966004198]
4;-1.8738381320000002;68.15158599999268;[-1.5430676867596365, -1.4837730208637718, 7.633662360370573, -3.5673810367856245, 4.738279776263448, -1.6220241293726447, 0.23661658140749744, -3.01779435029558, 3.116616570382411, -0.07641234451320324, -2.9644732294625893, -1.9093558158777706, -3.1692117162381703, 2.9932277175386615, -4.930824022753327, 1.959211057717871]
5;-1.8750471960000001;68.2415725000028;[0.13137526417991782, 3.018893391539119, -0.5050945660728167, -1.5292809792928341, -1.066113109558901, -3.3800531145391255, 2.3640467156339775, 2.518030324443663, 1.8689290360156152, 1.7943460200942574, -0.6244322459086272, -2.6537988584284418, -1.9442167841110356, -2.643266699607598, 1.1540339746739343, -0.8732524502550565]
6;-1.871554696;68.21483330000774;[-1.2139380888509093, 4.938537909238017, 3.035164451007458, 1.4571133596100059, -1.2885355668827498, -0.976167132511831, 4.010969613863212, -0.23729801003448334, -3.3802309691375476, -1.6297593311098735, 0.14057530575403704, 1.889248951296658, 3.1000029476870083, -1.8745133646023513, -0.04864961467851338, -2.766446127797334]
7;-1.8576641360000001;68.34062339999946;[-0.7772354291471956, 2.8964632674352573, -1.8100897077567244, 0.2045862241507667, -2.946719402141337, 2.97723919818446, 2.0309641130582725, 0.7206298161243017, -2.4257813586592434, 0.3060015716397899, 3.7318440453896904, -1.511715062441577, -0.12960197180625885, 0.21870987155543983, 0.9167936486407171, -1.1428296922314054]
8;-1.8470875800000002;68.2777378000028;[2.6289886108981233, -3.1695019722241424, -0.5332280784987413, 0.5450690432966648, 1.3692468234477466, -99.0077555527248, 0.029330284395591436, 0.8879964656716532, -1.344569144425926, -3.429643385896175, 2.7714370737191616, 1.9733201088247787, 3.1271799493541628, 1.2156881611510728, -0.517740678195968, -2.7104870420792646]
9;-1.8599637519999999;68.30364019999979;[35.773784244958385, -1.4926422516714868, -3.590752566844687, -5.064772029810372, 1.1893908446999073, -7.572604912831605, 2.3439282809095254, -10.516245459694478, -0.023149379100851616, -0.6212926349890096, -7.7835729198416415, 2.01798530588208, 3.0433410847830618, 0.4772998893478606, 1.2629337055254435, 7.62081760291415]
10;-1.831489008;68.4069301999989;[0.7039007771021734, -12.695429748430474, 3.981004961873089, -4.6963011740307445, 1.8877888959139268, 2.8827652278304328, -2.4252507492935957, -0.1647210323571328, -0.3835328899722608, 2.947056145080609, -1.6190646502178716, -0.06442891578537203, -4.633666011836514, -3.651757850369371, -3.0990775971537565, 1.9306792479364698]
11;-1.87372848;68.31933679999202;[2.2571369188334303, 0.7000435082997417, 3.274467303138804, 0.9195718653062355, -2.0461589980430794, -4.739521409415386, -1.1219890620626276, -2.2266583442987904, 0.6587751224828563, 1.5368572485841037, 0.5348246823164561, -2.068314881705302, 0.05468238799020143, 0.2771772083950948, 2.834826220213832, 1.235898591992243]
12;-1.8616428839999999;68.40247499999532;[1.602534436059085, -0.06550195663362632, 1.386402215773882, 1.2931284318759566, -2.163147849978708, 7.40518792937516, -2.755250251257476, -3.1915040028306096, 4.610082311977598, 0.5864271663895666, 2.365800848586232, 0.1718933356270909, -3.3928143627900864, 2.560813111453694, 1.1559644119696375, -1.5845465771559861]
13;-1.874495584;68.17573149999953;[4.245502131042514, -1.9408501537504304, -1.9457105981260887, 2.701569634707687, 1.1074254691404573, 1.7499898389904676, -5.007084150004285, 0.9979256464800016, 2.9924888176945035, 2.1827411241067343, -0.4590038074625997, 1.8337524280092266, -0.19200386473088954, 4.904245824969601, -4.636700462006134, -1.4127678688057628]
14;-1.863981452;68.32974899999681;[1.0335089479527475, -1.2389211605339672, 0.255788978665805, 1.1500387395294749, -2.0952077356962873, 1.8136788679105575, -2.63766138177564, 2.408466684357851, -0.23684976848585906, 1.9538831544784945, -2.412601332351812, -1.2972280853343408, -2.9983916007742595, 0.6630284361116932, -0.8756205944095903, -2.5097423310039364]
15;-1.7995426000000003;68.43772800000443;[0.3377516397715835, 3.0497896413156935, -2.1277255229518, -1.6755778389015314, -1.5050066856534452, 2.207713096054922, 0.4547445910279936, 6.118418060332126, 1.8816631610232308, -55.46296383452632, -1.4410096147045293, 2.056571710811273, -2.230893209322593, -0.05953438042698259, 3.0432994078678917, 2.2058522750441436]
16;-1.86209064;68.37923880000017;[-2.311293970356836, 0.4625494235647834, -1.2593385647989654, -0.10000015409873286, 2.4037988224640987, -0.8335807148299124, 2.2502878916948115, -0.7624689670909991, 0.68030332410581, -0.0007684303644990984, 0.7098184135806931, 2.4962038185431172, -0.06826738244204925, 0.1672125900496142, 1.5767420786992596, -0.11171503709515981]
17;-1.8654235080000001;68.36581339999975;[-0.047603470286332286, -5.559346983500093, -1.7642272834957227, 1.5888984629081795, -2.482988424623396, -1.0668820922613595, -0.24145205548252938, -2.8257412315212362, 0.5990434784672554, 1.3253203800974862, -0.6309265310161278, 0.013747888509852748, 3.027533512478958, 2.6158046515625855, -2.320440662360625, -1.795904129175703]
