costF,reported_energy_mean,reported_energy_median,reported_energy_min,reported_energy_max,reported_energy_q25,reported_energy_q75,error_mean,error_median,error_min,error_max,error_q25,error_q75,reported_success_rate,time_median,energy_diff_mean,energy_diff_median,energy_diff_min,energy_diff_max,energy_diff_q25,energy_diff_q75,actual_success_rate,actual_energy_median,actual_error_median
fakeAthensV2_5k,-1.15694453536,-1.158077504,-1.1717333319999998,-1.116372144,-1.161703477,-1.153691738,0.7101604760942525,0.7090275074542526,0.6953716794542526,0.7507328674542524,0.7054015344542524,0.7134132734542524,0.0,270.7552249999717,0.4421033995086568,0.4546699344836762,0.0660679007764462,0.8163039691736091,0.20757164248964716,0.6407311319669236,0.0,-0.7018248248577955,1.165280186596457
fakeAthensV2_exact,-1.1884726031499158,-1.1898823331598292,-1.1946431398590136,-1.1722916446107252,-1.1913766905445122,-1.1869360440121328,0.6786324083043368,0.6772226782944233,0.6724618715952388,0.6948133668435272,0.6757283209097402,0.6801689674421196,0.0,130.0246238000109,0.4789200191522091,0.4708791737080575,0.12241157107179768,0.8512116810602409,0.2468826664066262,0.6936135089087191,0.0,-0.7197852736979571,1.1473197377562954
fakeBogotaV2_5k,-1.03614555104,-1.0369994500000002,-1.052951472,-1.010481468,-1.042058042,-1.031525839,0.8309594604142524,0.8301055614542524,0.8141535394542525,0.8566235434542524,0.8250469694542524,0.8355791724542525,0.0,328.35779615002684,0.3124331548330417,0.29055982924960533,0.004872847546777637,0.706590029783271,0.11319506206283428,0.5132172107707251,0.0,-0.7468541062991276,1.1202509051551246
fakeBogotaV2_exact,-1.0888410742426444,-1.0921671293099853,-1.0946207355886477,-1.0747911100176903,-1.0936382470429642,-1.0846819845952114,0.778263937211608,0.7749378821442671,0.7724842758656048,0.7923139014365621,0.7734667644112884,0.7824230268590411,0.0,190.07953650009586,0.3288083924898873,0.32392171252573765,0.01859310547300219,0.7459820372653605,0.08255844900354142,0.5548928192586826,0.0,-0.7659247149507171,1.1011802965035353
fakeManilaV2_5k,-1.1293061996,-1.130201418,-1.144261332,-1.10613696,-1.1330557589999999,-1.125692519,0.7377988118542524,0.7369035934542524,0.7228436794542525,0.7609680514542525,0.7340492524542525,0.7414124924542524,0.0,348.5499910999788,0.4202233851451802,0.3707145239413525,0.0698737164336336,0.7911519071195485,0.2057569261866722,0.6247639686083074,0.0,-0.7560201680586474,1.111084843395605
fakeManilaV2_exact,-1.2160088709997001,-1.216342800972475,-1.2301583062158068,-1.197784316683003,-1.2196400479047118,-1.2114436673947042,0.6510961404545523,0.6507622104817774,0.6369467052384457,0.6693206947712496,0.6474649635495408,0.6556613440595482,0.0,209.81894420000026,0.48404022139223885,0.4473168683083919,0.14552913501759424,0.8750496800171065,0.24251394010433203,0.7278002469354357,0.0,-0.7777064247877152,1.0893985866665372
gate_noise_5k,-1.6680459957600002,-1.667260714,-1.706530172,-1.6283653,-1.680866258,-1.658864432,0.19905901569425238,0.19984429745425247,0.16057483945425255,0.23873971145425243,0.1862387534542524,0.20824057945425234,0.0,75.72358205000273,0.18315806451146244,0.18235893329700303,0.15201612016873156,0.21362975546855156,0.17474963093114215,0.19249256876232046,0.0,-1.8527266499456543,0.014378361508598059
gate_noise_exact,-1.6877868786569579,-1.6967458566633387,-1.6982873986445146,-1.6549053634832986,-1.6976166152009275,-1.6757204801720866,0.17931813279729447,0.1703591547909138,0.16881761280973784,0.2121996479709538,0.16948839625332485,0.1913845312821657,0.0,9.805604350003705,0.1787894362315351,0.17017419880990592,0.16877883711916208,0.2112842582728367,0.16925295661495826,0.18866632290050633,0.93,-1.86703852649967,6.648495458250192e-05
gate_noise_zne_linear_5k,-1.7645890371466675,-1.7920592620000002,-1.8342123000000008,-1.507561798666668,-1.8056243000000012,-1.7421436100000003,0.10251597430758512,0.07504574945425224,0.032892711454251655,0.3595432127875844,0.061480711454251324,0.12496140145425205,0.0,77.56514814998809,0.04344044117299293,0.042617285411545414,0.01621983052039022,0.07848740883833671,0.03575558238487597,0.04963271001966879,0.0,-1.8335513125081035,0.0335536989461489
gate_noise_zne_linear_exact,-1.757170571515392,-1.7877292508118834,-1.822280403925712,-1.469071533816941,-1.8028864539118508,-1.7468028029758869,0.10993443993886055,0.07937576064236895,0.04482460752854056,0.39803347763731134,0.0642185575424018,0.1203022084783657,0.0,9.73257719999674,0.061523468034741936,0.060909495003546144,0.0422110963299811,0.0797032797087811,0.056472857696245604,0.06596725679449827,0.18,-1.8584568479063672,0.008648163547885113
gate_noise_zne_richardson_exact,-1.8070827047633253,-1.845309294673155,-1.860417360840027,-1.53430418071415,-1.8560700714812282,-1.79931077630517,0.06002230669092703,0.021795716781097263,0.006687650614225493,0.33280083074010247,0.011034939973024294,0.06779423514908256,0.0,9.705856249995122,0.008281400018176727,0.008419241086854656,0.005144490851554551,0.011409907227982519,0.007112077332677658,0.009379200688242717,0.22,-1.8545998080308679,0.01250520342338457
