costF,reported_energy_mean,reported_energy_median,reported_energy_min,reported_energy_max,reported_energy_q25,reported_energy_q75,error_mean,error_median,error_min,error_max,error_q25,error_q75,reported_success_rate,time_median,energy_diff_mean,energy_diff_median,energy_diff_min,energy_diff_max,energy_diff_q25,energy_diff_q75,actual_success_rate,actual_energy_median,actual_error_median
fakeAthensV2_5k,-1.1518304668000001,-1.1534594459999998,-1.165397176,-1.119354812,-1.158241223,-1.148166408,0.7152745446542523,0.7136455654542525,0.7017078354542525,0.7477501994542524,0.7088637884542524,0.7189386034542524,0.0,88.52093830000376,0.46963322958830617,0.4673839589791935,0.08497910840116996,0.8289161870255219,0.23127378197356038,0.6988661580299402,0.0,-0.6905403590208066,1.1765646524334459
fakeAthensV2_5k_linear,-1.1397023057600004,-1.1424409993333335,-1.1751416120000004,-1.077537248,-1.151388162666667,-1.131487477666667,0.727402705694252,0.7246640121209189,0.691963399454252,0.7895677634542524,0.7157168487875853,0.7356175337875853,0.0,229.88083639999968,0.4688237148958583,0.5042684506988002,0.03905472125102416,0.7953809409429328,0.2979134247427054,0.6180330217384897,0.0,-0.6388102959678665,1.228294715486386
fakeAthensV2_exact,-1.180864393843065,-1.1820100724089557,-1.191660059851371,-1.154003620169219,-1.1852855450064113,-1.1768044399394058,0.6862406176111875,0.6850949390452966,0.6754449516028815,0.7131013912850335,0.6818194664478412,0.6903005715148467,0.0,55.53636025002925,0.521899056083216,0.5689340943593506,0.10550940649657314,0.8430236306980303,0.3059691509401009,0.7586664901656535,0.0,-0.6103788902910818,1.2567261211631706
fakeAthensV2_exact_linear,-1.1685202555889693,-1.1711489528704755,-1.1878752980458196,-1.0347668575480191,-1.1779204618980996,-1.1636733681439964,0.698584755865283,0.6959560585837771,0.6792297134084329,0.8323381539062333,0.6891845495561528,0.703431643310256,0.0,193.6440448499925,0.5013925672297038,0.46695749318721375,0.11481891699628832,0.8479386976227345,0.26051681292355344,0.729722681667913,0.0,-0.6633450977216431,1.2037599137326094
fakeBogotaV2_5k,-1.02974181048,-1.030214476,-1.051076476,-1.00418266,-1.036936022,-1.023059581,0.8373632009742525,0.8368905354542524,0.8160285354542525,0.8629223514542526,0.8301689894542525,0.8440454304542524,0.0,106.7832944499969,0.38956801550479403,0.4639618381635474,0.0013872622772816978,0.7534626116785605,0.17050996327458878,0.5778148871978601,0.0,-0.5699831898364527,1.2971218216177998
fakeBogotaV2_5k_linear,-1.020965177986667,-1.0235493460000002,-1.0531550506666676,-0.9666796933333338,-1.0338920773333335,-1.013403456666667,0.8461398334675853,0.8435556654542522,0.8139499607875849,0.9004253181209186,0.8332129341209189,0.8537015547875854,0.0,266.5198811500013,0.39000019446292294,0.439153714191155,0.00927035513205765,0.7315544083633423,0.20094072607237976,0.5705431020330813,0.0,-0.5758539721094516,1.291251039344801
fakeBogotaV2_exact,-1.0824316552195448,-1.082157805326685,-1.094045789243246,-1.0552786000944092,-1.0893401703572951,-1.0776044123363626,0.7846733562347076,0.7849472061275676,0.7730592222110064,0.8118264113598432,0.7777648410969573,0.7895005991178898,0.0,71.0533488499932,0.40500058517582876,0.4496087044684523,0.014117835076922436,0.7404279650445377,0.20892178037665576,0.6105474201264703,0.0,-0.6423630054430496,1.224742006011203
fakeBogotaV2_exact_linear,-1.0677622761240513,-1.0680980353746437,-1.0911672334956264,-1.0319366924968023,-1.0753289109099344,-1.0610289960001518,0.7993427353302011,0.7990069760796088,0.7759377779586261,0.8351683189574501,0.791776100544318,0.8060760154541007,0.0,207.34011839996677,0.37589046298506323,0.37347716147491195,0.012581730895123266,0.7324671952696565,0.19463616157111668,0.5886178257682807,0.0,-0.7005042463679019,1.1666007650863506
fakeManilaV2_5k,-1.1256647426400002,-1.127177154,-1.143981636,-1.059473316,-1.1315637139999999,-1.1221910359999998,0.7414402688142525,0.7399278574542525,0.7231233754542525,0.8076316954542524,0.7355412974542525,0.7449139754542525,0.0,117.15492070000619,0.43793313697930053,0.446693646605267,0.06494945186317613,0.7890751394116544,0.246787355350912,0.649973726939085,0.0,-0.679483309394733,1.1876217020595194
fakeManilaV2_exact,-1.2073702782955704,-1.207841229259897,-1.2198194355640617,-1.1877420124523126,-1.2140214485276746,-1.2014011698943348,0.6597347331586819,0.6592637821943556,0.6472855758901908,0.6793629990019399,0.6530835629265779,0.6657038415599177,0.0,78.68805460000294,0.4854219681926897,0.5092114666532068,0.13857190131033326,0.8656830236609997,0.25333388763198006,0.6878397510249714,0.0,-0.7057876561851958,1.1613173552690568
gate_noise_10k,-1.6585207124,-1.6584651890000002,-1.698163426,-1.618249332,-1.6715200885,-1.6440830145,0.20858429905425244,0.2086398224542524,0.16894158545425242,0.24885567945425247,0.19558492295425245,0.2230219969542524,0.0,36.047135149994574,0.190965130437082,0.1925091424705233,0.16148090742331145,0.21154634164311759,0.18384519275750683,0.19946575041725612,0.0,-1.8523015898164457,0.014803421637806902
gate_noise_1k,-1.6769766962,-1.6776775000000002,-1.7248123400000002,-1.61903644,-1.68961644,-1.663726175,0.1901283152542524,0.1894275114542524,0.14229267145425228,0.24806857145425254,0.1774885714542524,0.20337883645425237,0.0,14.999825250008143,0.1554949650774128,0.1576509965543902,0.11324498127541949,0.18542413300790073,0.1451856077517042,0.16514004826395395,0.0,-1.8355307479966125,0.03157426345763992
