costF,reported_energy_mean,reported_energy_median,reported_energy_min,reported_energy_max,reported_energy_q25,reported_energy_q75,error_mean,error_median,error_min,error_max,error_q25,error_q75,reported_success_rate,time_median,energy_diff_mean,energy_diff_median,energy_diff_min,energy_diff_max,energy_diff_q25,energy_diff_q75,actual_success_rate,actual_energy_median,actual_error_median
fakeAthensV2_5k,-1.14741056004,-1.1493285580000001,-1.166824384,-1.111975992,-1.156051347,-1.1415927510000001,0.7196944514142524,0.7177764534542524,0.7002806274542523,0.7551290194542524,0.7110536644542524,0.7255122604542524,0.0,89.22086850000778,0.485899057652192,0.4838441753762065,0.08046016084314078,0.8040688259357606,0.29457250948588476,0.6950956613104953,0.0,-0.664029639593767,1.2030753718604854
fakeAthensV2_5k_linear,-1.1340706878000004,-1.1372597886666673,-1.164086757333334,-1.0832472546666674,-1.1505148233333338,-1.122381025666667,0.7330343236542519,0.7298452227875852,0.7030182541209185,0.7838577567875851,0.7165901881209188,0.7447239857875854,0.0,227.97498490000726,0.4934632651585303,0.5232568286926215,0.04843249292390328,0.8811130317706268,0.31615611948127126,0.6476962710198538,0.0,-0.6075424477668949,1.2595625636873575
fakeAthensV2_exact,-1.1795127906165233,-1.1814139873088592,-1.1929244208450762,-1.1460014481758314,-1.1863008491790856,-1.1748269545419077,0.6875922208377293,0.6856910241453933,0.6741805906091762,0.7211035632784211,0.6808041622751668,0.6922780569123447,0.0,54.496022650040686,0.4977331929292,0.49379480670205034,0.13322140119835946,0.8490986832109455,0.27437375742150677,0.7599975833002692,0.0,-0.6898570538782705,1.177247957575982
fakeAthensV2_exact_linear,-1.1640008947904321,-1.1667634328504453,-1.1877218654709167,-1.1136858610986624,-1.1746860035746403,-1.1548670315547298,0.7031041166638203,0.7003415786038073,0.6793831459833357,0.75341915035559,0.6924190078796122,0.7122379798995226,0.0,201.327188700001,0.5155029215008635,0.5321661460331184,0.07664074655796926,0.8390566890301954,0.3323459493682378,0.7197212982351077,0.0,-0.6320339444539242,1.2350710670003284
fakeBogotaV2_5k,-1.029996735,-1.031239538,-1.054829028,-0.9802796,-1.0363176280000002,-1.024294386,0.8371082764542525,0.8358654734542524,0.8122759834542526,0.8868254114542524,0.8307873834542523,0.8428106254542524,0.0,101.41653909999877,0.3681086632415161,0.394275240788826,0.0008909842802127255,0.6979866612512835,0.13851208706498427,0.6048396832736794,0.0,-0.6449557205093848,1.2221492909448677
fakeBogotaV2_exact,-1.0781559464543917,-1.0789895793582187,-1.094590282010798,-1.0322034212284996,-1.084573588554068,-1.0731326422182905,0.7889490649998607,0.7881154320960339,0.7725147294434545,0.8349015902257528,0.7825314229001845,0.7939723692359619,0.0,73.61748485002317,0.4270119351911795,0.42250953715953693,0.011041227879673654,0.7586299784326812,0.16888403865238852,0.6772966770988285,0.0,-0.6453044732753066,1.2218005381789458
fakeManilaV2_5k,-1.12264982368,-1.123652702,-1.140439968,-1.10072018,-1.12907015,-1.117197894,0.7444551877742523,0.7434523094542524,0.7266650434542525,0.7663848314542525,0.7380348614542525,0.7499071174542524,0.0,114.6305768500024,0.425427702883942,0.4128057679735793,0.012268145194738622,0.7811577146742451,0.17512174764706953,0.6419370220930225,0.0,-0.7123684060264208,1.1547366054278316
fakeManilaV2_exact,-1.2053413938873427,-1.2058975002066807,-1.218785185901047,-1.1843293123193983,-1.2116734087567522,-1.2003516494462316,0.6617636175669097,0.6612075112475716,0.6483198255532054,0.6827756991348541,0.6554316026975002,0.6667533620080208,0.0,74.8418587000051,0.5628252124512396,0.6068393653547323,0.1433442886931937,0.8758799450950803,0.34237593652606596,0.7808701588083801,0.0,-0.6046411101092888,1.2624639013449637
gate_noise_5k,-1.64887836336,-1.65459964,-1.693704448,-1.55733922,-1.6641251110000002,-1.636569522,0.21822664809425243,0.2125053714542524,0.17340056345425237,0.3097657914542524,0.20297990045425235,0.23053548945425245,0.0,25.13183079999726,0.18624029044212173,0.1862799919263577,0.1537531355529902,0.22291030629131559,0.17603895531350788,0.19786305115296288,0.0,-1.839588018547476,0.02751699290677634
gate_noise_exact,-1.660455077514361,-1.6623551540293118,-1.6971347505340055,-1.5234775705839323,-1.6742139812536911,-1.6496144219510687,0.20664993393989128,0.20474985742494078,0.16997026092024692,0.34362744087032016,0.19289103020056125,0.21749058950318373,0.0,1.9896879000079937,0.19888755881466275,0.19909120198115948,0.16993840077876365,0.24837388106850455,0.18970625001750419,0.20922314390504415,0.51,-1.8655579546628414,0.0015470567914110944
gate_noise_zne_linear_5k,-1.746489326613334,-1.7506884633333333,-1.8187843426666668,-1.6280896453333331,-1.7759962130000004,-1.7293450696666675,0.1206156848409185,0.11641654812091906,0.048320668787585674,0.23901536612091934,0.09110879845425202,0.13775994178758505,0.0,31.848016399992048,0.02883061177416857,0.028226336817628206,0.007069306976154932,0.05713145652129392,0.023928530187263042,0.033477933628939416,0.0,-1.7807561295147933,0.08634888193945922
gate_noise_zne_linear_exact,-1.7548288260707965,-1.7695490844305963,-1.813534894913479,-1.5523616009464252,-1.7865204519925253,-1.7449729976080475,0.11227618538345581,0.09755592702365601,0.05357011654077337,0.3147434105078273,0.08058455946172716,0.12213201384620492,0.0,2.5653293499999563,0.0643811478236267,0.06393406636939858,0.04963257415503697,0.08169752360913818,0.05862004682997268,0.07031331501177374,0.01,-1.8359212211243319,0.03118379032992058
gate_noise_zne_richardson_exact,-1.8049930288536153,-1.8240298568236641,-1.8593244575873764,-1.552215764664034,-1.8411768310526757,-1.7951917205116672,0.06211198260063705,0.04307515463058831,0.007780553866876039,0.31488924679021846,0.025928180401576684,0.07191329094258536,0.0,3.3328855500003556,0.00857588072699716,0.008702342567699528,0.004529749343937128,0.011800676548795463,0.007445820449462126,0.009777421421730936,0.02,-1.831512751687678,0.03559225976657465
noiseless,-1.8619639381840958,-1.8666702656095029,-1.867105011454231,-1.7789890082822897,-1.8670383110077777,-1.8618468347774697,0.005141073270156804,0.00043474584474967326,2.1538326677728037e-14,0.08811600317196278,6.670044647472118e-05,0.005258176676782633,0.6,1.520942750001268,6.23945339839338e-16,6.661338147750939e-16,0.0,2.220446049250313e-15,2.220446049250313e-16,8.881784197001252e-16,0.6,-1.8666702656095027,0.0004347458447497843
shot_noise_5k,-1.85702445512,-1.864387956,-1.877356948,-1.767499768,-1.8702926739999999,-1.852596863,0.013574823032680379,0.0065655825457475725,0.00023300054574804108,0.09960524345425248,0.003035985727126267,0.014508148454252356,0.12,22.796527100006642,0.011423078683078411,0.011315755933308358,0.0073254311573782704,0.017236177652496076,0.009999699295491826,0.012549010740306399,0.0,-1.8527018727009665,0.014403138753285916
